"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","Item21","Item22","Item23","Item24"
"P133",2,5,2,2,5,5,5,5,5,1,5,1,2,5,1,5,1,1,1,2,5,3,1,2
"P134",4,3,2,5,5,4,5,5,2,3,1,1,2,1,1,1,4,4,5,5,4,3,4,1
"P135",1,5,5,5,5,5,2,4,4,2,5,5,5,5,5,5,5,4,3,5,4,5,1,3
"P136",5,5,1,2,4,4,1,5,1,2,1,2,1,2,1,1,4,2,5,3,5,3,4,4
"P137",4,5,5,5,4,3,5,5,4,2,1,1,2,1,1,5,5,4,5,5,4,5,5,4
"P138",5,5,2,5,1,5,5,2,3,5,5,1,4,5,4,5,5,4,5,3,2,5,1,1
"P139",5,5,2,5,5,5,5,5,5,3,4,4,5,1,4,5,2,1,5,5,5,5,5,5
"P140",5,5,5,5,5,5,5,5,2,1,4,1,2,5,2,1,1,1,5,1,2,3,1,1
"P141",5,5,5,2,2,5,1,5,2,1,4,1,2,5,1,3,4,2,3,5,2,3,5,3
"P142",4,2,5,2,2,1,1,2,4,5,1,1,2,3,1,1,1,2,1,5,2,2,1,4
"P143",1,4,1,4,1,3,5,1,4,1,4,1,2,2,1,1,1,5,1,5,2,5,3,4
"P144",4,4,1,2,2,1,1,5,2,5,1,1,4,5,2,5,1,3,3,2,2,4,4,4
"P145",5,5,1,2,2,5,4,3,1,1,1,1,1,2,1,1,4,4,1,5,4,2,2,2
"P146",1,3,5,4,4,4,5,2,4,1,4,4,2,2,5,5,1,2,3,1,5,1,4,4
"P147",1,5,5,5,5,4,5,4,2,3,4,1,5,2,4,3,1,1,1,1,1,3,1,1
"P148",1,5,2,2,2,1,1,2,2,2,5,1,1,1,5,1,1,3,1,2,1,1,1,4
"P149",4,3,2,5,1,5,5,4,2,3,4,1,2,3,1,1,5,2,1,5,2,5,4,4
"P150",5,5,2,5,5,5,5,2,1,1,1,1,2,1,1,3,5,2,1,1,2,1,4,1
"P151",5,4,2,5,5,4,5,5,2,1,1,1,1,2,1,1,5,1,5,5,2,3,5,4
"P152",1,5,3,2,2,1,5,1,5,5,4,5,5,4,5,5,5,1,3,5,5,3,3,5
"P153",3,5,5,5,5,4,5,5,5,5,5,4,4,5,1,4,2,5,3,3,5,3,5,1
"P154",5,5,5,5,5,5,5,2,5,5,5,5,1,5,5,5,1,1,1,5,5,3,4,1
"P155",5,4,2,4,5,3,1,4,4,3,1,1,2,5,4,1,1,1,1,5,5,3,2,3
"P156",5,5,1,5,2,5,5,5,1,5,2,4,5,5,1,3,1,1,3,4,2,1,1,2
"P157",1,1,1,1,1,2,1,2,1,5,4,1,2,1,1,1,1,1,1,5,2,3,1,2
"P158",1,4,2,5,2,4,5,4,2,1,1,4,2,1,1,3,1,2,1,3,1,3,4,4
"P159",3,2,1,2,2,3,1,5,5,5,4,5,5,2,2,4,5,5,3,5,5,5,1,4
"P160",4,5,2,5,4,4,5,2,1,5,1,1,2,3,1,5,2,5,5,2,5,3,5,1
"P161",1,2,1,1,5,4,1,1,2,2,4,1,1,5,4,3,5,1,5,2,1,1,5,1
"P162",1,2,1,2,2,1,5,1,5,5,5,5,5,5,5,5,1,3,3,1,1,5,1,1
"P163",5,4,5,5,3,5,5,5,2,1,1,1,2,5,1,3,1,5,3,5,1,3,1,1
"P164",5,4,5,4,2,5,5,5,5,3,5,5,5,5,5,5,5,1,5,2,4,5,2,3
"P165",5,4,3,4,5,4,5,2,2,2,4,1,4,5,1,5,2,3,5,5,5,3,4,1
"P166",5,4,5,4,4,4,1,1,5,5,4,5,5,5,5,3,2,5,5,5,5,1,4,3
"P167",3,4,2,4,5,5,5,5,1,1,1,1,2,1,1,5,1,1,1,4,2,3,5,4
"P168",5,5,5,5,5,1,5,4,1,3,1,1,4,2,1,4,1,5,5,2,4,3,4,1
"P169",5,3,2,1,4,4,1,1,4,5,4,4,4,5,5,5,5,5,5,5,2,3,4,1
"P170",5,5,5,5,5,5,5,5,4,2,4,1,5,4,1,1,1,1,3,2,1,5,1,5
"P171",5,5,5,5,5,5,5,5,2,5,1,2,2,5,1,1,5,5,5,5,5,5,5,5
"P172",3,2,1,2,1,1,1,1,2,5,1,1,5,4,4,3,2,2,3,4,5,3,1,5
"P173",5,5,5,5,5,5,5,5,2,1,4,5,2,5,5,5,1,3,3,5,2,3,5,2
"P174",1,5,1,5,1,5,1,5,5,5,5,4,2,2,1,1,1,5,3,3,5,4,2,5
"P175",3,3,1,1,1,1,1,1,5,5,1,4,1,5,1,1,1,2,5,2,1,1,2,1
"P176",5,5,5,4,2,5,5,5,1,1,4,1,1,1,1,1,2,2,5,5,5,5,1,5
"P177",3,5,1,4,1,5,1,3,2,2,1,1,1,1,1,1,2,5,1,5,2,3,4,4
"P178",1,3,1,4,5,5,1,2,2,1,1,1,5,1,1,1,1,3,5,2,5,3,1,1
"P179",2,3,1,1,1,5,1,1,5,3,4,1,5,5,4,3,1,1,1,5,5,3,4,2
"P180",5,5,5,5,5,5,5,5,5,5,4,1,1,5,2,1,5,1,5,1,2,5,5,1
"P181",5,5,5,5,4,3,5,5,5,3,4,1,5,5,1,5,1,1,1,2,2,1,4,1
"P182",5,5,5,2,4,5,5,5,2,5,4,1,2,5,2,4,2,1,5,2,1,5,5,1
"P183",5,5,2,5,5,1,5,2,1,5,1,1,1,1,1,1,1,1,1,3,1,5,1,3
"P184",5,5,5,4,5,4,5,4,5,5,1,5,4,4,5,3,1,1,5,2,1,3,3,1
"P185",4,1,1,1,2,1,1,1,4,5,4,4,5,5,1,4,5,3,5,1,2,5,4,4
"P186",3,5,2,2,3,1,1,5,4,2,1,1,3,1,1,1,3,1,2,5,2,4,1,2
"P187",3,3,2,2,2,4,1,4,5,5,4,2,5,5,1,3,1,1,1,1,2,2,5,1
"P188",4,2,5,5,2,1,5,2,2,5,4,1,1,2,2,1,1,4,3,4,2,3,5,4
"P189",3,5,5,2,5,4,5,5,4,5,4,4,4,2,5,5,1,5,1,5,1,3,1,1
"P190",1,2,1,2,1,3,5,2,2,1,4,1,1,5,5,1,1,5,3,1,1,5,1,2
"P191",5,5,5,2,4,5,5,5,4,1,4,1,5,5,5,1,5,4,5,2,1,1,1,5
"P192",1,2,1,4,1,1,1,1,4,5,5,1,5,3,4,4,1,4,3,5,5,2,4,5
"P193",4,3,1,1,5,2,5,2,5,1,1,1,2,1,5,2,1,1,1,1,1,3,1,1
"P194",4,3,1,5,2,4,1,4,5,5,4,5,5,1,1,5,4,2,5,2,2,4,1,4
"P195",1,1,1,5,2,1,1,2,4,3,1,4,5,1,2,3,4,5,3,5,2,1,5,4
"P196",1,2,1,1,1,4,5,2,5,5,4,1,4,5,1,4,1,1,1,5,2,4,1,4
"P197",5,1,1,1,2,5,1,5,2,3,4,1,5,4,5,5,1,2,1,1,1,1,1,2
"P198",5,3,5,5,5,4,5,5,2,1,1,1,1,1,1,1,5,2,1,2,4,1,2,1
"P199",3,3,2,2,1,1,1,1,2,3,5,1,2,5,3,3,5,5,5,5,5,3,5,1
"P200",2,3,1,2,1,2,1,2,4,1,4,1,4,5,3,1,1,4,3,1,1,3,1,5
"P201",4,5,1,1,2,2,3,2,2,5,4,1,1,1,4,1,4,2,5,3,2,3,5,4
"P202",4,4,1,2,5,5,5,3,5,5,4,5,5,5,5,5,1,1,5,5,1,1,1,1
"P203",5,2,5,5,2,2,2,5,2,2,4,1,1,1,4,1,1,5,1,5,2,3,1,4
"P204",3,3,1,5,1,1,1,1,2,3,1,1,2,1,3,1,1,1,3,2,2,1,2,1
"P205",1,3,1,2,1,4,5,1,5,5,4,4,5,3,5,5,2,4,1,5,1,3,5,4
"P206",5,3,1,2,5,4,5,2,5,5,4,1,5,5,4,5,1,2,5,2,2,1,4,5
"P207",5,5,1,5,5,4,5,5,2,3,4,1,1,3,2,3,5,3,5,5,2,3,4,4
"P208",1,3,5,1,2,1,5,1,3,5,1,4,2,5,1,3,1,5,5,2,1,2,4,5
"P209",4,3,1,2,4,4,1,2,4,1,4,1,4,4,1,1,1,2,5,5,2,3,1,1
"P210",5,3,5,5,5,4,5,5,1,1,4,4,1,4,4,1,4,5,5,1,2,2,1,4
"P211",1,2,1,2,1,1,1,1,2,5,4,1,1,1,4,1,1,3,1,2,2,1,5,2
"P212",5,5,5,2,3,1,2,5,2,1,1,1,2,2,2,1,5,3,5,5,2,4,5,1
"P213",5,5,5,1,5,5,5,5,4,1,1,1,1,1,4,3,4,4,5,3,5,3,1,4
"P214",4,3,1,2,2,5,5,5,5,5,1,5,5,5,5,4,1,3,5,5,1,3,1,4
"P215",1,1,1,1,1,3,1,2,2,3,1,1,1,5,4,5,5,4,5,5,5,5,5,5
"P216",1,4,2,2,1,5,2,5,3,5,4,1,2,1,1,4,1,4,5,2,1,5,2,4
"P217",3,3,2,2,1,4,5,4,1,3,4,1,2,2,1,3,4,5,5,4,5,5,5,5
"P218",5,5,5,5,2,4,5,5,5,5,5,1,3,5,4,5,4,5,1,2,2,3,1,1
"P219",5,4,5,5,2,5,5,4,2,1,4,4,1,1,4,4,5,4,1,2,2,3,2,2
"P220",4,4,1,2,2,1,5,4,4,5,5,1,2,5,4,4,5,2,5,5,4,5,4,1
"P221",3,2,1,1,1,1,1,1,5,5,4,1,1,2,1,4,1,2,1,2,1,4,4,1
"P222",5,5,5,5,5,1,5,5,1,1,1,1,1,1,1,1,2,5,1,1,2,5,4,1
"P223",5,3,1,3,1,2,1,2,3,1,4,1,2,4,5,3,2,4,1,5,1,4,5,1
"P224",1,1,5,4,2,1,5,2,4,3,4,4,5,5,5,3,1,1,5,2,1,3,1,2
"P225",5,5,5,5,5,1,5,4,5,5,4,5,5,1,4,5,1,4,5,1,2,1,2,2
"P226",5,5,5,1,5,5,5,5,2,1,4,1,2,5,1,5,1,2,1,3,2,1,1,1
"P227",3,5,2,2,1,2,1,2,2,1,1,1,2,1,1,1,5,2,1,3,5,3,3,1
"P228",1,1,1,2,1,2,1,4,5,5,5,5,5,4,4,4,1,1,5,5,5,5,5,2
"P229",5,3,5,5,5,5,5,5,4,1,1,1,5,1,1,1,5,2,5,5,5,3,5,5
"P230",1,2,1,1,1,2,1,1,5,3,5,4,5,5,1,5,1,4,1,2,2,1,4,1
"P231",1,1,1,4,2,3,1,1,5,5,4,5,4,5,5,5,4,1,3,2,2,3,1,5
"P232",5,5,5,5,4,2,5,2,1,2,5,1,2,1,1,3,5,5,1,2,2,5,5,4
"P233",1,2,2,5,2,3,5,5,2,1,4,4,4,3,3,1,1,5,5,5,4,4,3,1
"P234",3,3,1,2,2,3,1,2,5,1,1,4,1,5,1,5,2,5,5,5,1,5,3,5
"P235",5,3,2,5,1,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,5
"P236",5,1,3,4,5,3,2,2,2,2,1,1,3,5,5,5,1,5,1,4,4,1,1,1
"P237",5,3,2,4,5,4,5,5,3,5,1,4,2,5,3,4,1,2,2,5,2,1,3,4
"P238",5,5,2,5,5,5,5,5,2,5,1,1,2,1,4,3,5,1,5,2,5,5,5,4
"P239",3,3,2,1,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,3,2,4,5,4
"P240",5,5,2,2,1,4,5,4,5,3,1,1,5,5,5,5,4,1,2,2,1,5,2,1
"P241",3,2,1,1,5,3,1,1,5,5,5,1,2,5,1,3,2,3,5,2,2,2,4,4
"P242",3,4,5,4,4,4,1,2,2,1,4,2,2,3,1,1,4,5,1,5,4,3,1,5
"P243",5,5,3,5,5,5,5,5,2,3,1,1,5,5,2,5,1,3,5,2,2,4,3,3
"P244",5,3,1,2,2,5,5,1,2,5,4,1,2,1,5,3,1,1,2,2,2,2,1,1
"P245",5,5,2,5,5,4,5,4,3,5,4,4,5,5,5,3,1,5,1,2,2,3,1,4
"P246",5,4,5,1,5,5,5,5,5,1,2,4,2,1,1,5,1,1,5,2,1,3,1,5
"P247",1,1,1,1,1,3,1,1,2,1,1,1,1,5,4,1,2,1,1,3,4,4,4,1
"P248",4,5,5,2,1,3,5,5,2,1,4,1,2,1,2,3,1,2,3,2,1,1,5,2
"P249",5,5,5,2,1,5,5,2,2,3,5,5,2,5,4,1,1,2,5,5,2,3,1,4
"P250",1,2,5,4,2,5,1,5,1,1,4,2,2,5,4,3,5,5,5,5,2,3,4,2
"P251",3,4,1,5,5,5,5,2,5,3,5,5,5,5,4,5,1,2,5,1,4,4,1,1
"P252",5,5,5,4,5,3,3,5,2,1,1,5,2,5,5,4,1,2,5,3,2,3,4,1
"P253",5,4,5,5,2,4,5,3,2,5,5,1,5,3,5,5,1,4,5,2,4,2,2,2
"P254",5,2,1,1,2,2,1,2,2,5,1,5,4,5,2,1,1,2,5,3,1,1,1,1
"P255",5,3,1,1,1,5,3,2,5,5,1,4,4,5,5,5,1,1,1,3,1,1,1,4
"P256",5,1,2,2,2,1,4,2,5,3,5,4,5,5,5,4,5,1,3,5,5,1,1,1
"P257",1,5,1,1,5,4,5,5,5,5,5,5,4,3,3,5,4,3,5,3,3,1,2,3
"P258",5,1,1,2,2,1,1,2,2,5,5,4,2,5,1,5,3,4,5,1,2,2,3,1
"P259",5,3,5,5,5,3,5,5,5,3,4,1,1,3,1,3,5,1,5,3,5,5,4,5
"P260",5,5,1,5,5,5,5,5,5,1,5,4,4,5,1,4,2,5,1,5,1,3,4,1
"P261",1,3,1,2,2,1,5,5,1,1,4,1,2,1,4,3,2,2,5,2,2,5,4,5
"P262",5,5,3,2,5,4,5,5,4,2,1,4,1,5,1,5,5,5,5,3,2,3,3,3
"P263",5,3,1,2,1,3,1,2,5,5,1,5,5,5,4,5,4,1,3,1,4,5,1,5
"P264",5,5,2,4,4,5,5,5,1,1,1,2,2,1,1,5,5,3,5,2,5,5,5,4
"P265",3,3,5,2,2,5,5,2,5,1,1,1,3,1,2,4,1,1,1,5,2,2,1,1
