"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18"
"P148",3,4,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,3
"P149",4,4,3,4,3,3,3,2,2,3,3,3,1,2,3,3,2,2
"P150",3,3,2,2,2,3,3,4,4,4,4,3,2,1,3,3,3,3
"P151",3,4,4,4,4,4,4,3,4,3,4,3,3,4,4,5,3,4
"P152",4,4,4,4,4,4,3,3,4,4,2,2,3,2,2,3,3,3
"P153",4,4,4,5,4,5,5,3,4,3,3,4,2,2,2,3,2,2
"P154",3,3,4,2,4,3,2,2,2,3,2,3,2,3,3,2,3,2
"P155",3,4,3,4,3,4,4,4,4,4,4,4,3,3,3,2,2,2
"P156",2,1,2,2,2,1,3,3,3,4,3,3,3,3,3,3,3,3
"P157",2,3,3,3,2,2,4,4,4,4,4,4,3,3,4,4,3,4
"P158",2,2,2,3,3,2,4,3,3,3,4,3,2,1,3,2,2,2
"P159",3,3,3,3,2,3,3,2,3,4,3,3,4,4,4,3,3,4
"P160",4,4,3,4,4,3,2,3,2,3,4,3,3,3,3,3,3,3
"P161",4,3,3,4,3,4,3,3,3,2,3,2,5,3,3,4,5,5
"P162",3,2,3,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3
"P163",3,3,3,2,2,4,5,4,4,3,3,2,3,3,2,2,2,3
"P164",2,2,2,2,2,2,2,3,2,2,2,2,4,4,3,2,3,3
"P165",4,3,4,4,3,4,3,2,2,3,3,4,4,3,3,4,3,3
"P166",4,3,3,3,4,5,4,3,4,4,4,4,2,3,4,3,4,3
"P167",4,4,4,3,3,3,2,1,2,1,2,2,4,3,4,4,2,4
"P168",3,4,3,3,3,4,2,3,3,3,4,3,3,4,3,4,3,2
"P169",2,3,3,3,4,3,2,3,3,3,3,3,3,3,5,4,3,2
"P170",3,2,2,3,1,1,2,3,2,3,3,3,5,5,4,5,4,5
"P171",2,3,3,3,3,3,2,3,3,3,3,2,5,4,5,4,3,3
"P172",3,3,3,2,3,3,3,2,4,4,2,3,3,3,3,3,4,3
"P173",4,3,3,2,3,3,2,2,1,2,2,3,3,3,3,3,3,2
"P174",3,3,3,4,4,3,2,2,3,3,3,2,4,4,3,4,4,3
"P175",3,4,3,3,3,4,3,3,3,4,4,3,4,4,2,4,3,3
"P176",4,3,4,4,5,3,3,3,3,3,2,2,3,2,3,2,2,3
"P177",2,2,3,3,3,2,3,3,2,3,2,2,4,2,3,3,4,4
"P178",3,3,4,3,4,3,1,2,2,3,3,3,3,2,3,2,3,2
"P179",4,3,3,3,2,3,3,4,4,3,3,3,2,4,3,3,2,3
"P180",2,2,4,3,3,4,4,4,4,4,3,4,3,3,3,2,3,3
"P181",4,3,4,3,5,4,3,3,4,3,3,3,4,3,3,3,3,2
"P182",2,2,3,1,1,3,2,2,2,3,1,2,1,1,2,1,1,2
"P183",3,3,4,4,3,4,2,4,3,4,2,4,3,2,3,2,2,2
"P184",3,3,3,4,3,2,3,3,4,3,3,3,4,3,4,4,3,3
"P185",4,3,4,3,5,4,3,4,3,4,5,3,3,4,3,5,4,3
"P186",3,3,4,3,2,3,4,3,4,4,3,3,2,3,3,3,3,4
"P187",3,3,3,4,4,3,3,3,4,3,4,2,2,3,3,2,3,2
"P188",4,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,3,3
"P189",4,3,4,3,5,4,3,4,3,4,3,3,3,3,3,3,1,3
"P190",2,3,2,3,2,2,2,2,3,2,2,1,3,3,3,3,2,3
"P191",2,3,2,2,3,3,2,2,2,3,2,4,3,3,2,3,2,3
"P192",3,3,2,2,3,3,3,2,2,3,3,3,4,4,3,3,3,4
"P193",3,3,1,2,2,3,4,4,4,3,3,3,2,3,2,2,3,2
"P194",3,4,5,5,4,3,4,4,4,4,4,4,3,3,3,3,4,3
"P195",2,3,3,4,4,3,2,3,3,3,3,3,3,4,4,3,3,4
"P196",3,3,3,2,2,3,4,4,4,3,3,3,3,3,3,3,3,2
"P197",4,3,4,1,4,3,3,3,4,3,3,3,4,5,4,4,5,5
"P198",3,3,2,2,3,3,4,4,3,3,3,3,2,1,1,3,2,2
"P199",4,5,3,4,3,5,4,4,4,5,4,4,2,2,2,2,1,1
"P200",4,4,4,3,4,4,2,2,3,2,4,3,3,2,3,3,2,3
"P201",2,3,2,3,2,2,2,2,4,2,2,3,2,2,2,2,2,2
"P202",3,2,2,3,3,3,3,3,3,3,2,2,3,3,2,3,3,3
"P203",3,3,3,3,3,2,3,3,4,4,2,2,4,4,4,4,4,3
"P204",2,3,2,3,3,2,3,3,4,3,2,4,4,2,4,4,3,3
"P205",3,3,3,4,3,4,3,3,3,3,3,2,2,2,2,2,2,3
"P206",2,3,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,4
"P207",2,3,3,3,3,3,2,2,2,3,3,1,2,3,3,2,3,3
"P208",1,2,2,3,1,2,4,4,5,4,4,4,4,3,3,4,4,3
"P209",3,2,3,2,2,3,3,2,3,1,3,3,3,2,3,3,3,3
"P210",3,3,4,4,4,3,4,4,4,5,3,4,3,4,4,3,3,4
"P211",3,2,3,4,3,4,3,4,3,2,5,3,3,3,3,4,4,4
"P212",3,3,4,3,3,3,3,4,4,3,3,3,4,3,3,3,3,2
"P213",3,3,3,4,4,5,2,3,3,5,2,4,1,2,3,2,2,2
"P214",2,3,2,2,3,3,3,2,1,4,3,3,3,2,2,2,3,4
"P215",3,3,2,3,3,2,3,4,3,2,3,4,2,3,3,3,3,3
"P216",3,2,1,4,1,2,3,3,4,4,4,5,3,3,2,3,2,3
"P217",2,1,2,2,2,3,2,4,3,3,3,2,4,4,3,4,3,3
"P218",2,3,2,3,3,3,3,2,2,2,2,3,2,2,2,3,3,3
"P219",3,4,3,3,3,4,3,3,3,3,3,3,4,3,4,3,5,4
"P220",3,3,4,3,3,3,4,3,4,3,4,2,3,3,4,3,4,4
"P221",3,2,4,4,2,2,4,4,4,4,4,3,3,2,2,3,3,3
"P222",3,4,3,4,3,4,4,4,3,4,3,3,3,2,3,3,5,3
"P223",3,2,3,2,2,2,3,4,3,4,3,4,3,2,3,2,2,2
"P224",3,4,3,4,3,4,3,3,3,3,3,3,3,3,2,3,2,3
"P225",3,3,3,2,4,4,3,3,3,4,2,2,2,3,4,3,3,4
"P226",3,3,3,2,4,3,4,3,4,3,3,4,3,4,4,3,5,5
"P227",4,4,5,3,4,4,4,3,3,4,4,5,4,3,3,3,3,3
"P228",3,3,3,1,2,3,3,2,2,3,3,3,3,3,3,3,3,3
"P229",3,4,4,4,3,3,3,3,4,3,4,3,4,3,3,4,4,4
"P230",3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3
"P231",4,3,4,3,4,4,5,4,4,4,4,3,3,3,3,3,3,2
"P232",3,3,3,3,3,3,2,2,2,2,2,2,5,4,3,4,4,4
"P233",3,3,4,2,4,2,3,2,2,3,3,3,2,3,2,3,3,3
"P234",3,3,4,3,3,3,3,4,4,4,3,3,2,3,3,3,3,3
"P235",3,3,3,4,4,3,2,3,3,3,3,2,4,4,3,4,3,4
"P236",3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,4,3,3
"P237",2,3,3,3,2,2,4,3,3,3,4,4,3,2,4,3,2,3
"P238",3,2,2,3,2,3,4,4,3,4,4,4,3,4,4,4,3,4
"P239",4,4,4,3,4,4,3,4,2,2,3,3,1,2,3,2,2,2
"P240",5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2
"P241",3,3,3,3,3,3,3,3,4,4,3,3,1,3,3,2,2,3
"P242",4,3,4,3,4,4,4,4,3,2,3,3,3,3,2,3,3,3
"P243",2,2,2,3,3,3,2,4,3,2,3,2,5,3,4,4,3,3
"P244",3,2,3,3,2,3,2,2,2,4,2,2,4,4,4,5,4,3
"P245",3,2,3,3,2,3,3,3,2,4,4,4,3,4,3,3,4,4
"P246",2,2,2,2,2,3,2,2,2,2,2,2,3,1,1,2,1,3
"P247",2,3,3,2,3,2,4,3,3,3,4,3,2,2,3,3,2,3
"P248",4,2,2,3,3,3,3,2,2,3,3,2,3,2,2,2,2,3
"P249",3,2,3,3,3,3,3,3,3,3,4,3,4,3,5,3,3,3
"P250",4,4,3,2,3,3,3,3,4,3,2,4,2,2,3,2,2,2
"P251",3,3,3,2,3,3,2,2,2,2,2,4,3,3,2,3,2,3
"P252",3,3,3,4,4,3,3,3,2,2,2,3,3,2,4,2,2,3
"P253",3,3,3,4,2,3,4,4,4,4,5,4,2,1,2,2,2,1
"P254",2,2,3,3,4,1,2,2,3,3,3,3,3,3,3,3,4,3
"P255",4,4,2,3,3,3,3,2,3,4,2,3,2,2,2,3,3,2
"P256",3,3,3,3,3,3,4,3,3,4,3,3,1,3,2,3,3,3
"P257",2,2,3,3,2,3,4,3,3,4,2,3,3,4,3,4,4,3
"P258",2,3,3,3,3,3,2,2,2,2,2,3,3,3,4,3,3,3
"P259",2,4,2,3,3,2,5,4,3,4,5,4,3,3,3,3,3,3
"P260",3,3,4,3,3,4,2,2,3,2,2,3,4,4,2,3,3,3
"P261",3,4,3,4,4,4,4,4,3,3,4,3,2,2,2,2,2,1
"P262",3,3,3,3,2,2,3,4,3,4,2,4,2,3,4,3,4,3
"P263",3,4,3,2,3,4,2,1,1,3,1,2,4,3,3,4,4,4
"P264",4,3,2,4,3,4,4,3,4,3,2,2,2,3,2,3,2,3
"P265",2,2,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3
"P266",2,3,2,2,2,2,3,4,3,4,4,3,2,3,3,2,3,3
"P267",4,3,3,3,3,4,1,1,1,2,2,1,3,4,3,4,4,3
"P268",2,2,3,3,2,2,3,3,3,3,3,2,3,4,3,3,2,4
"P269",4,4,3,3,3,2,3,3,2,3,3,2,2,3,2,3,3,3
"P270",2,3,3,3,3,3,4,3,4,3,2,3,1,3,3,3,2,3
"P271",2,4,3,3,3,3,2,2,2,2,2,3,3,2,3,3,4,4
"P272",3,2,2,2,3,2,3,3,3,3,2,2,4,4,4,5,3,3
"P273",3,3,2,2,2,2,3,2,3,3,4,3,3,2,2,3,3,3
"P274",4,3,4,4,3,3,3,2,2,4,4,1,3,3,3,3,2,2
"P275",2,3,1,1,3,2,4,3,3,3,3,2,3,3,3,3,2,3
"P276",3,2,4,3,4,3,2,3,3,3,3,4,2,2,3,2,3,2
"P277",5,4,3,4,4,4,4,4,4,5,4,3,3,3,3,3,2,2
"P278",4,4,3,4,4,4,3,3,3,2,3,3,4,3,3,3,2,2
"P279",2,3,1,2,2,2,4,3,4,3,2,4,3,3,2,3,2,2
"P280",2,3,2,3,2,2,4,4,4,4,3,3,2,2,1,2,2,2
"P281",3,3,3,2,3,3,3,3,2,2,2,2,3,3,3,4,3,3
"P282",3,3,3,4,4,3,3,2,3,2,3,2,3,3,3,3,3,2
"P283",3,4,4,4,3,4,3,3,3,3,2,4,3,1,1,2,2,2
"P284",3,4,3,3,3,3,4,4,4,4,4,3,2,2,2,3,3,3
"P285",3,4,4,3,3,4,4,3,3,4,3,3,2,2,2,2,2,3
"P286",4,3,2,3,3,2,3,2,2,2,4,3,4,3,2,4,4,3
"P287",3,3,2,2,4,3,4,4,4,3,4,4,3,4,4,3,2,3
"P288",3,3,3,3,3,2,4,2,2,2,3,3,2,3,2,2,4,3
"P289",4,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3
"P290",2,2,2,2,3,3,4,4,4,4,5,4,2,3,3,2,2,2
"P291",3,3,2,4,3,3,3,3,3,3,3,4,3,2,3,3,3,2
"P292",2,3,5,3,3,3,2,3,3,2,2,4,2,2,4,3,3,3
"P293",3,3,2,3,2,3,3,3,2,4,4,3,2,4,2,2,2,3
"P294",3,2,3,3,4,3,2,2,1,3,2,2,1,2,2,2,2,3
"P295",3,3,4,3,4,2,2,3,3,2,3,4,5,3,4,5,5,4
"P296",4,3,3,1,3,4,4,3,3,3,4,4,3,4,4,4,5,4
"P297",3,3,3,3,3,3,3,4,3,3,3,3,2,3,3,3,2,3
"P298",2,1,2,1,1,1,2,3,2,4,4,4,5,4,5,4,4,3
"P299",3,4,4,3,3,3,3,4,4,3,3,3,3,3,3,2,4,3
"P300",4,3,3,3,3,3,3,4,3,4,4,4,3,3,3,3,4,3
"P301",3,2,3,3,3,3,3,3,3,3,3,3,2,2,1,2,2,3
"P302",3,4,3,4,3,4,4,4,3,3,4,3,3,3,2,1,3,3
"P303",3,1,2,1,3,1,5,3,3,4,4,4,3,3,2,2,2,2
"P304",2,3,3,3,3,4,4,3,2,3,4,4,2,3,3,2,3,2
"P305",3,3,4,3,3,3,3,3,3,4,3,3,2,3,4,3,2,5
"P306",4,4,4,3,4,3,3,3,3,3,3,3,4,3,3,3,4,3
"P307",4,3,2,1,4,3,2,3,3,3,3,3,3,2,2,1,2,2
"P308",2,4,3,4,3,2,3,4,3,3,2,3,2,2,4,3,4,3
"P309",4,3,4,3,4,3,4,5,4,3,3,3,3,4,3,4,3,2
"P310",3,2,3,3,3,2,4,2,3,3,3,2,3,3,2,2,3,3
"P311",4,4,5,4,4,4,2,2,2,2,3,2,3,3,2,3,4,3
"P312",2,4,1,2,2,3,4,3,3,4,3,3,2,3,3,3,3,4
"P313",3,4,4,3,4,3,3,2,2,2,3,2,2,3,2,3,3,2
"P314",3,2,4,3,3,4,2,3,1,2,3,2,2,2,3,2,3,2
"P315",2,1,1,2,2,3,3,3,2,3,3,3,3,3,2,2,2,2
"P316",4,2,4,3,3,3,2,2,2,3,2,3,3,3,2,3,4,4
"P317",4,3,2,4,4,3,4,2,3,4,4,3,3,3,3,3,5,3
"P318",2,3,2,2,2,2,3,4,3,4,4,4,4,4,4,2,3,3
"P319",2,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,4
"P320",4,3,2,3,3,3,2,2,2,2,3,3,3,2,3,3,3,3
"P321",4,3,4,3,3,3,3,3,3,2,3,3,2,2,1,2,1,2
"P322",4,1,4,4,4,3,3,4,3,3,3,4,4,3,4,4,4,3
"P323",4,4,3,3,4,4,2,2,2,3,3,3,4,3,3,5,4,4
"P324",3,4,2,2,2,2,3,3,2,3,3,3,3,3,3,3,4,3
"P325",2,3,3,2,4,2,3,4,3,4,3,4,3,3,4,3,4,4
"P326",3,2,2,2,3,3,3,3,2,3,4,4,4,3,3,4,3,4
"P327",3,3,2,3,3,2,3,4,2,2,3,3,3,2,1,2,3,2
"P328",2,2,1,2,2,2,2,3,2,2,1,3,3,4,3,2,3,3
"P329",4,3,3,4,3,3,3,3,3,3,3,3,3,3,2,3,2,3
"P330",3,3,4,4,3,3,4,3,4,3,4,2,3,3,2,2,3,2
"P331",3,3,3,3,3,3,4,4,3,2,3,4,3,3,3,2,2,3
"P332",3,2,3,4,3,4,4,4,4,4,3,4,3,4,2,3,3,2
"P333",4,3,5,4,4,4,3,3,2,3,2,2,2,2,3,2,3,3
"P334",4,4,4,4,4,4,4,3,4,4,3,3,1,2,2,1,2,2
"P335",3,3,3,3,3,4,3,4,4,3,2,3,4,3,5,4,3,4
"P336",3,3,3,3,3,4,3,3,4,3,3,3,4,4,3,2,2,2
"P337",4,4,4,3,3,4,2,2,2,2,2,3,3,4,3,3,3,2
"P338",3,2,3,3,3,3,3,2,4,3,3,3,2,3,3,2,2,2
"P339",4,4,3,4,3,3,3,3,4,4,3,2,1,2,2,3,3,3
"P340",4,3,4,4,5,4,2,3,3,3,3,3,3,3,2,3,3,3
"P341",5,4,5,3,4,5,2,3,3,2,3,3,4,4,2,3,4,5
"P342",4,4,3,2,4,4,3,2,2,3,1,2,3,3,3,3,3,3
"P343",2,2,3,3,3,3,3,3,4,3,3,3,2,2,3,3,3,3
"P344",3,3,4,2,3,4,4,4,4,5,4,4,3,4,3,4,3,4
"P345",3,4,4,4,4,4,2,2,3,2,3,2,4,5,3,4,2,3
"P346",3,4,4,5,4,4,4,4,5,4,4,3,2,2,3,2,2,3
