"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10"
"P111",3,3,2,2,2,2,2,3,2,2
"P112",2,1,2,0,1,1,1,2,2,1
"P113",1,2,2,2,2,1,1,2,2,1
"P114",1,2,3,2,2,1,2,1,2,2
"P115",2,2,2,1,1,2,2,2,1,2
"P116",1,1,1,1,0,1,0,2,1,2
"P117",3,1,2,1,2,2,2,2,2,3
"P118",2,2,2,1,1,2,1,2,2,2
"P119",2,1,2,2,2,1,2,2,1,2
"P120",2,2,1,1,2,2,1,2,2,2
"P121",2,2,2,1,1,2,2,3,1,2
"P122",2,1,0,1,0,1,1,1,0,2
"P123",1,2,1,1,1,2,1,2,1,1
"P124",2,3,3,3,2,2,2,3,3,3
"P125",2,1,2,2,2,1,3,2,3,2
"P126",1,4,1,1,1,1,1,2,1,1
"P127",3,2,2,2,2,2,3,2,2,2
"P128",1,1,1,1,0,1,1,1,1,2
"P129",1,0,2,1,0,1,1,2,2,0
"P130",3,2,3,2,3,3,3,1,3,2
"P131",3,3,3,2,3,3,3,3,2,1
"P132",3,3,2,3,2,2,2,3,2,2
"P133",1,0,2,1,0,2,1,2,2,1
"P134",2,1,1,2,1,2,2,2,2,0
"P135",1,1,0,2,1,2,1,0,1,0
"P136",2,1,1,2,2,1,3,1,2,1
"P137",2,1,1,2,2,2,2,2,2,2
"P138",2,2,2,4,2,1,2,2,1,2
"P139",2,2,1,1,2,1,1,2,2,2
"P140",2,2,3,2,3,4,3,3,2,2
"P141",1,2,0,1,1,1,1,1,1,0
"P142",2,2,2,1,3,3,2,2,2,3
"P143",1,1,1,2,1,1,2,2,2,2
"P144",2,3,1,3,3,2,2,2,1,1
"P145",2,2,2,2,3,1,2,2,2,2
"P146",2,2,1,3,3,3,3,3,3,3
"P147",2,3,2,2,4,4,3,3,2,2
"P148",1,2,2,2,2,3,1,2,2,2
"P149",2,4,1,1,3,3,3,2,3,2
"P150",3,3,3,3,4,3,3,2,2,3
