"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","attention_check","response_time_sec"
"P038",2,3,3,3,4,2,2,4,3,3,3,3,4,2,3,4,3,4,3,2,3,75
"P039",2,3,4,2,3,2,3,3,4,4,3,3,3,3,3,2,2,3,3,4,5,440
"P040",3,3,5,NA,3,1,1,2,2,2,3,4,3,2,2,2,2,3,3,2,2,341
"P041",3,3,2,2,3,4,3,3,3,3,4,3,4,3,3,3,4,4,3,4,3,483
"P042",1,3,4,2,3,2,2,2,2,1,4,3,2,2,2,2,2,3,1,2,3,508
"P043",4,4,2,4,3,4,4,3,4,3,2,3,3,3,4,4,3,3,4,3,3,368
"P044",3,3,2,2,3,3,3,3,4,4,3,4,3,3,3,3,3,3,4,4,3,280
"P045",3,2,3,3,3,2,2,2,3,3,3,2,4,NA,3,2,2,3,2,3,3,199
"P046",4,2,3,3,4,5,3,3,4,4,4,4,4,3,3,3,4,2,3,3,3,280
"P047",4,2,1,3,4,3,3,3,3,3,3,3,3,3,4,2,3,3,5,3,3,18
"P048",3,3,3,NA,2,4,3,3,2,3,4,3,3,3,3,3,4,3,3,3,3,162
"P049",3,4,3,NA,4,4,4,4,4,3,2,3,4,4,3,3,3,4,3,4,3,285
"P050",3,3,NA,NA,1,NA,3,3,2,3,NA,3,3,2,2,3,3,NA,NA,3,3,221
"P051",3,2,3,3,2,3,3,3,2,1,3,3,3,3,3,3,3,3,3,2,5,14
"P052",2,3,4,4,4,4,4,3,4,4,2,4,3,3,3,3,3,3,2,3,3,433
"P053",3,4,4,NA,3,3,NA,3,NA,NA,4,3,NA,3,4,3,NA,3,3,3,3,359
"P054",2,1,NA,3,1,NA,3,3,2,NA,4,3,2,NA,2,3,2,NA,NA,3,3,381
"P055",3,3,3,4,2,4,3,4,4,3,3,3,2,3,2,3,2,3,3,3,3,361
"P056",2,3,4,3,2,2,NA,2,3,2,NA,4,NA,3,NA,3,NA,NA,3,4,3,158
"P057",2,2,4,2,3,3,2,2,2,2,4,2,3,2,2,2,3,1,2,2,3,284
"P058",3,2,3,2,2,2,3,3,3,2,4,1,3,3,3,2,3,3,2,3,3,455
"P059",NA,3,2,4,4,4,NA,3,5,NA,3,NA,3,NA,3,5,4,3,3,NA,3,373
"P060",3,4,3,3,2,3,3,3,NA,3,4,4,3,3,3,3,4,3,3,3,3,366
"P061",4,3,4,3,4,3,3,3,3,3,2,3,2,3,3,4,3,3,3,3,3,345
"P062",2,4,3,3,3,3,3,4,3,3,2,4,4,4,4,4,2,3,2,3,2,325
"P063",2,4,2,4,2,3,2,2,4,3,2,4,4,3,3,3,3,3,3,3,3,422
"P064",4,2,3,3,3,4,2,3,3,3,3,3,2,NA,3,3,2,4,2,3,3,474
"P065",4,4,3,3,3,3,3,4,3,3,2,3,4,4,3,4,4,3,4,3,3,460
"P066",3,3,2,4,3,3,4,3,NA,3,3,3,3,4,3,2,3,3,3,3,3,332
"P067",3,3,4,3,3,3,2,4,4,3,4,2,4,3,3,4,4,3,2,3,3,370
"P068",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,132
"P069",3,3,3,3,4,2,4,4,4,2,3,2,3,3,2,3,4,3,3,3,3,470
"P070",3,4,3,3,4,3,4,4,3,3,3,4,3,3,4,3,3,3,2,3,3,222
"P071",3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,2,2,3,4,2,3,43
"P072",3,2,2,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,4,4,3,327
"P073",3,3,4,2,3,4,3,2,4,3,3,3,4,3,4,3,3,3,4,4,3,327
"P074",2,3,2,3,4,3,3,3,3,3,3,3,4,3,2,3,2,4,3,4,3,252
"P075",2,2,3,3,3,2,2,2,3,3,3,2,2,3,2,3,3,2,2,3,1,410
"P076",3,3,4,2,2,3,3,2,2,2,3,3,2,2,3,2,3,2,2,2,3,125
"P077",5,1,1,5,5,5,5,5,1,5,5,1,1,5,1,5,5,5,5,5,3,626
"P078",1,2,4,NA,3,2,3,2,2,2,3,2,3,2,2,3,3,2,2,2,3,416
"P079",4,4,2,4,3,4,3,4,NA,4,3,4,4,NA,4,4,3,3,3,4,3,282
"P080",3,4,3,4,3,4,3,4,3,4,3,4,4,3,3,3,4,4,3,3,3,304
"P081",2,2,4,3,3,3,3,2,2,2,4,3,3,2,2,3,2,3,2,3,3,243
"P082",2,3,3,4,3,2,3,2,2,3,4,2,3,3,2,3,3,1,2,2,3,219
"P083",2,1,4,2,3,3,1,3,3,1,4,1,2,2,1,2,2,2,3,2,3,178
"P084",4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,5,381
"P085",2,2,3,2,NA,NA,2,3,3,2,3,NA,3,2,NA,NA,NA,2,2,2,3,266
"P086",4,4,3,3,4,4,3,4,4,4,3,3,4,4,5,3,3,3,3,4,3,342
"P087",3,3,3,NA,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,358
"P088",3,4,4,3,4,3,3,2,4,4,3,3,4,3,3,2,3,2,3,3,3,429
"P089",2,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2,3,2,3,3,3,225
"P090",2,3,2,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,3,4,3,263
"P091",3,3,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,488
"P092",3,4,2,2,4,4,3,3,3,4,2,3,4,2,4,3,3,3,2,3,4,28
"P093",4,5,2,3,4,4,4,3,3,4,2,4,4,3,4,3,3,3,3,3,3,247
"P094",3,3,3,NA,3,2,2,2,3,3,3,2,2,2,3,3,2,2,2,2,3,270
"P095",2,2,3,3,3,2,3,3,2,3,3,2,2,2,2,3,3,4,2,2,3,330
"P096",3,4,2,3,2,2,4,3,3,2,2,3,3,4,4,3,3,4,3,3,3,401
"P097",3,3,3,3,4,3,3,3,2,3,4,3,3,3,4,2,4,3,4,3,3,301
"P098",3,3,2,3,2,2,2,2,2,3,3,2,3,4,3,2,2,3,2,3,3,377
"P099",2,1,4,NA,3,2,2,3,2,3,3,2,2,2,3,2,3,3,2,2,3,418
"P100",3,4,3,4,3,4,3,4,4,4,3,3,4,4,2,4,3,3,3,4,4,186
"P101",3,3,3,2,1,3,3,3,3,2,3,3,3,3,2,3,3,2,3,2,3,316
"P102",3,4,3,4,3,4,3,3,4,3,2,4,3,3,5,4,3,2,4,2,3,236
"P103",3,3,2,3,2,NA,3,3,2,3,NA,NA,3,3,2,NA,NA,NA,3,3,3,247
"P104",3,3,2,3,5,3,4,3,4,3,2,3,4,3,3,3,4,5,3,4,3,15
"P105",2,2,3,3,1,3,2,2,3,3,3,2,2,3,3,2,3,3,2,3,3,22
"P106",4,3,3,4,4,4,4,4,3,4,3,4,4,3,3,4,3,4,3,3,3,312
"P107",3,4,3,2,2,2,2,3,4,2,4,3,3,2,2,2,2,3,2,3,3,197
"P108",2,4,2,3,3,4,4,3,4,2,3,3,3,4,3,3,4,4,3,3,3,406
"P109",3,3,3,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,3,3,3,313
"P110",2,3,3,2,2,2,2,2,3,2,3,2,2,2,2,2,2,2,1,2,3,332
"P111",5,5,2,5,4,5,4,4,4,4,1,4,4,NA,5,4,4,5,4,4,3,26
"P112",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,670
"P113",3,3,2,2,4,2,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,334
"P114",1,3,4,3,3,2,2,3,3,2,3,1,2,2,2,1,2,2,2,3,3,381
"P115",4,4,4,4,4,4,4,4,4,4,4,4,4,NA,4,4,4,4,4,4,2,211
"P116",3,1,4,1,3,2,3,2,2,3,4,4,2,2,3,3,2,3,2,2,3,363
"P117",5,1,5,1,5,1,5,5,1,5,1,5,1,5,1,1,1,1,5,1,3,471
"P118",2,2,2,4,3,3,3,4,3,3,1,2,3,3,3,3,3,3,3,3,3,269
"P119",4,2,3,3,3,3,3,4,3,4,3,4,3,4,3,4,3,3,3,3,2,311
"P120",4,4,2,4,3,3,3,5,4,4,2,3,3,4,4,4,3,4,4,3,3,186
"P121",4,3,2,3,4,3,4,3,3,3,4,4,3,3,3,3,3,3,4,3,4,303
"P122",4,3,2,2,3,2,3,2,NA,3,4,2,3,2,3,3,3,3,3,2,3,444
"P123",3,3,NA,4,2,2,3,NA,3,2,3,NA,NA,NA,3,2,2,4,3,NA,3,194
"P124",3,3,3,4,4,4,4,3,2,4,3,3,3,3,3,4,4,3,4,3,3,250
"P125",2,3,5,3,2,3,2,3,2,2,3,2,3,2,2,2,3,1,3,3,3,299
"P126",3,5,1,4,4,4,4,5,4,4,2,4,3,4,5,4,4,4,4,4,3,136
"P127",3,4,3,3,2,3,3,2,3,3,4,3,3,2,3,3,3,2,4,2,3,310
"P128",3,4,3,3,3,3,4,4,5,3,3,5,3,3,4,3,4,4,4,4,3,481
"P129",4,2,4,4,2,3,2,3,3,3,4,3,2,3,3,3,3,NA,3,2,3,276
"P130",4,4,2,4,4,4,4,4,3,4,2,4,4,3,4,3,3,2,3,4,3,415
"P131",3,3,3,2,2,1,4,2,2,2,3,3,3,3,2,2,2,2,2,2,1,429
"P132",4,3,4,2,3,2,2,3,3,3,3,3,3,3,3,2,3,2,3,3,3,525
"P133",4,4,3,4,3,3,4,4,4,4,2,4,5,4,4,4,5,4,3,4,3,155
"P134",3,1,5,2,2,3,1,2,2,2,4,2,1,2,2,2,1,3,2,1,3,483
"P135",3,3,3,3,3,4,3,3,3,4,3,4,2,NA,1,3,3,3,2,3,3,418
"P136",3,2,2,3,3,3,1,2,3,3,3,3,3,3,3,3,2,2,3,4,5,384
"P137",3,4,2,3,3,4,3,3,4,3,2,4,4,4,4,3,3,4,4,4,3,538
"P138",3,4,2,3,2,3,4,4,3,3,2,2,4,3,3,3,3,3,2,3,3,184
"P139",3,4,3,4,4,3,3,3,3,4,1,3,3,4,3,3,3,4,3,4,3,327
"P140",1,5,1,1,5,5,1,5,5,5,5,5,5,1,1,1,5,NA,1,5,3,656
"P141",3,3,3,4,4,3,2,4,3,4,3,5,3,NA,4,2,5,3,3,4,3,337
"P142",2,1,3,3,1,3,1,3,3,3,4,4,2,3,2,2,3,1,2,3,3,415
"P143",3,3,4,2,2,2,4,3,3,2,5,3,4,3,2,3,3,2,3,3,3,26
"P144",3,3,3,4,4,3,3,2,NA,3,3,4,5,3,4,3,3,4,4,3,3,385
"P145",4,4,2,5,3,4,3,4,NA,5,3,4,4,4,3,5,4,4,4,4,3,377
"P146",3,2,3,3,3,3,3,4,1,3,3,2,3,3,3,4,4,2,4,3,3,340
"P147",4,4,2,4,4,2,4,3,2,4,3,3,4,4,4,4,4,4,3,4,3,173
"P148",2,2,4,2,1,2,1,1,1,1,4,1,1,1,1,2,2,1,2,2,3,308
"P149",3,3,2,4,4,3,3,4,4,3,2,4,4,3,4,2,4,3,2,4,3,327
"P150",3,4,3,3,4,4,4,4,3,5,3,4,3,3,3,4,4,4,3,4,3,384
"P151",2,3,5,3,2,2,1,2,2,2,4,2,2,1,1,2,2,2,3,1,3,394
"P152",3,3,2,3,4,3,3,3,2,2,3,3,4,NA,3,3,3,3,2,3,3,255
"P153",3,3,3,2,3,3,3,3,4,4,3,2,3,2,3,2,3,4,2,3,3,485
"P154",4,5,3,5,3,4,3,4,3,3,1,5,5,4,3,4,4,4,4,5,3,423
"P155",3,4,3,2,3,4,3,3,3,2,3,3,3,2,3,2,2,3,4,4,3,252
"P156",4,3,1,3,3,3,4,3,4,3,3,5,4,4,3,3,3,3,4,4,3,417
"P157",4,4,4,3,3,4,3,3,4,2,3,3,3,4,3,3,2,3,3,4,3,173
"P158",5,1,5,5,1,5,5,5,5,1,5,1,1,5,5,1,1,1,1,5,3,403
"P159",3,2,3,2,2,3,2,1,3,2,3,3,2,3,3,1,3,2,2,3,3,13
"P160",3,4,2,2,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,359
"P161",2,2,5,2,2,2,3,2,3,2,4,2,3,3,3,2,2,3,2,2,3,325
"P162",3,4,3,3,3,3,2,3,2,2,2,3,4,3,2,2,3,3,5,2,3,162
"P163",1,1,5,2,2,1,2,2,1,2,5,1,1,1,1,1,1,1,2,2,1,405
"P164",3,3,2,3,3,3,3,3,2,3,3,2,3,3,4,4,2,3,3,3,3,316
"P165",3,2,4,3,3,3,4,2,2,2,3,3,2,2,2,3,2,2,3,3,3,170
"P166",4,4,2,4,4,3,4,4,4,4,3,4,2,4,4,4,3,4,4,5,3,259
"P167",1,1,5,1,1,1,1,1,1,5,5,1,1,5,5,5,1,1,1,5,3,392
"P168",3,3,3,3,4,4,3,3,3,3,2,2,3,3,4,3,3,NA,3,3,3,313
"P169",4,2,3,4,3,4,3,3,3,3,4,2,4,3,3,4,4,3,4,1,3,12
"P170",3,3,3,2,2,3,2,3,4,3,3,3,3,3,3,2,3,NA,3,2,3,278
"P171",2,3,3,3,3,3,3,4,4,4,3,2,3,3,3,3,3,3,4,3,3,245
"P172",1,5,1,5,1,1,5,5,5,1,5,5,5,1,1,5,5,5,1,1,3,259
"P173",3,4,3,4,3,3,3,3,3,3,3,3,2,3,3,4,2,3,3,3,3,418
"P174",4,3,2,3,3,3,4,4,4,5,3,2,4,4,4,4,4,3,5,3,3,35
"P175",5,4,1,5,3,4,4,5,4,4,1,4,4,4,4,4,4,4,3,4,3,322
"P176",3,3,3,4,3,4,3,3,3,4,3,2,2,3,3,3,3,3,4,2,3,452
"P177",3,4,3,3,5,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,308
"P178",3,3,2,3,3,3,2,3,3,3,4,2,3,3,3,3,3,3,2,3,3,230
"P179",3,3,3,2,3,3,3,4,3,2,3,3,4,4,4,3,3,4,3,2,3,226
"P180",3,4,2,3,4,3,3,3,4,4,2,4,4,3,3,3,4,4,3,3,3,469
"P181",3,2,4,3,3,3,3,3,3,3,3,3,3,4,2,3,4,2,3,3,3,30
"P182",5,3,3,3,3,3,3,4,2,4,3,3,3,3,2,3,2,3,4,3,3,256
"P183",3,4,3,4,3,4,4,3,4,2,3,3,4,3,4,3,4,4,4,3,3,236
"P184",3,4,3,3,4,3,4,3,4,2,2,3,4,3,3,3,3,4,3,3,3,230
"P185",3,3,3,4,4,3,4,5,2,3,3,2,3,3,4,4,3,4,3,4,3,191
"P186",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,314
"P187",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,479
"P188",3,2,4,2,2,1,2,3,2,1,3,1,2,2,2,2,1,2,2,2,3,262
"P189",3,3,3,4,3,4,3,3,3,2,3,4,3,3,3,3,4,3,3,3,3,522
"P190",4,2,3,3,3,3,2,3,3,3,3,5,2,3,4,3,4,3,4,2,3,43
"P191",4,4,4,4,5,3,4,3,4,2,3,3,4,3,4,4,4,3,2,3,3,336
"P192",2,3,4,2,2,2,2,2,NA,2,4,2,3,2,3,2,2,3,2,1,3,436
"P193",3,1,4,2,2,3,3,3,2,2,3,2,2,2,2,2,2,3,3,3,3,155
"P194",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,177
"P195",1,1,5,5,5,1,5,5,1,1,5,1,5,1,1,1,1,5,1,5,3,357
"P196",3,4,4,2,1,3,2,3,2,1,4,1,1,3,2,3,2,3,2,2,5,232
"P197",2,2,4,2,2,1,2,2,1,1,5,1,2,2,1,1,2,2,3,2,2,208
"P198",4,4,3,3,3,4,3,3,4,3,3,3,4,3,4,5,3,4,3,4,3,308
"P199",2,3,4,1,2,3,2,2,3,2,5,3,2,2,2,1,2,2,2,3,2,161
"P200",3,2,3,NA,2,3,3,3,4,4,3,3,3,NA,3,2,3,4,3,3,3,266
"P201",3,3,2,3,3,2,3,4,2,2,3,2,4,3,4,1,2,3,3,3,3,36
"P202",3,2,3,3,2,2,2,3,3,3,3,3,3,2,4,3,2,2,3,3,3,13
"P203",3,3,4,2,3,2,2,3,3,2,3,2,3,2,2,2,1,1,3,3,3,12
"P204",4,4,2,3,3,4,3,4,4,3,4,3,4,4,3,4,3,3,3,3,3,301
"P205",2,4,3,4,3,3,4,5,3,4,4,3,3,4,3,3,3,3,3,3,3,160
"P206",3,3,2,3,3,2,3,2,2,3,3,3,3,3,3,3,4,4,3,4,3,174
"P207",2,3,4,3,3,4,3,4,3,4,3,4,4,2,3,3,3,2,2,3,3,256
"P208",2,3,3,2,2,2,3,3,3,2,4,2,1,2,2,3,2,3,2,2,3,398
"P209",2,3,4,4,3,2,3,4,3,3,2,3,3,3,2,4,3,3,3,3,3,240
"P210",2,3,3,2,3,3,2,3,2,3,4,3,3,2,2,3,2,3,3,2,1,269
"P211",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,438
"P212",3,3,4,4,4,4,4,2,4,3,3,2,4,3,4,4,4,4,4,4,3,392
"P213",4,3,3,4,4,2,4,2,4,3,3,2,3,3,2,3,3,2,2,4,3,208
"P214",4,3,4,4,3,3,4,3,3,4,3,4,3,3,4,3,3,3,3,4,3,419
"P215",4,3,4,4,3,4,4,4,4,2,2,4,3,2,3,4,3,2,4,3,3,28
"P216",3,3,3,2,2,3,4,4,3,2,3,2,3,3,4,3,3,3,3,3,3,233
"P217",3,2,3,1,3,3,3,2,3,4,3,3,3,3,3,3,1,2,3,2,3,307
"P218",3,4,3,4,4,3,4,3,4,4,1,4,4,3,3,4,3,3,5,3,3,256
"P219",3,3,4,3,3,2,4,2,1,2,3,4,2,3,2,3,3,3,2,3,3,546
"P220",4,4,3,4,3,3,3,4,4,3,3,4,4,4,3,2,4,4,2,4,3,452
"P221",3,3,2,4,3,3,4,4,4,3,2,2,3,2,4,4,3,3,3,4,3,330
"P222",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,446
"P223",4,3,3,NA,4,4,5,NA,4,3,2,NA,4,4,3,NA,NA,4,4,NA,3,225
"P224",2,2,4,3,2,2,2,3,3,2,2,2,2,2,3,4,3,3,3,3,3,507
"P225",2,3,4,2,2,NA,NA,NA,2,3,4,2,3,2,NA,NA,2,2,NA,2,3,280
"P226",3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,2,2,3,3,3,3,348
"P227",4,3,3,3,3,4,3,4,4,4,3,3,4,3,3,4,3,4,3,3,3,60
"P228",1,1,5,1,1,1,1,1,2,2,5,1,2,1,3,2,1,1,2,1,1,15
"P229",3,3,3,4,3,3,3,3,4,2,3,2,3,3,3,3,3,4,4,2,3,239
"P230",3,1,3,3,3,2,2,3,2,2,4,2,2,2,2,3,2,3,2,2,3,402
"P231",3,4,3,3,3,4,3,4,3,3,2,4,4,3,4,4,3,4,3,4,3,223
"P232",3,3,3,3,4,3,2,3,3,3,3,3,3,4,2,3,3,3,4,4,3,380
"P233",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,391
"P234",2,2,4,2,2,3,3,2,3,3,5,2,2,3,2,1,3,2,2,2,3,373
"P235",4,4,3,4,3,3,3,4,4,4,2,3,3,3,4,4,3,4,3,4,3,237
"P236",4,4,3,5,4,4,4,3,4,3,2,3,3,5,4,3,3,3,5,4,3,305
"P237",4,4,3,4,5,4,5,5,4,5,1,4,4,4,4,4,4,5,4,4,3,309
"P238",3,3,4,4,4,3,5,3,NA,3,3,3,3,4,4,4,3,3,2,3,2,403
"P239",2,1,5,1,1,1,2,1,1,1,5,2,2,1,1,1,1,1,2,1,3,221
"P240",3,3,4,2,2,3,3,2,2,2,2,3,2,3,3,3,4,3,2,4,3,247
"P241",3,3,2,1,4,3,3,3,3,3,3,4,1,3,4,3,3,3,2,4,3,280
"P242",3,4,3,2,3,2,3,3,3,3,2,4,2,1,3,3,2,3,4,4,3,14
"P243",3,3,3,3,2,4,3,2,3,3,4,3,1,3,3,3,3,3,3,2,3,34
"P244",4,4,3,4,4,3,2,3,3,4,2,2,3,4,4,4,4,NA,4,3,3,224
"P245",2,2,3,2,3,3,3,2,2,3,3,2,2,2,3,2,2,3,2,2,3,417
"P246",4,4,2,4,4,4,5,4,5,4,1,4,4,5,5,4,5,5,3,5,3,113
"P247",4,3,2,NA,4,3,3,4,2,3,2,4,5,3,3,3,4,4,4,4,3,327
"P248",2,4,4,3,3,3,2,3,3,3,3,4,3,2,3,2,2,3,3,3,3,351
"P249",3,2,3,3,4,2,2,2,3,3,4,3,3,3,2,2,2,3,2,3,3,449
"P250",4,3,3,3,3,3,3,3,NA,3,4,4,2,3,3,2,4,3,3,4,3,389
"P251",2,3,4,3,2,3,2,3,2,3,4,2,2,3,3,2,3,3,2,2,3,248
"P252",2,5,2,4,4,4,4,3,3,3,3,3,4,3,2,4,3,4,3,4,3,480
"P253",3,4,3,3,2,3,3,2,3,2,3,2,2,2,2,2,3,3,3,3,3,350
"P254",3,3,3,4,3,3,2,2,4,2,3,3,3,2,2,3,3,2,3,3,3,30
"P255",3,3,3,3,3,4,4,3,2,3,4,3,2,3,3,3,4,2,3,3,5,474
"P256",2,NA,3,3,2,3,NA,3,3,3,3,NA,3,3,2,NA,NA,4,NA,4,3,493
"P257",3,3,3,NA,2,4,2,3,2,2,3,3,4,3,3,3,4,3,3,2,3,9
"P258",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,505
"P259",3,4,3,5,4,3,4,3,4,3,2,3,3,4,4,5,4,3,3,3,3,493
"P260",3,2,3,3,2,2,3,2,3,3,4,3,4,2,3,2,4,3,2,3,2,250
"P261",4,3,2,3,2,4,4,4,4,3,2,4,4,4,4,3,4,4,3,2,3,416
"P262",4,3,4,2,3,3,2,3,3,3,4,3,1,3,3,1,2,3,3,3,3,175
"P263",3,3,4,3,1,2,3,2,2,3,4,3,2,2,3,3,3,2,2,3,3,555
"P264",3,2,3,2,2,2,3,3,3,3,3,3,3,2,3,2,2,3,3,3,3,204
"P265",3,4,3,3,3,3,3,4,2,4,3,3,4,2,3,3,4,3,3,3,3,10
"P266",3,4,2,5,5,3,3,3,4,4,2,3,3,4,4,5,5,4,4,4,3,347
"P267",2,4,2,3,3,3,3,4,4,3,2,2,2,4,3,3,3,4,3,3,3,40
"P268",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,485
"P269",2,3,4,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,2,4,3,485
"P270",3,4,4,3,2,3,2,3,3,4,3,4,3,3,3,3,3,3,4,3,3,375
"P271",5,4,2,4,5,3,4,4,3,3,1,4,3,4,3,3,4,4,4,4,3,135
"P272",NA,4,4,NA,2,NA,2,NA,2,NA,4,4,3,2,2,2,NA,2,NA,3,3,383
"P273",3,3,3,3,4,3,3,4,NA,4,2,4,4,4,3,4,3,3,3,4,3,94
"P274",4,3,3,4,3,4,4,4,3,4,3,3,4,3,4,3,2,3,4,4,3,56
"P275",3,4,3,2,3,3,2,3,2,3,4,2,3,2,2,3,2,4,3,2,3,385
"P276",3,3,4,4,3,3,3,2,3,2,3,3,3,3,3,3,4,3,3,2,3,447
"P277",3,3,1,3,2,3,2,4,4,5,4,2,4,3,3,3,4,3,3,4,3,319
"P278",2,3,3,2,4,3,3,2,5,4,3,3,4,3,4,4,3,2,4,4,3,19
"P279",3,2,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,577
"P280",3,3,2,3,3,2,3,3,4,4,3,4,2,2,4,5,3,3,4,3,5,327
"P281",1,3,3,3,3,2,3,3,2,1,3,4,3,2,2,4,3,3,2,2,3,310
"P282",3,3,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,357
"P283",4,3,3,4,3,4,4,4,4,3,2,4,4,NA,4,4,4,4,4,4,3,356
"P284",NA,2,4,2,2,NA,1,NA,3,2,3,3,3,NA,3,2,1,2,NA,NA,3,358
"P285",3,3,4,2,4,3,2,2,4,2,4,2,3,2,3,2,3,3,2,2,3,220
