"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12"
"P060",4,3,2,2,3,3,4,3,3,3,4,3
"P061",3,4,3,3,4,4,4,4,2,4,3,2
"P062",3,3,3,2,3,3,3,2,2,3,3,3
"P063",3,3,3,1,3,3,2,3,2,3,3,2
"P064",4,4,3,3,3,4,4,2,3,2,1,3
"P065",2,2,2,2,2,2,3,2,2,2,3,3
"P066",2,3,3,3,3,3,2,5,3,3,3,3
"P067",2,3,3,4,2,3,3,2,2,3,3,3
"P068",3,2,2,2,3,3,3,2,2,3,4,4
"P069",3,4,3,3,3,3,3,2,4,3,3,3
"P070",3,4,3,3,3,3,3,3,3,3,3,3
"P071",3,3,3,2,3,2,3,3,3,2,5,3
"P072",5,4,3,4,4,4,2,2,3,3,3,2
"P073",5,4,3,3,3,3,4,2,4,3,3,2
"P074",3,3,4,2,3,2,3,2,2,3,3,3
"P075",2,2,2,1,1,2,2,3,2,4,5,1
"P076",3,2,1,2,2,2,4,4,2,2,3,3
"P077",3,4,4,3,4,2,2,3,4,2,2,4
"P078",3,4,3,3,2,4,4,4,3,3,2,2
"P079",3,3,4,2,3,4,3,3,3,5,5,2
"P080",4,4,4,2,3,4,4,2,2,3,4,2
"P081",2,3,2,2,3,3,4,4,3,4,3,3
"P082",3,3,2,2,3,3,4,3,2,4,3,4
"P083",3,3,4,2,3,3,3,3,3,5,3,3
"P084",3,4,3,4,4,4,3,4,2,2,3,3
"P085",2,3,2,2,3,1,4,3,3,4,4,2
"P086",3,3,3,4,4,3,2,3,3,3,2,2
"P087",2,3,2,2,2,3,3,3,2,3,3,4
"P088",4,3,4,4,3,4,2,3,3,3,3,3
"P089",4,4,4,4,4,4,3,5,4,1,2,5
"P090",2,2,3,3,4,3,2,3,4,4,2,3
"P091",5,3,4,5,4,4,3,3,3,3,3,5
"P092",2,3,3,4,3,4,3,3,4,4,3,4
"P093",3,2,2,2,2,2,2,3,4,4,3,3
"P094",2,3,3,2,3,2,2,2,2,2,4,3
"P095",1,2,3,2,2,2,3,3,3,3,3,4
"P096",2,3,2,4,3,3,3,3,3,4,4,3
"P097",3,3,3,3,3,4,3,2,3,3,3,4
"P098",2,4,2,3,3,3,3,2,4,3,3,3
"P099",5,4,4,3,3,4,2,4,3,2,3,1
"P100",3,3,1,3,2,4,1,3,3,2,3,3
"P101",3,3,3,3,3,2,3,2,5,1,2,4
"P102",3,2,3,2,4,4,3,4,3,4,3,4
"P103",3,2,4,3,4,3,3,3,3,4,2,4
"P104",4,4,2,3,4,4,3,4,2,3,3,3
"P105",4,3,3,2,4,3,2,1,3,3,2,3
"P106",2,3,3,3,2,4,3,3,3,2,3,3
"P107",3,3,3,3,2,2,3,4,2,3,3,3
"P108",2,4,2,2,3,4,5,3,3,3,3,3
"P109",2,4,3,2,3,3,4,3,4,4,4,3
"P110",3,2,2,3,3,3,4,2,3,3,3,3
"P111",2,5,3,4,3,3,3,2,3,3,4,2
"P112",2,3,3,3,3,2,3,3,3,2,2,4
"P113",4,3,4,4,4,4,4,4,3,3,3,3
"P114",4,4,4,3,3,3,4,3,4,3,3,4
"P115",3,3,2,5,3,4,4,3,3,3,2,4
"P116",3,3,3,2,3,3,3,3,4,3,4,3
"P117",2,4,3,2,2,3,3,2,2,4,3,3
"P118",2,2,4,2,3,3,2,4,3,4,3,4
"P119",3,2,3,2,2,2,2,3,3,4,2,2
"P120",3,4,3,3,3,4,4,3,4,2,4,5
"P121",2,3,3,2,3,3,2,2,3,4,3,3
"P122",3,3,4,3,3,2,3,3,4,5,4,3
"P123",2,2,2,3,2,2,3,4,3,4,3,2
"P124",3,3,3,3,3,4,3,3,3,4,3,2
"P125",3,2,2,2,3,1,5,4,2,3,4,2
"P126",3,4,3,4,3,3,4,4,3,3,2,3
"P127",3,3,3,4,3,3,4,3,4,4,3,3
"P128",3,4,4,3,3,3,2,2,3,4,2,2
"P129",4,3,2,2,2,3,4,2,4,3,3,3
"P130",3,3,3,2,3,2,3,4,2,4,3,3
"P131",2,2,3,2,3,3,3,4,2,3,2,3
"P132",4,4,3,4,4,4,4,3,3,3,3,4
"P133",3,1,4,2,2,2,4,2,3,2,3,3
"P134",4,3,2,3,3,3,3,2,2,2,3,4
"P135",2,3,3,3,2,4,3,3,1,3,3,3
"P136",3,4,4,4,4,4,3,3,3,3,4,3
"P137",3,2,3,2,3,2,4,3,4,3,3,2
"P138",4,4,4,4,3,4,5,3,3,2,3,3
"P139",3,4,3,4,3,3,4,3,5,3,4,2
"P140",4,4,4,4,4,4,3,3,3,2,3,3
"P141",3,3,4,4,3,3,4,4,4,3,3,4
"P142",3,3,2,4,3,3,2,4,2,4,2,2
"P143",2,2,2,2,4,3,3,2,2,3,3,3
"P144",3,2,1,2,4,2,3,2,2,4,4,3
"P145",2,2,1,3,2,2,3,3,3,3,4,2
"P146",4,4,3,3,3,3,2,2,3,4,3,4
"P147",3,2,3,4,4,3,2,3,3,3,2,2
"P148",3,3,3,3,3,3,4,3,4,4,3,3
"P149",2,3,3,3,4,3,2,3,3,3,3,3
"P150",3,2,5,3,4,2,3,3,3,4,4,3
"P151",3,2,3,3,3,3,5,2,2,3,3,3
"P152",4,3,3,3,3,3,3,2,3,3,2,3
"P153",3,4,4,3,3,3,3,3,3,2,4,2
"P154",3,2,3,3,3,3,2,3,3,3,3,2
"P155",3,2,2,3,2,3,2,4,4,3,3,4
"P156",2,4,3,3,3,2,4,1,3,4,1,3
"P157",3,2,4,2,3,3,3,4,3,4,2,3
"P158",3,3,5,3,4,3,3,3,3,3,2,2
"P159",4,3,4,4,4,4,4,3,2,3,4,3
"P160",3,2,2,2,1,2,3,3,4,3,3,4
"P161",2,3,2,3,3,2,3,3,3,3,3,1
"P162",2,3,3,2,2,3,4,3,3,4,2,3
"P163",4,4,5,5,4,3,4,4,4,3,3,3
"P164",3,2,3,5,2,4,2,3,5,4,4,3
"P165",2,2,2,3,2,3,2,3,3,3,3,2
"P166",3,3,3,2,3,3,3,3,2,4,3,3
"P167",4,5,3,4,4,5,5,3,3,3,3,3
"P168",4,3,3,3,3,3,3,4,2,3,3,3
"P169",3,4,3,4,4,4,5,4,3,2,4,1
"P170",3,3,3,3,4,3,2,3,3,3,3,4
"P171",4,3,3,3,3,2,4,3,3,3,3,4
"P172",4,3,3,3,3,4,2,3,4,3,3,3
"P173",2,4,4,4,3,4,4,3,3,2,4,3
"P174",2,4,4,4,4,3,3,1,4,2,5,2
"P175",4,4,3,3,2,3,3,4,4,2,4,2
"P176",3,3,3,3,3,3,3,4,3,2,2,3
"P177",3,3,3,3,3,3,4,3,3,2,2,2
"P178",3,3,3,3,3,4,2,4,2,3,3,5
"P179",3,5,4,4,3,4,4,3,3,3,3,4
"P180",3,3,3,3,2,1,2,3,4,3,2,3
"P181",4,3,4,4,4,4,4,4,3,3,2,1
"P182",4,3,4,4,3,1,3,3,3,4,3,3
"P183",2,3,4,2,3,4,3,4,2,4,3,3
"P184",4,4,4,4,3,3,4,3,5,3,5,3
"P185",3,4,2,3,3,3,4,3,3,2,2,4
"P186",3,2,2,3,3,2,2,4,3,3,3,2
"P187",2,1,2,2,2,2,3,3,3,2,3,3
"P188",3,2,2,3,3,2,2,3,3,3,2,3
"P189",3,3,3,3,3,3,2,3,4,2,4,3
"P190",3,3,2,3,3,3,3,2,4,3,4,2
"P191",3,3,3,2,2,3,3,3,4,3,3,3
"P192",3,3,4,3,3,3,3,3,2,4,3,4
"P193",4,4,3,4,3,4,3,3,3,3,2,4
"P194",3,3,2,1,2,2,3,2,4,3,2,3
"P195",4,4,4,4,3,3,4,3,3,3,3,3
"P196",3,3,3,2,2,2,3,4,3,4,2,3
"P197",2,2,2,3,2,3,3,3,4,4,2,3
"P198",2,2,3,3,3,2,3,3,3,3,1,3
"P199",3,3,4,3,3,3,3,3,3,4,4,2
"P200",3,2,3,3,2,2,3,3,2,3,3,2
"P201",2,4,3,2,3,3,3,2,3,3,3,3
"P202",1,2,2,4,3,2,1,4,3,4,3,3
"P203",3,3,3,3,2,2,4,2,3,2,3,4
"P204",3,3,4,4,4,4,3,2,3,4,2,3
"P205",3,3,4,4,3,4,4,3,3,2,4,4
"P206",3,3,2,2,2,3,4,3,4,3,4,3
"P207",3,2,2,4,3,3,4,3,4,4,4,4
"P208",3,3,3,4,3,4,2,4,4,2,3,4
"P209",3,4,4,4,3,4,3,4,3,3,4,3
"P210",3,3,4,4,3,2,4,3,2,3,2,3
"P211",3,3,3,3,3,3,3,2,3,4,1,1
"P212",3,3,4,4,4,3,3,2,2,4,2,4
"P213",4,2,2,4,2,3,4,2,2,2,5,2
"P214",2,3,3,1,3,2,3,2,4,3,2,3
"P215",4,3,4,4,3,2,3,3,3,3,3,3
"P216",5,3,3,3,3,3,2,2,3,3,4,3
"P217",2,4,1,3,2,3,3,2,2,3,2,2
"P218",3,3,2,2,2,3,3,4,5,2,4,3
"P219",3,3,3,4,4,4,4,3,3,2,3,4
"P220",4,3,3,3,3,3,5,3,3,2,4,3
"P221",2,1,2,2,2,2,2,3,2,4,3,3
"P222",2,2,3,3,3,2,2,3,4,3,3,4
"P223",4,3,3,4,4,4,3,3,3,4,3,3
"P224",2,2,2,2,2,2,3,4,2,4,2,4
"P225",3,2,3,2,3,3,3,3,2,3,3,2
"P226",2,2,3,3,3,2,2,3,2,3,5,4
"P227",3,4,3,3,3,4,3,3,3,3,3,2
"P228",4,4,5,4,5,4,2,2,5,2,4,3
"P229",4,2,2,3,3,3,1,3,4,3,3,2
"P230",3,3,3,3,4,2,3,4,3,3,3,3
"P231",2,2,2,3,1,2,3,3,3,3,3,2
"P232",2,3,3,4,3,4,2,3,4,4,3,3
"P233",2,2,2,2,2,2,3,4,3,4,3,3
"P234",3,2,3,2,2,3,2,4,3,3,4,2
"P235",3,3,2,3,4,3,3,4,3,3,3,3
"P236",3,3,2,2,3,3,3,3,2,4,2,3
"P237",3,2,2,2,3,1,3,3,2,4,2,3
"P238",2,2,3,1,3,3,2,4,2,4,2,2
"P239",3,3,2,2,2,4,3,3,4,3,3,4
"P240",3,3,3,2,3,3,3,2,3,2,3,3
"P241",3,3,2,3,4,4,4,3,3,4,3,3
"P242",4,4,4,4,4,4,4,4,4,3,3,4
"P243",2,3,3,3,3,3,3,2,4,1,2,3
"P244",3,2,2,3,2,2,2,3,3,2,3,4
"P245",4,3,3,3,3,3,3,2,4,3,2,2
"P246",3,3,2,2,2,2,2,4,3,2,3,4
"P247",4,2,4,3,3,4,3,1,2,3,3,3
"P248",2,2,2,3,3,2,1,4,3,3,4,1
"P249",3,3,2,3,2,2,2,4,3,2,3,3
"P250",4,5,4,4,4,5,3,4,2,5,4,3
"P251",2,1,2,3,2,2,4,4,3,3,4,3
"P252",2,2,2,3,3,2,3,3,4,2,3,2
"P253",4,5,4,4,4,4,4,3,4,2,3,4
"P254",2,3,3,3,3,3,3,2,3,3,3,3
"P255",4,4,2,3,4,3,2,2,3,3,3,4
"P256",3,3,4,4,4,4,2,2,3,2,3,2
"P257",2,2,3,3,3,2,3,3,4,3,3,3
"P258",3,3,3,4,3,3,3,4,4,2,3,3
"P259",3,3,3,4,4,4,3,2,2,2,3,4
"P260",3,3,2,2,2,3,2,2,3,4,3,4
"P261",3,2,3,2,2,3,3,3,2,3,2,4
"P262",4,3,3,3,4,3,3,3,2,4,3,4
"P263",3,3,3,1,2,3,2,4,2,2,3,4
"P264",3,3,3,3,3,2,2,3,3,4,3,4
"P265",4,3,3,4,4,3,3,3,3,3,3,3
"P266",4,2,2,3,3,3,2,3,3,3,4,2
"P267",2,3,2,1,2,3,2,3,2,4,2,4
"P268",3,2,3,2,4,3,4,2,4,2,3,2
"P269",2,2,2,1,2,3,3,3,3,3,4,5
"P270",2,2,2,2,2,3,1,2,2,3,3,4
"P271",4,3,3,3,3,3,3,4,3,3,2,3
"P272",4,3,3,4,4,3,4,2,2,3,3,4
"P273",4,3,3,2,2,3,2,3,4,2,2,3
"P274",3,4,3,5,4,3,3,3,2,4,4,4
"P275",3,2,3,3,2,2,3,4,2,3,3,3
"P276",5,4,4,3,4,4,3,4,3,3,3,3
"P277",4,4,4,3,4,4,3,4,3,3,4,4
"P278",4,4,4,3,3,3,3,4,4,3,3,4
"P279",3,4,4,4,3,3,5,3,1,2,3,3
"P280",3,3,2,3,2,2,3,4,3,3,2,4
"P281",4,4,3,2,3,3,3,3,3,3,3,3
"P282",4,2,3,4,2,3,1,3,3,2,3,3
"P283",5,3,3,4,4,4,5,4,3,3,2,3
"P284",4,3,2,3,3,2,4,3,3,2,3,4
"P285",2,2,2,3,3,3,4,3,3,4,3,4
"P286",3,3,3,2,2,3,3,1,4,3,2,2
"P287",5,5,4,3,4,3,4,2,3,3,2,3
"P288",3,3,3,3,3,3,5,3,3,2,3,4
"P289",4,3,3,4,2,4,4,4,5,2,3,2
"P290",3,4,5,5,3,4,4,3,4,3,3,4
"P291",4,3,3,2,3,3,2,3,3,4,3,3
"P292",3,3,3,3,4,4,3,3,5,4,4,3
"P293",5,3,4,4,4,4,4,3,3,4,3,5
"P294",2,3,3,4,3,4,3,3,3,1,3,3
"P295",4,4,4,4,3,4,3,4,3,2,3,5
"P296",3,3,3,2,2,2,3,3,2,2,3,3
"P297",3,3,3,3,3,4,3,4,3,2,4,4
"P298",4,3,3,3,3,3,3,3,2,3,3,4
"P299",2,3,4,2,3,3,2,4,3,3,3,2
"P300",3,2,2,3,3,2,3,2,2,4,3,3
