"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","criterion","known_group"
"P114",3,3,3,3,4,2,3,3,2,4,3,4,3,4,3,3,1.23,1
"P115",4,5,4,4,2,4,4,4,4,4,5,3,3,4,4,4,3.25,1
"P116",4,4,3,4,2,3,3,4,3,2,2,4,2,4,3,2,-0.86,1
"P117",2,3,3,4,2,4,3,1,2,4,4,3,3,4,2,3,-0.26,0
"P118",3,3,3,4,3,4,3,3,2,3,2,3,4,2,2,3,0.04,0
"P119",3,4,3,3,3,3,3,3,3,4,4,4,2,4,4,3,0.99,1
"P120",1,2,3,2,4,3,2,2,2,2,3,1,4,2,2,2,-1.23,0
"P121",4,4,4,3,3,4,4,3,2,3,4,4,2,3,3,3,1,1
"P122",3,3,3,4,2,4,3,4,3,4,4,4,3,3,4,3,-0.17,1
"P123",3,2,3,3,3,3,2,3,2,4,3,3,3,4,2,4,-0.02,0
"P124",2,3,2,3,5,3,2,2,4,2,3,3,3,3,3,3,-1.53,0
"P125",2,2,2,2,4,2,2,2,2,3,2,2,3,3,3,2,-1.17,0
"P126",3,3,3,2,2,2,3,2,2,4,3,3,2,2,3,3,-0.91,0
"P127",2,2,2,1,4,3,2,3,2,3,1,2,3,3,2,3,-1.4,0
"P128",3,3,3,3,3,4,3,3,4,3,3,3,4,3,3,3,-0.42,1
"P129",3,3,3,3,3,3,2,3,1,2,1,1,4,2,1,1,-1.76,0
"P130",3,3,3,3,2,2,2,3,2,3,3,3,3,3,3,2,0.57,0
"P131",4,3,4,3,2,3,4,4,3,2,4,3,3,3,2,3,-0.03,1
"P132",3,3,3,4,3,3,3,3,3,3,2,3,3,3,3,3,0.2,1
"P133",2,3,2,3,4,2,2,4,3,3,3,2,3,3,2,3,0.58,0
"P134",4,3,3,2,4,5,3,4,4,3,4,3,3,3,3,2,1.44,1
"P135",4,3,3,2,4,3,3,3,3,3,3,3,2,3,4,3,0.53,1
"P136",3,3,2,2,3,2,3,3,4,5,4,4,2,4,4,5,-0.12,1
"P137",3,4,4,4,2,4,4,5,5,4,4,4,2,4,5,4,0.76,1
"P138",2,3,3,4,4,3,2,3,3,2,3,3,4,3,3,4,0.15,1
"P139",3,2,2,2,3,2,2,3,3,3,2,2,4,3,3,2,-0.59,0
"P140",2,1,2,3,4,2,2,2,3,3,2,2,4,2,3,2,0.26,0
"P141",4,3,4,3,3,4,4,4,4,4,3,3,3,3,3,3,0.71,1
"P142",4,3,3,3,3,4,2,3,2,3,3,5,2,3,4,4,-1.07,1
"P143",3,3,4,3,2,4,4,4,3,3,4,3,3,3,4,2,-0.06,1
"P144",4,5,5,4,1,4,5,3,4,5,4,5,2,4,5,5,1.8,1
"P145",3,4,3,2,3,3,3,2,3,4,3,2,3,3,2,3,-1,0
"P146",3,3,3,2,2,3,3,3,3,3,2,3,3,3,3,3,-0.99,0
"P147",1,2,3,2,3,2,2,2,2,2,3,2,3,2,2,2,-2.21,0
"P148",4,2,4,3,3,3,3,4,3,3,3,3,2,4,4,3,0.79,1
"P149",3,4,4,5,2,3,3,4,4,3,3,3,3,3,3,4,1.04,1
"P150",4,3,4,5,2,5,5,3,4,3,3,3,3,4,4,4,0.65,1
"P151",3,3,4,3,3,3,4,4,3,3,2,4,4,3,4,2,0.53,1
"P152",4,3,4,4,1,4,5,5,3,4,4,3,2,3,4,3,-0.22,1
"P153",2,2,2,2,4,1,1,2,3,2,2,1,4,2,2,3,-3,0
"P154",4,3,4,4,2,4,4,4,3,4,4,3,3,4,4,3,2.87,1
"P155",3,2,3,2,4,2,2,2,2,4,2,2,4,3,3,3,-0.72,0
"P156",3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,4,1.74,1
"P157",2,2,2,3,5,2,2,3,3,4,4,4,2,3,4,3,-1.05,1
"P158",2,2,3,3,4,4,3,2,3,3,3,3,3,3,3,3,0.44,0
"P159",4,3,3,3,3,3,3,2,2,3,3,3,2,2,3,3,-1.12,0
"P160",3,2,3,4,3,3,3,3,5,3,4,4,2,4,4,4,0.34,1
"P161",1,4,3,3,4,4,3,3,3,3,3,2,3,2,4,3,-0.86,1
"P162",4,4,3,3,2,3,3,2,2,3,3,4,3,3,3,2,1.52,0
"P163",5,4,4,4,1,3,4,4,4,5,4,4,3,5,4,3,1.15,1
"P164",3,3,2,3,3,2,3,3,3,2,2,2,4,2,2,3,-0.7,0
"P165",2,2,2,4,4,2,3,2,2,2,3,3,2,2,4,3,-0.73,0
"P166",4,5,3,2,2,2,3,3,3,4,3,4,4,4,3,3,0.7,1
"P167",4,3,3,3,3,3,3,3,4,3,3,3,3,4,4,3,1.02,1
"P168",2,1,2,2,4,3,2,2,3,3,4,3,4,3,3,3,0.7,0
"P169",3,2,3,2,3,2,3,3,4,4,3,3,3,3,4,3,-0.41,1
"P170",3,3,3,3,3,2,2,3,3,3,3,2,3,2,3,4,1.12,0
"P171",2,2,3,3,4,3,3,2,4,3,1,4,4,3,3,2,-0.25,0
"P172",2,3,3,3,3,2,3,4,3,3,3,3,3,3,2,3,-0.33,0
"P173",3,3,3,4,2,3,4,3,4,3,3,3,3,3,4,3,0.99,1
"P174",2,2,3,3,4,3,1,2,3,2,2,3,4,3,2,2,0.05,0
"P175",3,3,3,2,3,2,3,3,2,3,3,3,3,1,3,3,0.52,0
"P176",4,3,3,2,3,3,3,4,3,3,3,3,3,3,3,3,0.42,1
"P177",2,2,2,2,5,2,2,2,2,2,3,3,3,2,3,2,-0.17,0
"P178",4,3,3,3,3,3,3,2,3,3,2,3,4,3,3,3,-0.79,1
"P179",4,3,4,4,3,4,4,3,2,2,2,3,3,2,3,3,-0.28,1
"P180",4,4,3,4,2,3,4,4,3,3,4,4,2,4,4,2,1.28,1
"P181",3,2,3,2,4,2,3,3,2,2,2,2,3,2,3,3,-0.1,0
"P182",3,3,2,2,4,2,2,3,4,3,3,3,2,2,2,2,-0.18,0
"P183",4,4,3,3,4,3,2,2,2,3,3,4,3,5,4,3,0.16,1
"P184",3,2,3,3,4,3,2,3,3,4,4,4,3,3,3,4,1.31,1
"P185",3,5,3,3,3,3,3,2,4,4,3,4,2,3,3,4,-0.04,1
"P186",3,2,3,3,3,3,3,3,4,4,4,3,2,3,3,4,0.8,1
"P187",2,3,2,4,3,2,2,3,2,3,3,3,4,2,3,3,-2.25,0
"P188",1,2,2,3,3,3,3,3,2,2,3,2,4,2,2,2,-1.85,0
"P189",3,3,4,3,3,3,4,3,2,3,3,3,3,3,3,1,-0.82,0
"P190",3,4,3,2,3,2,2,4,3,4,3,4,3,3,3,4,0.25,1
"P191",3,3,3,3,3,3,3,3,1,2,1,2,3,3,2,3,-1.14,0
"P192",3,3,4,3,2,3,4,3,3,3,3,2,3,3,2,3,-1.89,0
"P193",3,4,3,3,3,2,3,2,3,4,2,3,4,3,4,3,0.92,1
"P194",3,4,4,4,3,4,4,3,3,4,4,3,3,4,4,3,-0.57,1
"P195",3,2,2,3,3,3,2,2,2,2,2,2,5,2,1,2,-1.38,0
"P196",3,3,3,2,2,3,3,4,3,3,3,3,4,3,3,2,-1.2,0
"P197",2,3,3,3,2,2,2,3,2,2,2,1,3,1,2,3,-1.49,0
"P198",4,3,3,3,2,3,3,3,3,2,3,3,2,3,3,2,-1.77,0
"P199",1,2,2,2,4,2,2,2,4,3,3,2,2,3,3,3,-1.19,0
"P200",2,3,3,3,2,3,3,3,2,2,2,3,5,2,2,2,-0.06,0
"P201",2,3,3,2,3,3,2,3,2,3,2,2,3,4,2,2,-0.48,0
"P202",3,3,4,4,3,4,2,4,3,4,4,3,4,4,4,4,-0.53,1
"P203",3,2,2,4,3,3,2,2,4,3,2,3,4,2,2,3,-0.51,0
"P204",3,4,3,3,3,3,3,3,3,4,3,4,2,2,3,3,1.35,1
"P205",3,3,3,4,2,3,3,3,3,3,2,3,3,2,4,2,0.53,0
"P206",3,2,3,3,3,4,3,3,4,3,3,2,3,2,2,3,-0.58,0
"P207",3,3,3,3,4,3,3,2,2,2,2,1,4,3,2,2,-2.44,0
"P208",3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,2,-0.21,0
"P209",3,3,3,3,3,3,4,4,4,3,4,4,2,5,4,3,0.96,1
"P210",2,3,1,3,5,3,2,2,1,3,2,1,4,2,2,2,-0.51,0
"P211",2,2,2,2,5,1,2,1,2,2,3,2,4,3,2,2,-0.99,0
"P212",2,2,2,3,3,3,2,4,2,2,3,3,4,3,2,3,-0.15,0
"P213",2,3,2,3,4,1,1,2,3,2,3,3,3,3,3,4,-1.35,0
"P214",3,4,3,3,2,3,3,3,3,4,3,3,2,3,4,4,-0.01,1
"P215",2,3,3,2,3,2,4,2,3,3,4,4,2,3,4,3,-1.9,0
"P216",1,3,2,2,4,3,3,2,2,2,2,2,4,2,2,2,-0.83,0
"P217",3,3,3,3,3,3,3,3,2,2,2,2,4,2,3,3,0.19,0
"P218",3,3,4,4,2,3,4,2,3,4,4,3,3,3,4,4,0.48,1
"P219",5,4,3,2,3,3,4,4,3,2,4,3,3,4,2,3,1,1
"P220",3,2,3,3,3,2,2,3,2,3,2,4,2,2,3,4,-0.75,0
"P221",4,3,3,4,2,3,4,4,3,3,3,4,2,3,2,2,0.87,1
"P222",3,2,3,2,3,3,3,4,3,3,3,3,2,3,3,4,0.48,0
"P223",3,4,3,3,3,4,2,2,3,3,4,3,3,3,4,4,0.58,1
"P224",3,3,3,2,3,3,3,3,3,3,3,3,3,2,2,2,0.56,0
"P225",2,4,4,3,2,3,3,3,3,3,4,3,2,3,2,3,-0.56,0
"P226",3,4,3,3,3,4,3,2,4,4,3,4,2,5,3,3,2.28,1
"P227",3,4,4,4,3,4,3,3,3,3,2,4,3,4,4,4,1.11,1
"P228",4,3,4,3,3,3,3,3,4,3,3,3,3,3,4,3,0.51,1
"P229",1,2,2,3,2,3,3,2,2,2,2,4,4,3,3,2,-1.14,0
"P230",3,3,3,2,3,3,3,4,3,4,3,4,2,3,3,3,0.11,1
"P231",1,3,3,3,2,2,3,3,2,3,3,3,3,4,2,2,-0.95,0
"P232",3,2,2,4,3,2,2,2,3,3,4,4,3,4,3,2,-0.32,0
"P233",3,2,3,3,4,2,3,3,1,2,2,3,5,1,3,2,-0.14,0
"P234",2,2,4,3,4,2,3,2,2,3,2,4,3,3,2,3,0.18,0
"P235",3,3,3,3,2,2,4,4,3,4,4,3,3,3,3,3,-0.5,1
"P236",5,4,4,3,3,3,3,3,2,4,3,2,3,3,3,3,0.53,1
"P237",4,4,3,3,4,5,3,3,3,2,2,3,3,2,3,2,-0.87,1
"P238",3,3,2,3,2,2,2,4,3,2,2,2,3,2,2,2,0.27,0
"P239",3,3,3,4,2,3,2,3,3,2,3,2,4,2,2,3,0.21,0
"P240",3,3,3,3,3,4,3,2,2,2,4,2,4,2,3,2,0.04,0
"P241",3,4,3,4,3,3,4,3,4,2,3,2,2,3,3,3,1.03,1
"P242",3,4,3,4,2,3,3,2,4,3,2,3,3,3,2,4,0.05,1
"P243",4,4,4,3,1,4,4,4,4,3,4,4,4,4,3,4,0.19,1
"P244",3,3,3,3,4,3,3,4,3,1,2,2,5,2,1,2,-1.88,0
"P245",4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,-1.7,1
"P246",3,4,3,2,3,3,3,2,2,2,2,1,4,3,3,2,0.95,0
"P247",4,3,3,5,3,4,3,4,3,4,3,3,3,3,3,2,-1.64,1
"P248",2,2,2,2,4,3,3,3,3,3,2,3,3,2,3,3,0.37,0
"P249",3,2,2,3,4,2,3,2,3,3,3,3,5,2,2,2,0.33,0
"P250",3,2,4,5,3,3,4,3,4,4,4,3,3,3,4,4,0.98,1
"P251",3,3,3,3,3,3,3,3,2,2,3,4,4,2,3,2,0.3,0
"P252",4,4,4,3,2,3,4,4,4,5,4,4,2,3,4,4,0.23,1
"P253",5,4,5,4,2,4,5,5,4,4,3,3,3,4,3,4,2.47,1
"P254",3,2,3,3,3,2,2,3,3,2,2,2,2,2,2,3,0.47,0
"P255",2,3,2,3,4,2,2,2,3,3,2,3,3,3,4,3,-1.34,0
"P256",4,4,4,5,1,4,4,4,4,4,4,4,1,5,4,4,1.7,1
"P257",4,3,3,3,4,3,3,2,3,2,3,3,4,4,3,4,1.04,1
"P258",3,3,4,3,3,2,2,3,4,3,3,3,3,3,3,4,0.9,1
"P259",2,2,1,3,4,2,2,3,2,2,2,2,3,2,2,2,-1.18,0
"P260",3,3,3,4,2,3,5,4,2,2,2,3,3,3,2,2,-1.33,0
"P261",4,3,4,3,1,4,5,4,4,4,3,4,3,4,3,4,0.83,1
"P262",3,2,1,2,3,2,1,2,2,2,3,3,4,2,2,3,-1.54,0
"P263",5,3,4,3,2,5,3,3,2,2,3,2,4,2,3,2,-0.66,1
"P264",3,3,4,5,2,3,3,4,5,4,5,5,2,3,4,5,1.68,1
"P265",2,4,4,2,3,4,3,4,2,3,2,3,3,3,1,2,-0.1,0
"P266",3,3,3,3,2,3,3,4,4,4,4,4,2,4,4,5,0.5,1
"P267",4,4,4,3,2,4,4,3,3,3,4,4,3,3,3,3,1.87,1
"P268",3,3,2,2,4,3,3,3,2,3,2,4,4,3,3,2,0.54,0
"P269",2,3,4,3,3,3,4,3,4,2,3,4,3,4,4,3,-0.18,1
"P270",2,3,3,2,3,3,3,3,3,2,3,2,3,3,2,3,0.05,0
"P271",2,3,4,3,3,3,3,2,3,4,4,2,2,4,2,3,-0.63,0
"P272",4,4,4,4,2,3,3,3,4,5,5,4,2,4,3,4,1.39,1
"P273",4,4,4,4,2,4,4,2,3,3,4,3,3,3,3,3,-0.23,1
"P274",2,2,3,2,3,2,4,1,2,3,2,2,4,3,3,3,-1.57,0
"P275",4,3,3,2,3,3,4,3,5,4,4,3,3,4,3,3,0.75,1
"P276",2,2,2,2,4,3,1,2,2,3,3,2,2,2,3,3,-1.9,0
"P277",4,3,3,3,2,4,3,3,3,3,3,4,2,3,3,4,1.14,1
"P278",1,3,2,2,4,3,2,2,2,2,4,4,3,2,2,2,-1.73,0
"P279",2,3,2,3,3,2,3,3,2,3,4,3,3,3,3,3,0.47,0
"P280",2,3,3,2,3,3,3,3,3,2,4,3,3,3,3,3,0,0
"P281",3,3,3,3,3,3,3,3,3,3,4,2,3,4,4,3,-0.12,1
"P282",4,2,2,4,2,3,3,3,4,3,3,4,3,4,3,3,0.67,1
"P283",3,2,3,2,4,2,3,2,4,3,2,3,2,4,3,4,-0.07,0
"P284",4,5,5,4,1,5,4,4,4,3,4,4,2,4,4,3,0.11,1
"P285",5,2,3,2,2,3,4,4,4,4,4,4,3,4,5,2,-0.63,1
"P286",3,4,3,4,4,3,3,3,3,3,3,4,3,5,4,3,-0.58,1
"P287",3,3,2,3,2,3,3,4,3,4,3,2,3,4,3,3,-0.18,1
"P288",3,3,3,3,4,3,2,2,3,4,4,3,3,3,3,3,-0.18,1
"P289",3,2,3,4,4,3,2,3,2,4,3,3,3,3,3,3,-0.7,1
"P290",3,2,1,1,3,1,2,3,3,3,2,3,3,3,3,3,1.54,0
"P291",3,3,2,2,3,3,3,3,4,3,3,3,3,3,2,3,-0.01,0
"P292",2,2,3,2,4,3,2,3,3,2,2,3,3,3,2,2,-1.68,0
"P293",3,2,3,3,3,3,3,2,3,3,3,4,3,2,4,3,1.05,0
"P294",3,4,4,3,3,2,4,3,5,4,3,3,3,4,4,3,-0.12,1
"P295",2,3,3,3,3,2,3,3,2,3,2,3,4,2,2,3,-0.43,0
"P296",4,3,4,3,4,2,3,3,3,2,3,3,3,3,2,2,-0.77,0
"P297",2,2,1,2,4,2,2,2,3,2,2,4,3,2,2,2,-0.15,0
"P298",2,3,3,2,4,3,3,4,2,3,3,3,3,3,3,4,0.54,1
"P299",2,3,3,4,4,3,3,3,3,2,3,3,4,3,3,3,0,1
"P300",3,4,4,4,1,4,4,4,3,3,3,2,2,3,4,3,0.74,1
"P301",3,3,2,4,3,4,4,2,4,3,3,4,4,4,4,4,-0.36,1
"P302",3,2,2,3,5,3,2,1,3,3,2,3,4,3,2,3,0.16,0
"P303",3,2,1,3,4,3,3,2,3,4,2,1,2,3,2,3,-1.2,0
"P304",4,3,3,4,4,4,3,4,2,3,2,2,3,3,4,3,1.42,1
"P305",4,4,4,4,2,3,4,5,2,3,4,4,3,4,4,3,2.35,1
"P306",2,3,2,2,3,3,1,2,1,3,3,3,3,2,3,3,-1.2,0
"P307",3,3,2,3,4,3,3,1,3,3,3,3,3,3,4,2,-0.38,0
"P308",4,5,5,3,2,4,4,3,4,3,4,3,3,2,3,3,0.41,1
"P309",3,3,4,4,3,2,3,3,3,4,4,4,2,2,4,3,-0.17,1
"P310",3,2,2,2,4,3,2,3,4,3,2,2,3,3,3,4,-0.77,0
"P311",3,3,3,2,4,2,3,4,3,2,3,3,3,3,3,2,0.01,0
"P312",3,3,1,3,3,3,2,3,2,3,2,2,3,2,2,2,-0.26,0
"P313",3,4,3,4,2,3,3,4,4,3,3,3,3,3,3,2,0.17,1
"P314",3,3,4,4,3,2,4,3,1,1,1,2,5,2,1,2,-0.37,0
"P315",3,3,3,3,4,3,2,4,4,3,3,2,3,3,3,3,0.18,1
"P316",2,3,3,4,3,3,3,2,3,3,3,3,3,3,3,2,1.2,0
"P317",3,4,4,4,3,3,3,4,4,3,3,3,3,3,3,3,0.88,1
"P318",2,3,3,3,4,2,3,4,2,2,1,3,3,3,2,3,-1.64,0
"P319",3,4,4,3,2,5,4,3,4,4,3,4,2,4,4,4,1.07,1
"P320",3,4,3,3,3,3,3,3,2,3,2,1,3,3,2,3,-0.72,0
"P321",4,4,5,5,2,4,4,3,2,4,4,4,3,3,3,2,1.19,1
"P322",1,2,2,1,4,3,2,2,3,3,2,3,3,3,3,3,0.42,0
"P323",3,3,3,4,5,4,3,3,3,3,2,4,3,3,2,4,-0.29,1
"P324",4,4,4,4,2,3,4,3,3,4,3,4,3,4,4,4,1.03,1
"P325",3,3,3,3,3,2,4,2,2,3,3,2,4,2,3,2,-0.04,0
