"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15"
"P124",5,5,5,5,5,4,2,3,5,1,4,5,5,4,5
"P125",5,4,2,1,1,1,4,5,4,5,3,1,4,1,1
"P126",5,4,3,1,1,5,1,5,5,5,1,5,1,5,1
"P127",5,1,5,5,5,5,5,5,5,5,3,1,3,4,5
"P128",5,1,1,1,1,2,5,3,1,5,1,5,1,2,1
"P129",5,2,2,4,4,1,5,3,3,3,2,2,3,3,4
"P130",1,5,1,2,1,1,1,1,3,1,1,1,1,1,1
"P131",5,1,1,5,2,5,5,1,4,4,2,1,3,2,1
"P132",5,1,5,4,4,5,1,5,1,3,2,2,3,1,2
"P133",2,3,2,2,1,1,3,1,1,5,1,2,1,1,1
"P134",1,5,2,2,1,1,1,5,5,1,1,2,2,1,4
"P135",5,4,5,5,5,5,1,5,5,5,3,5,4,4,5
"P136",5,2,5,4,1,1,5,1,5,4,1,4,4,1,2
"P137",4,2,5,5,4,5,5,2,4,5,1,3,5,4,5
"P138",5,4,2,4,1,1,2,5,5,1,1,5,3,1,2
"P139",4,3,5,2,1,2,1,1,5,2,1,2,1,1,5
"P140",1,4,5,5,2,4,2,5,5,3,1,5,3,1,1
"P141",5,5,1,2,4,5,5,5,1,4,4,2,4,2,5
"P142",1,1,1,1,1,1,1,1,1,1,1,1,4,1,1
"P143",5,5,3,4,4,5,1,5,5,5,1,2,5,4,5
"P144",5,5,1,4,3,1,5,3,5,5,2,1,5,1,5
"P145",5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
"P146",5,5,5,5,5,5,1,5,5,4,5,4,3,4,1
"P147",5,5,2,4,4,1,1,3,5,5,1,5,3,4,1
"P148",1,2,2,2,4,2,5,1,1,4,4,1,4,1,2
"P149",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"P150",1,4,5,1,4,1,5,2,4,4,1,2,2,1,5
"P151",5,5,5,3,4,5,5,5,5,5,5,5,3,4,5
"P152",5,5,5,5,4,5,5,5,5,5,5,5,3,3,5
"P153",2,5,1,5,1,1,4,1,1,3,1,1,1,1,1
"P154",1,1,1,1,1,1,5,1,3,4,1,2,3,1,1
"P155",5,1,1,1,1,1,1,1,1,1,1,3,3,1,1
"P156",5,1,2,3,5,5,4,3,1,5,3,5,3,2,2
"P157",5,2,2,4,1,1,1,5,3,1,4,1,2,1,1
"P158",5,5,5,5,4,5,4,5,4,5,4,2,3,3,5
"P159",5,5,2,4,5,5,5,5,5,4,5,2,4,2,1
"P160",1,1,1,2,1,1,1,1,1,3,1,1,4,1,1
"P161",4,5,2,5,2,1,1,2,5,5,4,2,3,2,2
"P162",3,1,2,2,4,1,1,5,5,5,5,2,2,1,5
"P163",5,5,4,5,4,5,5,5,5,5,5,4,5,3,1
"P164",5,1,5,5,5,5,5,5,5,5,5,5,5,3,1
"P165",1,5,1,2,1,2,1,4,5,4,1,3,3,3,2
"P166",1,2,1,5,1,1,3,3,4,1,4,2,4,1,1
"P167",1,5,1,5,4,1,1,5,4,4,1,1,1,3,1
"P168",5,1,5,2,1,1,5,3,3,5,1,5,3,1,5
"P169",5,5,2,2,3,5,1,1,1,5,1,4,4,1,5
"P170",5,1,5,5,4,5,5,5,5,3,5,5,5,4,5
"P171",1,2,2,4,1,1,1,5,4,3,1,2,2,4,2
"P172",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
"P173",5,2,1,5,1,1,5,3,5,5,1,4,3,2,1
"P174",1,2,1,1,1,1,1,1,1,1,1,4,1,1,5
"P175",5,5,1,1,1,5,5,2,5,5,4,5,3,2,5
"P176",5,5,2,2,2,1,4,1,5,5,4,2,3,1,2
"P177",5,1,5,2,2,1,1,5,5,2,2,1,3,1,1
"P178",5,2,2,2,1,5,1,5,4,5,3,2,3,3,5
"P179",5,1,4,3,4,5,5,5,5,5,4,3,2,2,5
"P180",5,2,1,5,4,5,4,5,5,5,4,3,4,1,2
"P181",3,2,5,5,2,5,5,5,5,5,1,5,5,2,1
"P182",5,5,5,5,1,5,5,5,5,5,5,2,5,5,5
"P183",5,5,4,5,5,2,5,5,5,5,5,5,4,5,5
"P184",1,4,5,2,1,5,1,5,4,5,1,5,3,1,2
"P185",5,5,5,5,4,5,5,5,5,5,5,5,5,4,5
"P186",5,1,5,1,2,5,1,5,5,5,1,5,4,1,1
"P187",5,1,1,1,3,3,1,1,4,2,1,5,1,1,1
"P188",3,1,4,4,1,2,5,2,3,1,1,4,5,1,5
"P189",5,5,5,5,5,5,5,5,5,5,4,4,3,2,5
"P190",5,2,2,3,4,1,1,5,5,5,5,2,3,2,5
"P191",5,5,2,2,4,1,4,5,5,5,1,2,2,1,5
"P192",1,3,1,2,1,1,1,1,1,3,5,2,2,1,1
"P193",1,5,5,3,1,5,1,5,5,5,5,2,2,1,1
"P194",4,5,5,1,4,1,1,5,5,3,1,5,1,1,5
"P195",5,1,5,4,1,5,5,1,5,1,1,2,1,1,5
"P196",5,5,5,2,2,5,5,5,5,5,5,4,5,3,5
"P197",5,5,5,4,5,5,1,1,5,3,4,3,4,5,5
"P198",1,5,5,5,4,5,5,1,5,5,5,1,5,5,5
"P199",1,2,1,2,1,1,1,1,5,2,1,5,5,1,1
"P200",5,5,3,2,1,5,4,2,5,4,1,5,1,5,1
"P201",5,2,5,4,4,5,5,5,4,3,1,2,3,1,1
"P202",5,5,2,5,4,5,5,5,3,3,4,1,3,3,2
"P203",5,5,1,1,1,1,1,1,4,5,3,4,4,5,4
"P204",1,1,2,4,1,1,1,1,5,4,2,4,1,1,1
"P205",5,1,2,1,1,1,5,1,3,3,3,5,1,1,5
"P206",5,3,5,3,3,1,5,5,5,5,1,5,3,1,5
"P207",5,1,5,5,5,5,5,5,5,5,5,2,4,1,1
"P208",5,4,5,5,1,1,5,2,1,5,1,5,3,2,5
"P209",1,1,2,2,1,1,1,5,1,4,1,1,2,1,5
"P210",1,1,3,1,1,1,5,5,1,5,1,1,1,1,2
"P211",5,1,3,4,4,5,5,5,5,5,2,2,3,2,4
"P212",5,5,5,5,4,5,5,1,5,5,4,2,3,3,5
"P213",1,1,2,1,1,1,4,2,1,1,1,1,1,1,2
"P214",5,2,5,2,1,1,5,5,5,4,1,2,3,4,2
"P215",5,2,2,5,4,1,1,1,1,3,4,1,1,1,4
"P216",1,5,2,3,2,5,5,5,5,4,2,2,5,1,2
"P217",5,3,1,4,3,5,1,5,5,3,1,2,3,3,1
"P218",1,1,5,3,4,5,5,5,5,5,2,2,1,4,5
"P219",5,4,3,4,5,1,5,5,5,3,1,4,1,1,1
"P220",4,1,1,2,1,1,1,1,5,3,3,1,3,3,1
"P221",5,5,1,2,1,1,1,2,1,1,1,5,3,1,5
"P222",1,1,1,1,1,1,5,3,3,5,1,5,3,5,5
"P223",1,1,1,1,1,1,1,1,1,5,1,1,3,1,2
"P224",5,5,3,5,4,5,5,1,4,5,5,5,4,4,5
"P225",5,2,2,5,5,5,5,5,1,5,1,5,4,4,5
"P226",1,1,1,2,1,5,1,1,4,3,3,1,1,1,1
"P227",5,2,4,4,3,4,5,3,5,5,5,2,3,5,5
"P228",5,4,2,4,3,5,1,1,4,4,1,5,3,1,2
"P229",1,1,5,2,1,5,5,1,1,4,1,1,3,1,1
"P230",1,1,2,3,1,4,5,1,1,3,1,1,1,1,1
"P231",5,1,1,2,1,1,5,5,5,3,1,4,3,2,1
"P232",1,5,5,3,1,4,1,3,5,5,1,5,4,1,2
"P233",5,5,5,5,3,5,5,5,5,5,1,5,5,4,5
"P234",1,5,5,3,4,5,5,5,5,5,5,5,3,4,1
"P235",5,5,5,4,1,5,5,5,5,4,2,5,3,4,5
"P236",5,5,2,4,4,5,5,2,4,5,1,2,3,1,5
"P237",4,2,1,5,1,2,1,3,1,4,1,5,1,1,1
"P238",1,2,1,4,1,5,4,5,4,5,1,4,1,1,5
"P239",5,5,5,5,3,5,5,5,5,2,3,5,5,5,5
"P240",5,5,5,4,4,5,5,1,5,5,5,4,5,5,5
"P241",1,4,5,4,1,1,1,1,5,3,1,2,2,1,5
"P242",5,1,5,5,4,5,5,5,5,5,1,5,4,4,1
"P243",5,2,2,4,1,4,5,3,5,5,1,2,5,2,5
"P244",5,5,5,2,2,5,5,1,5,5,4,2,1,4,5
"P245",3,5,5,2,1,5,4,5,4,5,5,3,2,5,4
"P246",5,1,5,5,3,5,5,5,5,3,3,5,3,5,4
"P247",5,1,2,3,3,1,1,3,1,3,1,4,1,2,1
"P248",5,5,2,1,4,5,5,2,5,3,5,1,2,4,5
"P249",5,5,1,1,1,2,1,2,2,3,1,4,1,1,1
"P250",1,5,1,4,1,5,1,5,1,3,2,2,3,4,1
"P251",4,2,1,1,4,1,1,1,1,2,1,1,1,1,1
"P252",5,1,2,3,3,1,1,2,5,4,2,4,1,2,2
"P253",1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
"P254",5,5,5,4,5,5,1,5,3,5,5,5,5,3,5
"P255",1,1,1,2,1,1,1,2,1,2,1,1,1,1,1
"P256",2,2,5,5,3,5,4,5,5,5,4,2,5,5,1
"P257",1,4,2,5,1,5,4,3,5,5,1,5,1,5,5
"P258",4,1,1,2,1,5,5,5,3,3,1,2,5,1,1
"P259",4,5,4,5,5,3,5,5,5,1,5,2,4,5,1
"P260",5,2,2,5,3,5,5,5,4,5,2,2,3,5,1
"P261",1,1,1,1,1,1,1,2,5,5,1,1,1,2,1
"P262",1,3,2,5,4,5,1,1,2,5,4,2,3,2,1
"P263",3,5,4,5,4,5,5,5,5,5,4,5,5,2,5
"P264",5,5,5,5,5,1,4,5,5,5,5,2,5,5,1
"P265",2,4,2,2,1,1,1,5,5,5,5,4,1,1,1
"P266",5,1,4,5,5,4,5,5,5,5,1,1,2,2,1
"P267",5,1,1,4,1,1,5,5,4,3,1,1,1,4,5
"P268",5,4,5,2,1,1,2,5,1,3,1,2,1,1,5
"P269",5,1,2,5,1,1,4,5,5,5,1,2,1,1,1
"P270",5,5,1,4,3,5,1,2,5,2,1,5,1,2,3
"P271",1,4,2,4,2,1,1,1,3,4,1,3,1,1,1
"P272",5,5,2,2,1,1,5,1,4,5,2,5,3,1,2
"P273",5,5,5,5,4,5,3,5,5,5,5,5,5,5,5
"P274",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"P275",1,4,1,5,1,1,5,2,1,1,1,2,1,1,1
"P276",5,2,5,5,1,1,5,1,5,5,1,2,3,1,5
"P277",5,5,2,3,1,5,1,2,3,2,1,2,3,1,1
"P278",5,5,3,5,1,1,4,2,5,5,1,2,3,2,5
"P279",4,2,1,2,1,1,3,1,3,4,1,5,3,1,1
"P280",2,1,1,2,1,1,1,2,2,5,1,5,1,1,3
"P281",5,2,1,2,1,1,5,5,4,2,1,1,4,5,1
"P282",5,2,5,5,4,5,4,5,4,5,4,4,4,5,5
"P283",5,5,1,5,1,1,5,1,3,5,3,4,3,5,5
"P284",5,3,5,4,1,2,5,2,5,5,3,2,3,2,3
"P285",5,5,2,5,4,1,2,1,5,4,3,4,4,5,2
"P286",5,5,3,5,3,4,4,2,5,5,2,5,3,2,5
"P287",5,5,5,5,4,5,5,5,5,5,4,2,4,4,3
"P288",5,4,1,4,1,5,1,3,1,3,1,1,5,1,5
"P289",1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
"P290",1,5,5,5,4,5,5,5,5,5,5,5,3,5,5
"P291",1,1,1,1,4,1,5,1,1,1,1,4,1,1,1
"P292",5,4,5,5,2,5,5,5,5,5,4,4,5,4,2
"P293",5,5,5,5,4,5,1,5,5,5,5,4,1,4,5
"P294",1,1,1,1,1,1,1,2,4,1,1,4,1,1,1
"P295",5,1,2,1,1,5,5,2,3,3,2,2,3,3,5
"P296",5,2,2,2,2,5,1,5,1,3,1,5,1,4,5
"P297",5,5,2,2,5,5,5,2,1,5,4,2,1,2,5
"P298",5,5,5,5,5,5,5,5,5,5,4,1,4,5,5
"P299",5,5,3,3,4,1,5,5,3,4,2,1,3,3,5
"P300",1,4,2,1,3,3,2,1,4,4,1,5,3,1,1
"P301",1,3,5,2,1,4,4,3,1,1,1,2,1,1,1
"P302",5,1,2,2,1,1,5,2,3,4,1,2,1,3,2
"P303",5,1,4,4,1,5,1,5,5,5,1,2,3,1,5
"P304",1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
"P305",4,1,1,2,4,5,1,1,4,3,1,2,3,1,2
"P306",1,4,5,3,1,5,5,5,5,5,3,2,3,3,2
"P307",5,5,2,2,1,3,1,5,5,5,2,1,1,4,1
"P308",1,1,3,2,1,1,1,1,1,4,1,1,3,1,1
"P309",1,1,2,3,1,1,1,3,1,1,1,5,3,1,2
"P310",5,5,5,4,2,2,4,5,1,5,3,3,1,1,5
"P311",1,2,2,5,1,1,1,1,5,5,1,2,3,3,5
"P312",5,5,2,5,5,5,5,5,5,5,1,5,1,5,5
"P313",4,1,1,1,1,3,1,4,1,2,1,1,1,1,1
"P314",5,5,5,5,4,5,1,5,5,5,5,5,4,3,5
"P315",5,5,5,5,2,5,5,5,5,5,5,5,5,1,1
"P316",1,2,2,2,1,1,1,1,1,3,1,2,1,1,1
"P317",5,5,5,4,4,5,4,5,5,5,1,2,2,4,5
"P318",5,5,1,4,3,2,5,1,5,5,1,5,3,1,5
"P319",5,5,5,2,3,5,1,5,3,3,1,2,1,1,5
"P320",5,1,2,2,2,1,5,5,1,2,2,5,5,1,2
"P321",5,4,2,4,1,1,1,1,1,1,1,1,1,1,1
"P322",5,1,1,3,1,1,1,1,1,4,1,2,3,1,1
"P323",1,5,1,5,1,4,1,3,4,4,1,5,1,1,1
"P324",5,3,5,2,5,2,5,2,5,5,1,5,5,2,5
"P325",2,1,5,5,3,4,5,5,5,5,5,5,3,2,1
"P326",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"P327",5,1,3,5,1,5,2,5,5,5,5,5,1,4,5
"P328",5,5,3,1,3,2,3,1,3,3,1,2,3,1,1
"P329",1,1,1,3,3,1,5,5,1,5,2,5,5,1,2
"P330",5,5,5,4,4,5,5,5,2,5,1,5,3,5,1
"P331",1,2,1,4,3,5,5,1,5,5,1,5,5,1,1
"P332",2,5,2,3,2,5,1,5,1,5,1,1,1,3,1
"P333",5,1,1,1,4,2,3,3,1,2,4,3,3,1,1
"P334",5,2,5,5,1,5,4,5,5,5,1,1,4,1,1
"P335",5,5,5,2,2,5,5,5,5,3,5,4,2,1,1
"P336",5,1,2,4,1,1,1,1,5,5,1,4,2,3,5
"P337",3,1,1,3,1,1,1,3,2,1,1,1,1,1,1
"P338",5,1,1,1,1,1,1,1,5,1,1,1,1,1,1
"P339",5,1,2,5,4,4,4,5,5,3,1,2,4,1,2
"P340",5,4,5,4,4,5,1,5,5,5,4,2,4,2,5
"P341",1,4,3,3,1,1,1,5,5,1,2,2,1,1,5
"P342",4,5,1,5,4,5,5,5,5,5,5,5,5,5,5
"P343",1,2,1,2,1,1,4,1,5,5,1,5,3,2,5
"P344",1,3,2,4,3,5,1,5,5,4,1,2,4,1,1
"P345",1,5,1,5,1,5,5,5,5,5,1,4,1,2,1
"P346",5,2,1,3,3,1,5,1,1,4,1,1,3,1,1
"P347",1,4,1,2,1,1,4,1,5,4,1,1,1,1,1
"P348",1,1,1,4,1,5,1,5,3,3,1,1,3,1,2
"P349",5,2,1,5,1,1,1,5,5,5,1,1,4,1,1
"P350",1,4,1,5,1,5,2,5,5,2,1,1,3,2,4
"P351",5,5,5,5,1,5,5,5,5,5,5,5,4,5,2
"P352",3,2,2,1,2,5,3,1,5,5,1,5,5,2,5
"P353",1,5,2,5,1,5,1,5,5,2,1,5,3,2,5
"P354",5,3,2,5,3,5,2,3,4,5,4,4,3,2,5
"P355",5,5,2,4,4,5,4,5,5,4,3,2,4,4,4
"P356",5,2,4,5,5,5,5,5,5,5,1,2,2,2,5
"P357",5,5,5,5,5,5,5,5,5,5,4,2,4,2,1
"P358",1,5,1,2,1,4,1,5,5,5,1,5,4,1,1
"P359",1,5,5,5,1,5,5,3,5,1,5,5,5,4,2
"P360",4,5,1,3,1,1,1,3,4,5,1,5,2,5,5
"P361",1,2,5,3,1,1,1,5,4,5,1,4,1,1,1
"P362",1,5,4,3,1,1,4,3,1,5,1,2,1,3,1
"P363",1,1,1,3,1,1,1,1,1,2,1,3,1,1,4
"P364",1,1,1,3,1,1,1,1,1,1,1,5,1,1,1
"P365",5,3,1,5,1,2,1,5,1,3,1,5,1,2,2
"P366",1,1,2,1,4,5,1,5,5,1,2,4,1,1,1
"P367",1,1,2,5,1,1,1,1,1,4,5,2,2,2,2
"P368",1,5,3,5,2,1,5,5,5,4,5,1,4,1,5
"P369",5,5,5,5,4,5,5,5,5,5,1,5,4,5,5
"P370",5,2,3,2,3,4,5,3,5,3,1,5,4,4,2
"P371",5,5,5,5,5,5,5,5,5,5,5,4,4,5,5
"P372",5,2,1,1,1,5,2,5,1,5,2,2,4,1,5
"P373",4,2,4,4,1,1,5,1,5,4,2,5,3,5,5
"P374",1,2,2,4,1,4,5,5,5,5,2,1,3,2,1
"P375",5,5,5,5,4,5,5,5,5,5,5,5,3,5,5
"P376",5,4,5,5,1,1,5,5,5,5,1,3,3,2,1
"P377",5,5,5,5,5,5,5,5,5,5,5,5,4,3,5
"P378",5,5,5,5,1,5,5,5,5,5,5,5,4,4,5
"P379",4,1,5,4,1,2,5,1,5,3,3,2,4,1,1
"P380",2,1,5,2,1,1,1,5,1,5,1,5,1,4,2
"P381",5,5,5,2,4,2,5,5,4,5,2,4,4,5,5
"P382",5,1,1,1,1,1,1,5,1,1,1,1,3,1,5
"P383",1,1,1,3,1,1,1,5,4,4,2,2,1,5,1
"P384",5,1,5,5,2,5,1,5,5,5,5,5,3,1,5
"P385",5,2,5,5,4,5,1,5,5,5,4,1,4,1,3
"P386",5,5,3,3,3,5,1,5,5,5,2,2,3,5,5
"P387",1,1,1,4,1,1,1,4,1,1,1,2,1,1,5
"P388",1,5,2,1,1,1,1,3,1,5,1,2,4,2,5
"P389",5,2,1,3,4,5,5,5,5,4,1,5,3,3,5
"P390",4,4,5,5,5,5,5,5,5,5,5,5,5,4,5
"P391",1,1,2,2,1,4,1,1,1,3,1,5,1,1,5
"P392",1,4,2,4,4,5,1,1,1,5,2,2,3,5,5
"P393",1,1,1,1,1,1,1,5,5,1,1,3,1,1,5
"P394",1,1,1,1,1,1,1,1,1,4,4,1,1,1,1
"P395",5,5,5,3,4,1,4,3,5,5,2,5,4,1,2
"P396",5,5,1,1,1,1,1,5,1,3,1,1,1,1,1
"P397",5,4,2,2,5,5,1,2,5,5,1,2,4,1,1
"P398",5,1,2,2,1,1,5,1,4,1,1,1,2,5,1
"P399",5,5,5,5,4,5,5,5,4,3,2,5,5,5,5
"P400",5,1,3,4,1,5,1,1,5,1,1,5,1,2,5
"P401",4,1,2,4,1,5,5,5,5,2,2,2,5,3,5
"P402",1,5,5,5,1,5,5,1,5,1,4,1,5,2,5
"P403",1,5,5,5,2,5,5,3,3,5,4,1,5,1,5
"P404",1,4,5,4,1,5,1,1,5,5,1,2,3,2,1
"P405",5,5,5,4,1,2,3,3,5,2,5,3,3,2,5
"P406",5,2,5,5,2,1,1,5,3,2,1,2,1,4,1
"P407",5,2,1,2,1,1,5,2,4,1,1,2,1,1,1
