"Row","F1","F2"
131,0.7775,0.0788
132,0.7189,2.2931
133,2.0184,2.2469
134,1.4296,1.1845
135,2.1737,1.5507
136,-1.142,0.0653
137,-0.3119,-0.1062
138,0.6693,0.0536
139,0.6639,1.204
140,0.4123,0.3475
141,-0.1988,-0.5955
142,-0.7455,-0.3857
143,-1.1383,-0.879
144,-1.1024,-0.7254
145,-1.2893,0.1438
146,1.9442,0.7781
147,2.1243,1.656
148,0.5508,-0.6692
149,0.9095,1.5299
150,-1.0369,0.5026
151,-1.948,-1.2629
152,-0.5121,-1.0083
153,0.0561,-0.5426
154,-0.4895,-0.221
155,-1.2707,-0.3532
156,-0.8108,-1.3758
157,0.4066,-0.0139
158,1.6314,0.6892
159,-0.6594,-0.8347
160,-1.2635,-1.643
161,-2.2892,-1.3132
162,0.309,0.9106
163,0.347,-0.3969
164,-0.3534,-0.2747
165,0.3704,0.5028
166,-0.898,-0.4937
167,0.6743,0.158
168,-1.0438,0.3967
169,1.2457,-0.5831
170,-1.3738,-0.097
171,0.4661,-0.1346
172,0.2722,-0.1669
173,-0.7141,0.8177
174,0.7814,-1.3848
175,-0.361,0.4377
176,1.1152,0.4849
177,1.0671,0.1299
178,-0.1087,2.3115
179,-1.7637,1.405
180,1.8734,2.5867
181,0.4869,0.51
182,0.8823,-1.6834
183,-0.2707,1.1799
184,1.3522,2.0034
185,-0.7907,-1.367
186,1.7884,1.2997
187,0.132,2.0545
188,0.278,0.0765
189,1.3147,-0.3992
190,-0.0036,0.4787
191,-1.1313,-1.6494
192,-0.2761,-1.4532
193,-2.1732,-0.9359
194,0.3551,0.4602
195,0.1706,-0.1182
196,1.3088,0.2792
197,-0.8026,-0.2894
198,-0.3219,0.1965
199,0.3117,-0.8809
200,1.3295,0.1685
201,0.8099,0.08
202,-0.1891,-0.0093
203,-2.606,-1.0314
204,-0.537,0.6956
205,0.3427,1.1508
206,-0.1937,0.8017
207,-1.1525,0.3461
208,0.1852,1.3218
209,-1.9419,-0.1349
210,0.0049,-1.2218
211,0.8377,1.4811
212,-0.9248,-0.5178
213,1.2318,0.1292
214,-2.4831,-1.7739
215,1.1316,-0.5671
216,-0.1406,0.5364
217,0.2425,-0.1109
218,-0.5765,-0.9059
219,0.786,0.4073
220,-0.6496,-0.8192
221,-0.8023,0.3103
222,-0.1869,-0.7632
223,0.1845,-0.4746
224,0.0362,-1.7395
225,0.6919,1.3902
226,0.0156,0.6528
227,0.1436,-2.1332
228,-1.5299,0.1515
229,-0.1285,1.1081
230,0.6539,-0.1603
231,-0.666,0.7373
232,0.0475,0.3128
233,1.7507,0.9822
234,-0.5559,0.1831
235,-2.0652,-1.2128
236,-0.2107,1.3116
237,-2.1131,-2.3486
238,-0.2099,0.2098
239,-0.6368,-0.5825
240,-0.6272,-0.0463
241,0.2336,1.3132
242,0.2837,-0.8872
243,0.5206,-0.4176
244,-0.8975,0.6054
245,0.5632,-0.5678
246,-0.7119,0.011
247,-1.221,-0.2279
248,-0.1633,0.17
249,-0.2034,0.7379
250,-2.0357,-1.0333
251,-0.6998,-1.1026
252,-1.4298,2.0627
253,-0.26,-0.5578
254,0.4111,-0.9696
255,0.8421,0.3898
256,0.9161,-1.4866
257,0.4457,-0.3466
258,-0.5459,0.923
259,-0.3381,-0.5637
260,0.6517,-0.1305
261,0.3067,0.1354
262,-1.1733,-1.189
263,0.0976,2.0498
264,0.7099,0.2982
265,0.7892,-0.3305
266,1.4957,-0.6992
267,-0.3524,-0.256
268,0.7872,-0.9812
269,0.4524,1.2686
270,1.3433,0.641
271,-0.5988,0.9705
272,1.861,-0.0318
273,0.1911,0.0395
274,1.295,0.3154
275,-0.7328,-0.5133
276,-0.93,-0.9592
277,0.4443,1.7235
278,-0.5725,-1.9607
279,2.2834,1.1777
280,-1.2619,-0.3305
281,0.6675,0.1387
282,1.3311,1.9079
283,1.2169,0.6112
284,-1.9757,-0.5972
285,-0.9686,-1.0363
286,1.238,0.1992
287,-1.4786,-2.5186
288,-0.3329,-0.9726
289,-0.7275,0.1093
290,-0.7292,0.0549
291,-0.7203,0.928
292,-0.5273,0.7659
293,-2.3508,-0.2795
294,-0.2888,0.0519
295,-1.1321,-1.1551
296,-0.3165,-0.6575
297,-0.4669,0.2986
298,-0.1037,-0.1479
299,1.3148,0.8209
300,-1.3162,-0.7457
301,-0.585,0.7341
302,0.8698,-0.0471
303,1.8449,-0.458
304,-1.8897,-1.8003
305,-0.5539,-0.8085
306,0.1791,0.8526
307,-0.3879,-0.4724
308,0.1836,0.0675
309,-1.1609,-0.9909
310,-0.0505,-0.4015
311,-0.8845,1.3072
312,-1.9427,0.9898
313,-0.9033,-0.1101
314,0.9596,0.6725
315,1.2006,-0.1384
316,-0.9526,-1.2393
317,0.9465,0.6584
318,1.1474,0.9697
319,0.8447,0.5567
320,-1.69,-1.4348
321,-1.0084,-1.2952
322,1.3147,1.1405
323,1.3004,0.4177
324,0.3901,0.3696
325,1.331,0.6809
326,1.3959,-0.6677
327,0.7072,-1.6791
328,0.5484,0.4158
329,0.2907,0.9533
330,0.4707,1.2402
331,0.4339,0.9935
332,-0.8354,-1.213
333,-1.7725,0.2287
334,-0.9895,-0.9292
335,0.2043,1.2377
336,0.91,0.2671
337,-1.2424,-0.6412
338,-0.3268,0.2571
339,1.0718,-0.4844
340,1.5054,-1.0563
341,-0.9527,-1.2703
342,2.339,0.3793
343,-0.0592,-0.6011
344,-1.2161,-0.871
345,-2.2353,0.2376
346,-2.1831,-2.1707
347,0.5164,0.3736
348,0.1088,0.5293
349,-0.0661,1.028
350,1.8204,1.2532
351,-0.4108,1.1477
352,-1.1864,0.0164
353,0.5526,0.7537
354,-2.0201,-1.2827
355,0.3686,-1.0756
356,-0.2545,-0.9455
357,0.1876,0.1118
358,-0.6375,-2.6158
359,0.2515,-0.2551
360,0.1004,-1.0928
361,0.2446,-0.4806
362,-0.729,0.8086
363,-0.4994,-3.5675
364,0.1383,-0.4475
365,0.2067,-0.1561
366,1.4186,-0.4918
367,-0.5153,-0.1377
368,0.2151,2.0611
369,0.2845,0.982
370,0.0705,0.2597
371,-0.1304,-0.0229
372,0.3981,-0.3131
373,-0.152,0.6225
374,0.5707,1.4387
375,0.2641,0.4605
376,-0.7875,-0.9485
377,1.7887,2.427
378,0.8697,-0.9195
379,-0.2605,-0.128
380,-3.181,-0.8884
381,0.132,0.4331
382,0.6355,1.1466
383,1.0834,1.8862
384,0.5427,0.8802
385,0.5281,0.4903
386,-0.5734,-1.2136
387,-1.5931,-0.1961
388,-0.6158,-0.4985
389,-0.8079,-0.5219
390,0.7279,-0.4016
391,-1.8163,-2.3554
392,-0.3156,0.9913
393,-0.5897,-0.1705
394,-0.7929,-0.4741
395,-0.3217,-0.5489
396,0.5177,-0.1797
397,-1.2055,0.8404
398,-1.0347,-0.7946
399,0.2823,-1.0404
400,1.7062,0.7402
401,-1.2709,-0.6997
402,1.0083,0.9211
403,-0.4024,0.3044
404,-0.8339,-0.3892
405,-1.4469,-0.9877
406,0.1464,0.1934
407,-0.2022,0.5883
408,-1.776,0.712
409,-0.3889,1.5968
410,-0.637,-0.2848
411,0.8809,0.9496
412,-0.5315,0.6613
413,0.098,-0.7642
414,-0.5067,-0.8993
415,0.5312,1.6537
416,-0.5986,-0.1263
417,-0.4328,-1.6319
418,-0.9222,-0.4599
419,-1.2117,-3.112
420,0.002,-0.3163
421,0.25,0.2944
422,-0.7074,0.5455
423,0.2718,-1.2297
424,1.3388,1.9567
425,-2.6421,-0.7754
426,0.3377,0.3006
427,1.7565,0.8585
428,0.8593,-2.2149
429,0.5465,-0.4739
430,-1.7543,-1.6962
431,-0.8196,-1.7666
432,0.9568,-0.0195
433,2.837,1.9058
434,0.4363,-0.2931
435,-0.4606,0.3523
436,0.1951,1.5159
437,0.5639,0.3951
438,0.5669,0.0998
439,-1.4116,-0.6528
440,-0.4072,1.4896
441,-0.4648,0.5524
442,0.4704,-0.3628
443,-0.8026,-0.4433
444,2.1849,0.7436
445,-0.5513,-1.6983
446,0.6112,0.3228
447,0.7414,-1.2409
448,-0.8558,-0.6886
449,-2.4214,-0.9888
450,-2.3897,-1.2432
451,0.4544,0.8706
452,-0.2915,0.5996
453,-1.3208,0.1377
454,-0.9553,-0.8107
455,1.3501,0.3407
456,-0.3216,0.3138
457,1.5926,-0.2854
458,0.9709,1.3794
459,-2.4397,0.2574
460,0.3364,0.6686
461,0.6955,0.9015
462,0.0946,0.5292
463,0.0195,-1.0429
464,-1.5409,-0.7413
465,1.0216,0.8144
466,0.3434,0.0284
467,-0.1575,0.1918
468,-0.2085,-0.9702
469,0.6083,-0.4638
470,0.9518,-1.1486
471,-1.024,-2.3412
472,-1.6254,-0.6447
473,-0.5914,-0.4497
474,0.0983,0.916
475,-0.7935,-0.9505
476,-1.4362,-1.2253
477,-0.0761,0.2869
478,0.1455,-0.4708
479,1.5523,0.7124
480,-1.8084,0.1644
481,-1.6333,-0.315
482,0.2403,-1.038
483,-0.549,0.3887
484,-0.726,-1.423
485,0.2917,-0.7326
486,0.1871,-1.8361
487,-0.8095,0.7585
488,-1.7641,-1.1423
489,0.2798,0.2593
490,0.0156,-0.5123
491,-1.2477,1.1101
492,1.4269,0.8934
493,-1.7762,-0.5279
494,-0.8212,-1.0136
495,-1.1376,0.6071
496,-0.9953,-0.8188
497,-1.4286,-0.9922
498,1.0113,0.1442
499,0.5906,0.341
500,0.3805,-0.0127
501,1.0639,0.4203
502,-0.4392,-2.268
503,-0.0578,0.5106
504,-0.4003,-0.6474
505,-0.6264,0.9029
506,0.4715,2.2866
507,1.4053,0.4389
508,0.2655,-1.2593
509,1.6008,1.389
510,-0.0583,-0.6647
511,0.8648,-0.6428
512,0.1129,0.2736
513,1.6651,2.0139
514,-1.3806,-0.1244
515,-0.1267,-1.2902
516,0.1623,0.0857
517,-0.8203,0.0053
518,0.6724,0.6582
519,0.1327,1.5313
520,-1.2601,-0.9525
521,-0.393,0.9303
522,0.6922,0.2816
523,0.3658,-0.1758
524,-0.2106,-0.9138
525,-0.7402,-1.0921
526,0.7833,-0.4934
527,0.5179,0.4737
528,-0.3563,0.0152
529,-1.2438,-0.3561
530,-1.5182,-0.9526
531,0.5491,1.2085
532,-0.4642,0.4317
533,0.2475,0.1174
534,-0.7322,-1.3113
535,-0.365,-0.3371
536,-0.5198,0.2256
537,-0.4891,-1.0882
538,-0.2782,0.3552
539,0.9194,1.5141
540,0.7252,-0.6559
541,0.0858,-0.1189
542,0.9816,0.0166
543,-0.8282,1.4359
544,1.4251,0.3958
545,2.293,1.2918
546,-1.4717,-1.2681
547,-0.0556,0.4937
548,0.4299,-0.1634
549,0.9458,0.5386
550,-1.3272,-1.1888
551,-0.1213,-1.2432
552,-0.474,2.1569
553,0.5585,-0.7807
554,-0.693,-2.3488
555,0.7153,1.6512
556,-0.7608,-0.2618
557,-0.1931,-0.4332
558,0.2208,-1.6143
559,0.3632,-0.7815
560,-0.3657,-0.3404
561,-0.4291,-1.3544
562,0.0562,-0.4137
563,0.4241,0.5317
564,-0.3294,0.5345
565,-0.4923,-2.4821
566,-1.4411,0.0126
567,1.6387,0.5751
568,-0.1499,-0.1775
569,1.6671,1.8712
570,1.4641,1.44
571,0.0203,2.7605
572,-0.5061,0.2331
573,-0.0709,0.9933
574,0.0071,-0.3832
575,1.2161,1.1871
576,-1.6122,-0.7657
577,2.0969,1.3932
578,0.7254,0.247
579,-0.0977,-0.7098
580,0.1798,-1.9252
581,-2.1526,0.1281
582,-0.223,0.2195
583,-0.5183,-0.6751
584,-0.3057,-0.3292
585,-1.14,-1.3409
586,0.6135,-0.7663
587,1.9082,1.3939
588,-0.1447,0.7426
589,-0.8563,-0.7825
590,0.5927,-2.0044
591,-1.0134,0.9284
592,0.2377,0.5902
593,0.7566,0.2737
594,-1.5252,-0.0127
595,-1.0708,-0.028
596,-1.1715,-1.2202
597,1.431,-0.1204
598,-0.5485,0.522
599,-0.7192,0.705
600,0.6257,0.4939
601,-0.9763,-0.1089
602,-1.4492,-0.8783
603,0.6352,0.2121
604,-2.3292,-1.4475
605,-1.0906,-0.7589
606,-1.0187,-1.8019
607,-0.1899,-0.1002
608,1.016,-1.6828
609,-0.3096,-0.327
610,-0.0345,-1.9059
611,-0.5691,-0.7247
612,-1.3647,-1.6062
613,0.0523,0.7525
614,0.4176,-0.3052
615,1.5587,0.8994
616,0.8018,1.4713
617,-0.1788,0.0209
618,-2.3074,-2.9144
619,0.3288,-0.6358
620,0.9149,-0.0351
621,-0.594,-0.0019
622,0.9243,0.9671
623,-1.0045,-1.1652
624,-0.9908,0.1268
625,1.1671,1.1716
626,-0.7756,0.5803
627,1.6439,0.9323
628,-0.4991,0.3238
629,-1.2679,-0.4095
630,0.1478,0.5267
631,-0.8476,-0.0833
632,-1.4167,-0.2825
633,-0.4939,-0.3899
634,-0.0415,0.3479
635,-0.7567,-0.5596
636,2.9011,-1.5608
637,0.4723,0.0317
638,1.5296,2.8682
639,0.1621,-1.4341
640,-0.106,-1.8076
641,0.0074,0.1646
642,-0.1654,-1.3192
643,-1.1045,-2.455
644,0.1855,0.2038
645,-0.6307,0.7368
646,0.3468,1.455
647,-0.4511,-0.0866
648,0.8411,-0.8147
649,1.6769,0.0407
650,0.0505,-1.3218
651,1.3016,1.352
652,0.7852,-0.0312
653,-2.0652,-0.1233
654,-0.4671,1.2812
655,0.3813,-0.682
656,-1.2497,-0.6028
657,-0.3459,-0.4539
658,-2.4518,-1.3636
659,0.1492,-0.2856
660,0.0188,1.4883
661,-0.7805,0.7635
662,-0.7586,-1.5363
663,0.7616,0.8488
664,0.2258,0.2571
665,-0.1115,0.5506
666,-0.0205,0.1507
667,1.4474,-1.9268
668,2.0023,2.4588
669,-0.6154,-0.0403
670,-0.9707,-2.682
671,0.7402,-2.2408
672,-0.8667,-0.7963
673,0.0994,0.6139
674,-0.5908,0.0057
675,-0.4275,-0.4225
676,-0.301,-0.2845
677,0.5527,0.2961
678,0.4797,0.4934
679,1.5988,0.9233
680,-1.3964,-0.1307
681,0.7739,-1.1074
682,-0.1905,-0.5246
683,0.7286,1.5941
684,-0.0708,0.9453
685,-2.6224,-0.4812
686,-0.6442,0.4548
687,-0.3785,0.1601
688,-0.2312,-0.643
689,-0.1765,-0.1514
690,0.7582,-0.0786
691,-0.1064,0.9813
692,-0.4099,0.9803
693,0.6716,-0.458
694,0.0875,1.0269
695,0.6266,-0.8529
696,-1.4996,1.6255
697,0.2307,-0.5268
698,-0.7151,-0.5489
699,-1.4528,-0.7679
700,0.6495,1.151
701,0.5082,-1.7088
702,-1.1201,-0.1423
703,-0.3112,0.0587
704,-0.633,0.1324
705,-1.6914,-0.2387
706,0.329,-0.6033
707,-2.0745,-0.1245
708,-0.5025,-2.1047
709,1.1487,0.2149
710,1.0439,0.9715
711,-0.4748,0.3716
712,-1.6045,-0.3269
713,-0.4377,-0.0053
714,-0.3789,1.9363
715,-1.1494,-0.2449
716,0.6566,-0.8983
717,-0.9072,1.0535
718,-1.9004,-0.6507
719,-0.3834,-1.0517
720,0.6896,1.5663
721,2.3144,0.1882
722,0.0287,-0.5233
723,-0.6777,-0.8303
724,0.0772,-0.4718
725,-0.2386,0.4545
726,-1.4343,-1.7911
727,-0.1985,0.9422
728,-0.65,-0.2951
729,1.6769,1.0293
730,-1.2836,-0.9294
731,0.6817,-0.1375
732,0.6072,0.4436
733,0.8921,0.0802
734,0.7868,1.7479
735,-0.3264,-0.07
736,-0.9787,0.4376
737,-0.3037,-0.0671
738,-0.0867,0.0428
739,1.0358,2.1909
740,-0.3233,-1.3894
741,0.0507,0.6473
742,-0.4163,-0.0283
743,0.9116,1.0463
744,-0.171,1.0291
745,0.2385,0.0472
746,0.7349,0.3315
747,1.6308,2.618
748,-0.3897,-0.1745
749,-0.3071,-0.8779
750,-1.6665,-0.4783
751,-0.4248,-0.9554
752,-0.8748,-2.1105
753,-0.4022,-0.4725
754,-0.2201,-0.4075
755,-0.7472,0.1798
756,-0.3882,1.6644
757,-0.8547,-0.4028
758,1.1196,1.7058
759,1.2015,1.1208
760,-0.1289,2.3491
761,-0.0601,0.223
762,-0.9498,-0.1643
763,-0.0604,-1.0193
764,-1.1423,-1.3108
765,-1.0729,-1.4064
766,0.8005,-1.0163
767,-1.0957,0.4014
768,-0.3263,0.4381
769,-0.8936,-1.795
770,-1.0675,-1.2723
771,-0.3407,0.2945
772,-0.6162,-0.4257
773,-0.4996,-1.3188
774,-1.071,-1.4886
775,0.2327,0.5645
776,-0.1545,0.1825
777,1.861,0.269
778,0.9049,-0.5718
779,2.0111,1.5743
780,-0.1648,0.1073
781,0.9303,0.7654
782,-0.4203,-0.1149
783,-0.0889,-0.6251
784,1.1867,1.0457
785,0.323,0.3037
786,0.0017,1.3166
787,1.0539,-1.1699
788,-0.5812,-0.8166
789,-0.2962,-1.161
790,-0.7068,-0.1182
791,-0.1127,-1.0239
792,0.1861,0.0575
793,-2.1284,-2.7911
794,-1.192,-0.5965
795,-0.5113,-0.9705
796,-0.2734,-0.5216
797,1.5293,0.7324
798,-0.014,-0.0801
799,-0.36,1.2329
800,0.6169,-0.2504
801,-0.4243,-0.2912
802,1.3534,-0.3232
803,-1.0004,-1.0652
804,-0.3332,1.3478
805,-0.2283,1.2531
806,0.7274,-0.2679
807,-1.8053,-0.531
808,1.5144,1.139
809,0.3668,-0.4609
810,0.4676,0.0726
811,-0.8216,-0.2123
812,0.5397,1.1968
813,-0.6348,-0.4596
814,-1.2228,-0.3022
815,-0.1603,-0.4077
816,0.9026,0.6912
817,-0.8166,-0.4341
818,-0.1486,0.9138
819,-1.086,-1.6623
820,0.9765,1.0152
821,-1.3863,0.4939
822,-0.6225,-0.186
823,0.0205,-0.4055
824,1.2929,-0.3454
825,0.534,-0.5277
826,0.7261,0.9942
827,-0.5319,1.5871
828,-0.268,1.1189
829,2.2277,1.5453
830,0.9699,1.3718
831,-1.0357,-0.9497
832,0.7441,-0.4961
833,-0.8533,-1.5495
834,0.8264,0.4159
835,0.1503,-0.1437
836,0.4906,0.2479
837,-0.5201,-0.1399
838,-0.2269,-0.3784
839,-0.043,-1.289
840,1.556,0.6283
841,-1.4392,-0.2478
842,0.2059,-0.0037
843,-1.2922,0.7309
844,-0.4255,0.5547
845,-0.4403,1.0405
846,1.0069,1.0079
847,0.1811,-0.7455
848,-0.311,-0.3575
849,-0.0717,-1.0462
850,-0.6861,0.028
851,0.7689,0.4476
852,-0.8341,-0.7429
853,1.3027,2.2852
854,0.021,-0.1281
855,-0.7435,-0.0043
856,0.1186,-1.6333
857,1.8314,-0.0399
858,-1.2727,-0.7781
859,0.1239,1.9812
860,-1.3811,0.1311
861,0.2662,1.3712
862,-0.6302,-1.7767
863,0.3561,-0.0719
864,0.4443,-0.1864
865,-0.1461,1.3966
866,-0.665,0.0487
867,1.081,0.4603
868,-0.3193,-1.367
869,0.3244,-0.8391
870,1.2287,0.3474
871,-1.3787,-0.5348
872,-0.0585,1.5992
873,-0.792,1.2674
874,1.6522,1.4376
875,-0.5605,0.0616
876,0.5705,-1.4535
877,-1.0501,-2.524
878,1.2287,-0.0012
879,1.1203,0.7837
880,1.5385,-0.7354
881,0.348,0.2959
882,0.7276,-1.2829
883,-0.9978,-0.3136
884,1.0347,0.6058
885,0.9939,0.6804
886,-0.4154,-0.6891
887,0.4906,0.1425
888,-0.1332,-0.2286
889,-0.2786,0.1477
890,0.9109,1.703
891,0.2194,-0.548
892,-0.9998,-1.071
893,0.7484,-0.0958
894,0.123,-1.4838
895,0.7329,-0.4969
896,0.4606,1.6904
897,1.1023,2.3629
898,-0.7797,1.6594
899,-0.7199,-1.8024
900,0.3103,0.7665
901,0.1445,0.4055
902,-0.616,-1.449
903,-0.5501,0.5696
904,-0.9813,-0.0384
905,1.4116,0.3669
906,0.9031,-0.2151
907,0.7511,-0.1745
908,1.2283,-0.9381
909,0.8585,0.03
910,0.115,0.4845
911,-0.674,-2.4218
912,0.9248,-0.7424
913,0.715,0.1167
914,0.1844,0.5994
915,-0.0048,1.1339
916,-0.3689,-1.2598
917,-0.7481,-0.2794
918,-0.6146,-0.1778
919,1.6242,-0.5493
920,-0.5651,0.0756
921,0.4365,-0.8032
922,1.2333,-0.2059
923,1.2652,-0.2677
924,-0.2501,0.5188
925,-0.2161,0.2066
926,-0.6037,-0.3249
927,0.2904,-0.5116
928,-0.2999,-0.6046
929,0.3058,0.1441
930,0.6061,0.6197
931,-0.9339,0.42
932,-1.101,0.005
933,-0.6548,-1.9326
934,-0.4071,0.0546
935,1.0624,-0.1883
936,-3.1598,-0.7446
937,-0.6759,0.8669
938,-1.4242,-1.5247
939,-0.8328,1.2549
940,0.5439,0.263
941,-1.5042,-0.5425
942,-0.8507,-1.4094
943,0.0176,0.5459
944,-0.8189,-0.843
945,0.4189,-0.2006
946,-1.295,-1.178
947,-1.4247,-0.0451
948,-0.998,-0.9843
949,-1.1381,-2.0228
950,1.0354,0.377
951,-0.7055,-0.3959
952,-1.4222,0.9029
953,0.9278,0.5944
954,-1.3243,-1.2161
955,0.9951,0.4068
956,-0.0258,0.8282
957,-0.1467,0.1679
958,-0.9323,-0.2148
959,1.0342,1.3741
960,-0.8074,-1.3926
961,-1.1839,-0.4885
962,-2.173,-1.4362
963,-0.134,-0.4409
964,-2.506,-1.5728
965,1.9126,1.6578
966,-0.5128,-1.9448
967,1.6119,0.0941
968,-0.0774,-1.1795
969,-0.3653,0.0466
970,-0.5183,-0.0454
971,0.34,-1.2905
972,0.7089,-0.0669
973,0.8009,0.2925
974,0.2799,0.7887
975,0.903,2.4361
976,1.0101,0.9883
977,-1.0703,-1.4059
978,0.4445,-1.3474
979,-0.6686,0.2491
980,0.4115,-0.0764
981,-0.0335,-1.5157
982,-1.2711,-1.1849
983,-0.1872,-1.201
984,0.8998,-0.1056
985,-0.6678,0.2818
986,3.1438,0.5256
987,0.7339,0.1047
988,0.4133,0.0598
989,0.3222,-1.3084
990,0.7311,0.3951
991,-0.5297,-0.827
992,0.4363,0.1451
993,-1.0247,-1.0123
994,0.3715,0.2021
995,-0.2168,1.3401
996,-0.2522,-1.4266
997,0.4371,-1.165
998,-0.4862,1.115
999,-1.2149,1.9999
1000,0.5156,0.981
