"Row","F1","F2","F3"
105,-0.823,-0.1096,0.7676
106,-2.218,-0.7752,-2.0427
107,0.5694,1.3887,0.6661
108,1.5155,0.7551,1.1586
109,-0.9992,-0.6914,-0.4804
110,0.0704,-0.3096,0.1184
111,1.1891,0.2392,0.5152
112,-1.1184,-0.6834,0.3738
113,0.0828,0.7156,0.431
114,0.7773,0.6785,0.9735
115,0.5015,-1.3947,2.2754
116,-0.8026,0.0417,-0.8452
117,-1.2244,0.5216,-0.2792
118,-1.4624,-0.1008,-2.2537
119,-0.5291,-0.8057,-0.3801
120,-1.2019,-0.5605,0.1518
121,0.4901,-0.4019,-1.1838
122,-0.8643,-0.9288,-1.2156
123,-1.6103,-0.9318,-0.8993
124,-0.8559,0.2451,0.4136
125,-1.7235,-0.537,-1.7219
126,1.2276,-0.3632,0.8333
127,-1.4069,-0.6097,-0.677
128,-0.9612,-0.1134,-1.5306
129,-0.2704,0.3191,0.9
130,-1.6768,0.1449,0.3179
131,0.9747,-0.2579,0.3575
132,0.4767,1.7101,1.16
133,-0.3449,0.1019,-0.1855
134,0.3318,-0.4429,0.3211
135,-0.6388,0.7346,-0.7784
136,-0.3056,0.7249,-0.2259
137,-0.6816,-0.426,0.0945
138,-1.0798,-0.9869,0.7916
139,-1.7118,-0.5524,-2.3173
140,-0.3227,-0.6634,-0.1139
141,-2.1819,1.239,-0.3839
142,-2.34,-0.8974,-1.767
143,2.5483,1.0338,1.2347
144,-0.5396,-0.1658,0.7223
145,-0.1458,0.4355,-0.8337
146,-1.2648,0.1422,0.4094
147,1.4689,1.5502,1.9846
148,-0.1036,0.1354,-0.9078
149,0.7982,0.4049,1.3176
150,0.4759,-0.1354,-0.1454
151,0.0252,0.0723,-0.3758
152,-0.6824,-2.0361,-0.1936
153,-1.0769,-1.1265,-0.9054
154,0.5274,-0.39,-0.979
155,-0.8171,-0.1366,0.0205
156,1.2234,-0.068,-0.8182
157,0.5947,1.1904,0.0993
158,-0.9289,-1.13,-0.9313
159,-1.137,-2.2099,-1.5186
160,0.2307,1.9203,-0.245
161,0.1438,1.3172,0.3471
162,-0.1074,1.3229,-0.2221
163,1.6055,0.4233,-0.2003
164,-1.6618,-1.2051,-0.8851
165,-0.8707,0.9654,0.1897
166,0.1913,0.2796,0.3568
167,-0.2017,0.7459,-0.3288
168,0.6777,-0.3278,0.6025
169,0.5201,-1.0477,0.2676
170,0.6145,0.0463,-0.7652
171,-0.2749,2.363,-0.1722
172,1.9126,0.927,-0.7046
173,-0.7737,-2.5002,0.1196
174,-1.2074,-1.0584,-1.5402
175,-1.1853,0.3471,-0.0771
176,0.4302,-0.1444,2e-04
177,-0.0034,-0.171,0.9201
178,1.1896,1.0826,-0.6463
179,-0.5736,-1.3221,0.5742
180,-0.4059,0.1163,1.4142
181,1.1151,0.3038,0.6581
182,1.374,-1.6435,-2.4801
183,-0.2898,-1.2984,-0.4358
184,-0.4558,-1.2914,-1.8193
185,-0.5642,-1.7061,-2.1285
186,-1.4572,-0.7873,1.034
187,2.8534,1.7213,0.855
188,-1.405,-1.0762,-1.2437
189,0.8254,-0.401,1.1021
190,1.8538,0.3604,-0.2843
191,1.6792,2.6186,1.0955
192,1.4179,-0.0453,-0.3108
193,0.6193,-0.1549,0.6807
194,-1.1636,-0.5908,0.5977
195,-0.4464,0.9386,0.5236
196,-0.1785,-0.4796,-0.6102
197,1.194,1.7543,-0.0366
198,2.9007,0.1431,0.2916
199,0.8797,-0.7754,-1.5138
200,-0.1948,1.956,-0.6996
201,-2.1254,-0.4172,0.7093
202,1.4145,0.0716,0.1329
203,-1.2243,0.9021,0.3874
204,-0.1613,-0.6109,0.4368
205,0.3462,-0.7251,-1.246
206,-1.0705,-0.1617,-1.2039
207,1.4733,1.7209,0.5316
208,-1.8524,-1.3627,-2.2572
209,1.3907,-0.112,1.7374
210,-0.3377,-0.5888,-0.1814
211,1.8219,0.1123,0.7054
212,0.805,0.444,0.8493
213,-0.7764,-2.0318,-0.3788
214,0.9632,0.2931,-0.6391
215,1.3936,1.5566,0.9321
216,-1.6803,-0.3571,-0.5717
217,1.0557,0.1195,-0.7259
218,-1.2053,-1.0401,-1.8
219,0.8972,1.5148,-0.4275
220,0.0306,0.9712,-0.0439
221,-1.6852,-0.3383,-1.0297
222,1.7199,-0.3385,-0.3336
223,-0.9038,-0.4396,0.5609
224,0.1229,0.3112,-0.6311
225,-0.6618,-1.265,-1.0375
226,-1.348,-0.9148,-0.9087
227,-0.0787,0.4731,1.6045
228,0.4108,-0.5143,0.1602
229,-0.0297,-0.7615,-1.2714
230,1.0742,0.131,1.4176
231,-0.5738,0.2278,0.6715
232,2.8763,0.9586,0.1609
233,-1.1194,-0.7061,0.5032
234,0.4082,0.2887,-1.9852
235,2.093,0.4631,2.0799
236,-1.3248,-1.2239,-0.9748
237,-0.1641,0.2434,0.0259
238,-0.847,-2.2374,-1.1955
239,-0.1516,1.3772,0.4665
240,0.0376,0.1483,0.6639
241,-0.9596,-0.0309,1.335
242,-0.957,-0.3344,-1.0652
243,-1.0398,-0.2454,-1.2374
244,2.6766,0.8066,1.311
245,-2.4692,-2.6298,-0.271
246,-0.4174,-0.9165,0.4102
247,-1.1558,1.3971,0.8379
248,-0.8351,1.1929,0.1799
249,0.1429,-0.2323,-1.4089
250,-0.7221,-1.2748,0.2984
251,1.8999,1.7262,-0.1843
252,1.4483,0.4565,-0.4907
253,-0.3063,-0.4992,-0.5745
254,0.9581,-0.3383,2.2503
255,0.6083,1.0595,1.4478
256,0.0567,-0.6813,1.4809
257,0.5578,0.3487,1.407
258,0.7955,0.8219,0.676
259,-0.9266,0.8672,-0.8485
260,0.8,0.7543,1.4024
261,0.5762,-0.3103,0.2847
262,1.4753,1.1326,1.8711
263,-0.5024,0.5349,-0.6835
264,-1.5499,-1.14,-0.1911
265,-0.35,0.4319,1.3273
266,0.7505,-0.0986,-1.5593
267,-0.1038,0.9862,1.0046
268,-0.1591,-0.6588,0.6945
269,-1.8489,-1.7211,0.8884
270,0.2906,-0.5905,-0.2472
271,-0.5155,-0.17,-0.0702
272,-0.0396,-0.2318,0.5807
273,-1.4484,-2.632,-2.2767
274,0.0414,1.397,0.4726
275,0.7135,-0.5267,-0.4968
276,1.3546,0.66,2.5084
277,1.1372,-0.1788,-0.5645
278,0.1259,0.9221,-1.5966
279,1.0104,3.305,-0.5775
280,-1.1387,-0.8504,-0.2332
281,0.2034,-0.4132,1.0378
282,2.5494,0.3904,-0.5043
283,-1.17,-0.1926,1.6205
284,0.3089,-0.5699,1.1354
285,-0.961,-1.5512,0.8232
286,-3.4667,-1.8276,-1.4558
287,1.1594,0.4039,0.5792
288,1.4111,0.9283,1.5985
289,-0.9371,-1.841,0.4116
290,0.2262,0.7835,0.4185
291,-2.4239,1.2154,-0.6817
292,-0.6882,1.2764,-0.8391
293,-1.7406,1.428,0.3037
294,-0.5931,0.1515,-0.3426
295,-0.6891,-0.4305,-0.6711
296,-0.9241,-1.172,-0.6389
297,-0.7976,0.0207,0.7315
298,-1.121,-1.0785,-0.6601
299,0.4218,0.9814,1.5873
300,0.4437,2.4597,0.6614
301,1.2553,-0.0139,0.426
302,-0.8569,0.139,-0.6727
303,0.0342,1.0675,-0.0612
304,-0.4785,1.1844,0.099
305,-0.173,-0.9207,0.1809
306,0.1467,0.4752,-1.1575
307,-1.1879,-0.8145,-0.3324
308,-1.3698,-0.6715,-1.9751
309,-0.7122,-0.5477,-1.3514
310,1.4202,0.3165,-0.2018
311,-0.5337,-0.9095,-0.3577
312,0.0265,1.7825,0.5096
313,-0.506,0.271,-1.3628
314,0.6975,-0.8368,0.7479
315,-1.0523,-1.554,-0.8427
316,1.0612,1.7744,0.6757
317,-0.7468,1.2406,-0.3157
318,0.3361,-0.5913,1.8472
319,-0.4812,1.0953,-0.8749
320,-1.5162,0.8547,-0.3273
321,-0.4619,-0.8753,-0.1882
322,0.0017,1.2438,0.0396
323,-0.4946,0.1333,-0.6284
324,-0.0821,-0.6315,-1.4883
325,0.0778,0.0069,0.8374
326,-0.6533,-0.8439,-0.5834
327,0.5976,1.0307,-0.5673
328,-2.1207,-0.7152,-0.0698
329,1.4858,0.2668,0.1485
330,-0.1286,-0.3148,-0.6996
331,0.2078,0.6127,-1.2639
332,-0.9237,-0.8943,-1.0264
333,1.874,0.6636,0.2736
334,-0.5659,0.0407,-0.9615
335,2.2971,0.8034,0.4555
336,1.1262,0.5695,-0.5644
337,0.2622,0.272,0.6055
338,-1.7337,-1.2335,-0.3668
339,-0.7256,-0.1019,1.2157
340,0.4181,0.6666,1.8934
341,0.6003,0.8834,-0.7324
342,-0.5745,-1.0694,-0.3459
343,-0.1698,0.0669,-0.7032
344,-1.047,-0.4004,-0.0668
345,0.2078,0.0309,-0.9958
346,0.5296,2.0871,1.436
347,-0.8294,-1.2609,-0.589
348,-0.4124,-0.1585,-0.9158
349,0.6846,-1.2388,-1.2866
350,-2.149,-1.4924,0.7824
351,0.1115,-0.4728,0.7101
352,0.2187,0.1193,-0.1589
353,-0.0069,0.2754,-0.0165
354,-0.2794,-0.4302,-1.1299
355,1.683,-0.7808,-0.7267
356,1.0936,-0.0641,-0.5948
357,-0.4814,-1.0264,-1.0648
358,0.2989,-1.1182,0.2273
359,-0.2443,0.642,-0.3761
360,-0.4935,-0.0607,-0.6985
361,-1.1245,0.4023,0.7996
362,0.8257,2.7177,0.6553
363,-0.5748,-0.0243,-0.6445
364,-1.4932,1.2455,1.534
365,-0.5854,0.0449,-0.3296
366,0.0959,-1.1096,-0.5355
367,1.8462,-0.0712,0.4761
368,0.2489,2.3967,0.9694
369,1.4336,1.3345,0.9106
370,0.0414,1.0918,0.0827
371,-1.4252,-0.1838,-0.5627
372,-0.7169,-0.6476,-0.7839
373,-1.2697,0.0225,-0.1726
374,0.1685,-0.8116,0.6156
375,0.0359,-0.3756,-1.3695
376,-0.9663,-0.7542,-1.682
377,-0.4801,0.1577,-0.4901
378,0.4379,1.2361,-0.6212
379,-0.6531,0.4843,0.9156
380,-0.0118,-0.307,1.7643
381,-0.8296,-0.366,0.9908
382,-0.3765,0.4246,0.3512
383,0.4568,-0.8335,-0.2143
384,-1.5344,-1.6601,0.2103
385,0.6169,1.1912,0.1751
386,-1.4017,0.1763,0.0493
387,-0.4532,-0.006,-0.2716
388,0.2696,0.4461,0.0114
389,0.1585,1.9055,-1.2186
390,-0.7381,-0.4283,-1.5566
391,-1.0556,0.2401,1.8309
392,-1.494,-0.0427,0.152
393,1.0718,0.0506,-1.3549
394,1.4202,0.5762,1.1899
395,0.4382,-1.5102,-0.3809
396,0.0757,0.8923,-0.6347
397,0.1605,0.515,-1.6036
398,0.49,-0.2755,0.805
399,-0.4349,-0.0052,0.1171
400,-0.8303,1.2686,0.3869
401,0.1647,0.114,0.4922
402,1.001,0.3392,0.7711
403,0.4128,-0.2508,1.9613
404,0.6826,-0.5174,0.457
405,-0.0488,0.4623,0.6399
406,-0.8379,-0.0986,-0.7608
407,0.3443,0.8055,0.1438
408,-0.9491,0.0714,-1.2834
409,0.3362,-0.0111,0.8315
410,-0.7761,-1.3383,0.3498
411,0.3274,0.558,0.9613
412,1.101,1.7034,-0.5496
413,0.0594,-0.9076,-0.7681
414,-0.4775,2.3579,-0.4415
415,-0.7635,-1.5041,-0.1497
416,-0.8152,0.3362,-0.2953
417,-0.6745,-1.9508,-2.0826
418,-0.3645,-0.8084,1.3091
419,0.4779,-1.7985,0.7481
420,-0.3345,0.2019,0.2623
421,0.7118,0.237,0.6929
422,-0.2209,0.4594,-0.303
423,0.1041,-0.1503,-0.0712
424,0.2866,-0.2936,0.6686
425,-2.0138,-0.9301,-1.2597
426,0.605,-0.5136,-1.153
427,0.2953,0.4688,-0.8252
428,-0.0883,1.6567,1.2484
429,-0.7125,-0.9423,0.6836
430,1.2729,1.7551,1.681
431,0.5156,1.1545,0.5659
432,0.3674,1.7582,2.2333
433,-1.6779,-2.3957,-0.5661
434,-0.8111,-1.6582,0.5481
435,-1.8769,-0.5829,-0.3497
436,0.1401,-0.2498,1.0334
437,-0.2825,-0.7611,-0.5285
438,0.1815,-1.4615,0.2501
439,-0.7067,-0.2547,-0.0809
440,-1.0648,0.9484,-0.0602
441,-0.6365,-0.0049,1.7895
442,-0.3723,0.4552,0.7103
443,-0.2204,-0.745,1.8697
444,1.285,-1.0618,1.1545
445,-0.1081,0.8151,-0.4955
446,-0.1661,-0.3899,0.5247
447,-0.0655,0.5465,1.5165
448,1.7604,-1.0837,-2.0317
449,0.0603,0.9855,0.3309
450,0.003,-0.5668,-1.1432
451,-1.2184,-3.177,-1.1409
452,-0.2096,-0.785,-0.6
453,-0.0677,-1.9981,-0.6569
454,0.1248,-0.5928,1.1962
455,-0.8962,-0.4251,-0.2993
456,0.6156,0.8366,0.3184
457,0.8643,1.4144,0.6883
458,-0.1103,0.6928,0.9023
459,-0.5068,2.6019,0.9554
460,0.6669,-1.1501,-0.7155
461,-0.1559,0.431,-0.4941
462,-0.1629,0.6658,0.0116
463,1.2861,-1.0754,-0.6676
464,-0.4326,0.1093,0.708
465,1.0117,0.9026,-0.581
466,0.9224,0.3647,0.0084
467,0.4305,-0.0971,0.0611
468,-0.212,1.5178,1.265
469,-0.1319,0.9718,0.4642
470,-1.7007,-1.9253,-1.9563
471,0.0686,-0.2985,0.7064
472,-1.0971,0.8965,-0.4211
473,-0.8095,0.6548,-1.7259
474,0.1297,-0.474,-0.4584
475,-0.7831,0.0206,1.2061
476,-1.6375,-0.2911,-2.2413
477,-0.7444,0.2885,1.3687
478,0.4943,-0.2394,0.8652
479,-1.6561,-0.0978,-1.0838
480,-0.0901,-0.2265,1.0744
481,-1.6822,-2.3454,1.4759
482,0.6952,0.5658,0.6659
483,-0.6391,-0.8285,-0.7164
484,0.7712,1.9889,0.5199
485,0.4583,-0.6627,-0.1753
486,1.8157,-0.2769,0.2216
487,1.1726,1.3376,-0.925
488,1.0028,1.428,0.7916
489,1.4444,2.6528,-0.2079
490,-1.6396,-0.5999,0.7131
491,1.8387,0.6313,1.6136
492,0.6616,1.2802,0.6733
493,-1.0409,-0.7667,0.073
494,-2.362,-1.7653,-0.2786
495,1.7045,2.5429,1.9465
496,0.368,0.6763,0.3298
497,-0.4443,0.1008,-1.6171
498,0.7111,0.7364,-0.008
499,-0.8128,-0.7219,0.8312
500,1.1553,0.7128,-0.7147
501,-0.76,1.1003,-1.3553
502,-1.0079,-0.0981,0.1533
503,0.6173,8e-04,-0.1561
504,0.5687,0.5696,-0.3466
505,0.9825,0.0086,-1.0123
506,-1.4018,0.4948,0.7195
507,-0.5011,-3.0452,-1.5505
508,0.1037,-1.2602,0.4037
509,-0.532,-0.5604,-0.2028
510,0.0619,2.7156,1.7731
511,1.7651,-0.1308,-0.6319
512,2.4931,0.5174,-1.0329
513,-0.6865,-1.2619,-0.0237
514,-2.3437,-0.7516,-0.9605
515,-0.3296,-1.3029,-0.8801
516,0.2907,-0.9939,-0.8985
517,0.1407,0.8959,-1.1217
518,-1.254,-1.1801,0.0299
519,-0.3177,-2.2549,0.9468
520,-2.2176,-2.017,-2.732
521,-0.5476,0.9681,0.5651
522,0.6548,1.9308,0.4758
523,0.8752,0.2523,-1.2897
524,0.1648,-0.4108,-0.2997
525,-0.1196,-1.595,0.5351
526,-0.123,1.3984,1.5432
527,0.9278,1.6227,0.1349
528,0.7003,-0.5645,1.2845
529,1.6104,1.0021,1.2988
530,-1.0314,-2.7021,-0.9729
531,0.2613,0.3161,-0.5392
532,1.8447,-0.1147,1.5511
533,-2.094,-1.1013,-1.2854
534,-0.7715,0.5299,0.5565
535,1.7678,1.1814,0.1605
536,-2.5696,3e-04,-1.4763
537,0.4157,1.1919,0.4517
538,-1.4009,-0.4047,1.0058
539,0.013,-1.8489,-0.0761
540,0.1202,-0.9244,1.0844
541,0.7601,-1.1126,-0.5914
542,-0.9612,-1.1973,-0.0418
543,-0.0849,-1.0805,-1.0198
544,0.5578,0.2241,1e-04
545,1.1517,-0.6862,-0.8244
546,-0.4543,-0.1058,-0.8516
547,0.7281,1.6019,-0.2603
548,0.6601,0.7276,-0.0299
549,0.3895,0.8343,-0.1032
550,0.2151,0.5116,1.0496
551,0.1895,0.2376,-0.3802
552,0.0018,0.4002,0.2492
553,6e-04,-0.6286,-1.4837
554,2.7428,1.3715,-0.2213
555,-0.2896,1.1748,1.4954
556,1.1822,-0.248,1.2865
557,2.1717,-0.3895,-0.0759
558,0.2162,0.0859,-0.7654
559,-0.9035,-0.8637,-0.2915
560,0.1365,-0.1813,-1.2643
561,-1.0233,-0.8472,-1.7362
562,0.4529,0.1173,-0.0075
563,0.8578,-0.0609,-1.2737
564,1.6278,-0.4061,0.1521
565,1.4714,0.3791,1.5514
566,-0.8289,-0.2467,-1.8924
567,-1.9105,0.0653,-0.8359
568,0.3833,1.5323,0.6242
569,-1.8223,0.0143,-0.307
570,1.1498,-0.2267,-0.0075
571,0.5434,1.6282,0.1859
572,-0.2721,0.2819,-0.302
573,-0.8892,-0.8851,-0.7585
574,-3.3184,-0.4308,-1.8445
575,0.3978,-1.0243,0.1235
576,-0.0273,0.6369,0.5517
577,1.4233,1.1759,1.8184
578,-1.535,-1.6024,-0.0895
579,-0.456,0.5548,0.7137
580,1.588,0.359,0.5066
581,0.6413,-0.9457,-0.0804
582,1.6986,0.9401,1.385
583,1.0094,0.5844,-0.0601
584,-1.61,-1.835,-0.83
585,1.1434,0.2021,1.7887
586,-0.3985,-2.6437,-0.0326
587,0.4154,0.7712,1.1343
588,-1.29,-0.2098,1.479
589,1.5388,0.4528,0.323
590,-0.4484,0.1483,1.0121
591,-0.3132,0.5415,0.5739
592,-0.7712,-0.4869,-0.024
593,-1.6196,-2.0227,-1.3735
594,-2.5816,-0.6588,0.2503
595,0.0297,0.1253,0.2477
596,0.1706,-0.3335,0.3169
597,0.3077,-0.2134,0.6375
598,1.4026,0.926,0.814
599,-1.267,-0.6533,0.0507
600,0.4393,-0.4661,-0.7647
601,-0.839,-0.589,-0.2537
602,0.6961,0.3951,1.5705
603,1.3663,0.4472,0.0552
604,0.0339,1.5517,1.4325
605,-1.5424,-0.4364,-0.5696
606,0.268,-0.6451,-2.0131
607,0.0859,-0.664,-1.5386
608,-0.5261,0.0682,-2.6952
609,1.6448,0.1141,2.4057
610,1.0335,0.9598,1.6294
611,-0.1721,0.1991,0.8747
612,1.1259,-1.7636,0.6914
613,-0.3691,0.398,0.3831
614,0.0149,0.1965,-0.6
615,-0.7879,-1.738,-1.574
616,0.7532,-1.1693,-0.3198
617,1.5158,-0.017,-0.816
618,-1.1358,0.5834,0.2136
619,2.3353,1.2853,0.8758
620,-1.4248,-0.5878,-0.9545
621,0.7279,0.4241,0.4806
622,-2.5399,0.1283,-1.2928
623,-0.2033,-0.4693,1.2874
624,0.9472,0.4626,-0.0527
625,1.2309,0.4349,-1.5087
626,-0.2533,-1.4343,-1.1908
627,0.5681,-1.1098,-0.6983
628,0.3337,-1.0821,1.1089
629,-1.6152,-0.1468,0.4655
630,-0.0273,0.8706,-0.2424
631,1.6712,0.251,2.1458
632,-0.4586,-0.1347,1.1746
633,0.3216,1.1491,-0.4533
634,-0.0946,1.7888,0.7294
635,-0.0787,-1.0018,0.0876
636,-0.7829,-0.7676,-1.1757
637,-2.0947,-2.1676,0.5545
638,-0.7603,-0.0839,0.0907
639,1.4392,1.2258,0.7721
640,-0.2952,-0.0401,-0.704
641,0.1197,0.7332,-0.4581
642,0.3655,0.431,0.0693
643,-0.8839,-1.5287,-1.7116
644,-1.1946,-0.4096,0.081
645,-0.2109,-0.4744,0.5705
646,0.9338,-1.1962,-0.9583
647,0.8557,0.991,0.0871
648,0.7681,-0.2007,0.1006
649,-0.6015,-1.9683,-0.7249
650,-0.0774,0.079,-0.8441
651,-0.9093,-0.1623,1.3283
652,0.6848,0.2234,0.4393
653,0.6274,0.1847,0.6975
654,0.7678,-0.0755,1.6293
655,-0.6642,-0.245,-0.0546
656,-1.1702,0.3543,1.6577
657,0.4358,-1.0073,-0.1752
658,0.8752,-0.8983,-1.454
659,-1.6853,-0.8225,-2.3946
660,0.6083,1.1494,0.1033
661,0.7207,-0.0036,-1.0104
662,-0.1816,-1.4731,-0.1954
663,-1.116,-0.7679,-0.423
664,-1.6503,-0.8097,-1.5299
665,0.4773,0.3972,0.0585
666,-1.0112,-0.5244,-1.0322
667,0.1746,0.2027,-1.2271
668,0.8494,0.8357,-0.1527
669,1.6003,1.3832,0.4151
670,-0.8082,0.2986,0.8215
671,0.8455,1.1444,-0.8223
672,-1.4753,-1.4013,-0.8128
673,-1.5225,-1.892,-1.7709
674,-1.9464,-2.4322,-0.3697
675,-0.4083,1.1213,0.038
676,0.0246,-2.1081,-1.9678
677,0.2302,0.2281,-2.0354
678,0.6983,0.716,0.191
679,0.3224,0.6395,0.0406
680,1.0707,-0.3969,-0.2242
681,0.5866,0.0521,0.5098
682,0.9109,-0.0868,1.3403
683,0.3036,-1.1853,-0.263
684,-0.743,-0.5118,-0.7206
685,-0.2425,0.768,-1.2929
686,-1.4084,-0.3915,0.058
687,0.9608,2.081,2.2716
688,1.5136,0.3473,0.7507
689,0.7591,0.4848,0.0743
690,-1.3119,-1.5681,0.4599
691,0.7826,2.9736,2.9651
692,-1.2338,-0.8142,-0.7594
693,-0.0272,1.6436,0.0217
694,-0.5332,0.1242,-1.1608
695,0.026,0.4859,1.7581
696,1.3786,1.0047,0.7547
697,-0.2571,-0.4763,-0.9349
698,0.7915,-0.2498,-0.6948
699,0.3795,1.1634,0.8213
700,0.041,0.4705,-0.5139
701,-0.3941,0.0593,0.2609
702,-0.425,-0.6798,-0.5207
703,1.7705,2.1852,2.2877
704,0.2449,-1.1831,0.2334
705,-1.6124,-1.4808,-0.5553
706,0.962,1.4852,0.5501
707,1.3325,0.1263,-0.8831
708,0.731,-1.2756,-0.4965
709,0.3971,-0.1068,0.2327
710,-0.108,-0.4114,-1.4247
711,-0.7183,0.4005,0.9109
712,0.566,-0.1425,0.2954
713,0.7776,-0.2155,-0.2921
714,0.4273,0.0586,-1.1496
715,-1.1359,-1.0199,-1.1335
716,-0.6014,-0.4192,-0.0644
717,0.1695,-0.1033,0.871
718,0.3904,0.8075,0.3007
719,0.1881,1.7765,0.2224
720,0.8938,0.2702,0.2629
721,0.9676,-1.1732,-0.4646
722,-1.9482,-1.8502,-0.4736
723,-1.0541,-0.1705,-0.1028
724,0.4619,1.4333,-0.1098
725,-1.0273,-0.8023,-1.9339
726,0.8558,0.356,1.967
727,-1.4035,-1.8529,-0.1345
728,-1.0732,-2.4149,-0.0057
729,-0.1097,0.802,0.8048
730,0.798,0.7252,-1.3881
731,-1.7184,-0.439,-0.1136
732,0.4076,-0.8268,-0.0036
733,-0.1879,0.1958,0.1103
734,1.058,0.0082,-0.3149
735,-0.1771,1.1566,0.5038
736,-0.8744,0.0994,-1.072
737,0.8295,0.2517,1.8828
738,-0.1961,0.6376,-0.5112
739,1.2785,0.2996,0.4228
740,-0.3276,0.3442,0.334
741,-1.3184,-1.715,-0.7845
742,0.3019,1.6566,0.4594
743,-0.8768,-1.8196,-0.164
744,1.3728,-1.0529,-1.0405
745,-1.118,-0.2781,-0.6997
746,0.3585,-0.6252,-0.1418
747,0.4375,1.1711,-0.003
748,-3.0198,-1.0766,-1.7365
749,1.8053,1.0634,0.4936
750,-1.7786,-1.0686,-0.771
751,0.4197,1.6714,1.3494
752,-1.0194,0.5048,-0.9975
753,0.1565,0.4842,-0.0355
754,-0.3502,-0.0487,0.4203
755,0.7442,1.0316,0.0863
756,-0.6225,-0.0064,-1.1503
757,-0.0127,-0.9269,-0.2551
758,0.8944,1.3555,1.3803
759,0.0745,-0.8145,0.0383
760,-0.5756,-0.6274,0.2568
761,-0.8481,0.4357,0.5096
762,1.3073,-1.2834,-1.0143
763,-2.5115,0.519,-1.474
764,-1.1228,0.7323,-0.665
765,-0.9683,0.1522,-0.254
766,0.2173,-0.8586,-0.296
