"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","attention_check","response_time_sec","criterion","known_group"
"E025",4,4,4,3,3,5,4,4,2,5,2,5,3,4,5,3,137.2,0.344,"High"
"E026",3,3,2,4,1,1,1,1,2,1,2,5,5,5,3,3,154.7,0.97,"Low"
"E027",5,5,5,5,5,4,5,5,5,5,4,NA,5,5,5,3,215.8,-1.285,"High"
"E028",3,5,2,2,4,4,1,1,2,3,3,1,2,5,3,3,180.9,-0.131,"High"
"E029",4,2,2,1,2,2,3,2,3,3,2,3,3,1,1,3,250.2,-0.501,"Low"
"E030",5,3,4,3,4,5,2,5,3,1,5,1,1,1,2,3,175.9,0.222,"Low"
"E031",1,4,2,4,4,4,5,3,4,5,5,1,3,2,5,3,299.5,1.133,"Low"
"E032",2,1,5,1,3,2,1,3,2,4,1,1,4,3,1,3,142.6,0.005,"Low"
"E033",2,5,5,2,1,3,2,4,2,4,3,1,2,5,3,3,165.6,1.05,"High"
"E034",1,5,5,4,2,4,5,4,1,4,4,1,2,4,5,3,344.3,-0.57,"High"
"E035",3,1,2,3,2,5,2,1,1,2,2,3,1,3,1,3,205.4,-0.745,"Low"
"E036",4,4,2,5,3,4,1,1,4,4,5,5,5,4,2,3,130.7,-0.569,"High"
"E037",5,3,3,5,5,4,3,5,5,5,2,5,3,3,3,3,274.4,-1.154,"High"
"E038",4,4,1,2,2,1,3,NA,1,1,5,3,1,3,1,3,172.4,0.877,"Low"
"E039",2,1,2,1,2,3,2,4,1,2,2,4,5,1,2,3,320.5,-0.454,"Low"
"E040",5,4,4,2,5,4,5,5,3,1,1,3,3,4,2,3,192.1,-1.629,"High"
"E041",2,1,1,1,3,1,1,1,3,1,3,1,3,3,2,3,164.4,-0.029,"High"
"E042",3,1,1,3,3,3,4,3,3,1,3,3,NA,4,4,3,142.6,1.619,"High"
"E043",4,4,4,4,4,1,3,2,2,4,4,1,3,5,1,3,118.4,0.851,"High"
"E044",3,1,1,3,1,4,2,1,2,1,3,5,1,3,2,3,241.5,-1.732,"Low"
"E045",3,1,2,1,2,5,1,5,2,5,5,3,4,4,4,3,185.9,0.052,"High"
"E046",NA,2,4,5,3,3,5,2,1,5,5,1,1,5,2,3,140.4,0.235,"High"
"E047",2,2,5,2,2,1,3,3,2,1,3,1,2,3,3,3,231,0.613,"Low"
"E048",2,2,3,1,2,1,3,5,1,1,1,3,2,1,2,3,132.2,0.79,"High"
"E049",2,5,2,1,4,3,2,5,1,3,2,2,1,1,1,3,206.8,-0.428,"Low"
"E050",1,3,1,2,2,4,3,2,4,2,2,3,2,3,1,3,236.3,-0.412,"High"
"E051",1,1,1,2,1,1,1,1,2,3,1,1,3,1,1,3,174.1,1.161,"Low"
"E052",2,5,2,3,2,3,3,5,5,3,4,1,2,2,5,3,330.6,-0.091,"High"
"E053",3,5,5,2,2,4,4,4,3,3,4,5,2,5,4,3,16.7,-0.053,"Low"
"E054",1,1,1,1,1,1,1,5,1,2,3,2,1,5,1,3,192.8,1.84,"Low"
"E055",2,1,2,2,3,3,1,5,4,2,2,3,3,5,2,1,453.9,1.916,"Low"
"E056",NA,2,4,1,1,1,1,4,3,1,2,1,2,2,2,1,221.2,0.435,"Low"
"E057",4,2,3,5,5,4,5,4,4,2,5,3,4,5,1,3,282.2,-0.312,"High"
"E058",3,5,2,2,4,4,4,4,1,3,3,3,4,2,2,3,150.6,-0.212,"Low"
"E059",1,2,4,1,1,1,1,1,4,4,4,4,1,3,1,3,107.7,0.997,"Low"
"E060",1,3,1,3,3,1,2,2,5,1,4,4,1,2,2,3,174.9,1.595,"Low"
"E061",NA,1,4,4,2,5,4,3,1,2,2,3,1,1,2,3,223.8,-0.251,"Low"
"E062",1,2,2,3,4,4,4,2,2,2,1,5,3,4,1,3,155.6,0.353,"High"
"E063",3,5,4,4,2,5,4,3,2,1,1,2,5,5,5,3,198.5,-0.427,"Low"
"E064",1,3,2,1,4,4,4,1,5,3,2,2,1,4,3,3,108.1,0.495,"Low"
"E065",5,4,5,5,5,2,4,1,NA,2,5,2,NA,3,3,2,87.7,0.612,"High"
"E066",2,3,2,4,4,1,3,2,3,2,2,3,2,2,1,3,168.9,0.179,"Low"
"E067",2,3,4,3,3,3,3,3,4,2,5,5,1,2,5,3,206.5,0.671,"High"
"E068",2,4,4,5,5,1,4,3,5,3,3,5,1,4,5,3,183.1,-1.123,"High"
"E069",1,5,1,5,4,1,5,5,5,3,2,4,5,3,5,3,333,0.479,"High"
"E070",3,5,2,2,2,1,1,5,2,4,2,5,3,3,4,3,339.3,1.586,"Low"
"E071",4,2,5,NA,2,4,1,4,3,5,4,1,4,1,5,3,233.3,-0.809,"High"
"E072",2,1,2,1,1,5,4,2,4,2,1,2,4,3,1,3,286.4,-1.445,"High"
"E073",5,5,NA,5,5,5,5,5,5,5,5,4,5,5,4,3,292.1,1.497,"Low"
"E074",2,1,2,3,NA,4,3,3,4,4,3,1,1,5,2,3,267.6,1.199,"Low"
"E075",3,1,1,2,4,1,4,1,4,5,5,4,4,2,2,3,135,-1.21,"Low"
"E076",5,1,1,1,4,1,3,1,2,1,1,1,3,1,5,3,324.4,0.815,"Low"
"E077",1,1,1,2,5,1,1,3,1,2,2,4,1,1,1,3,284.6,-0.957,"Low"
"E078",1,2,3,3,2,3,4,1,1,3,4,1,3,1,4,3,426.8,0.596,"Low"
"E079",5,4,2,1,2,1,2,5,1,3,3,2,3,2,2,3,187.1,1.11,"Low"
"E080",2,2,5,4,2,4,3,5,4,4,4,2,2,5,4,3,128,-0.324,"High"
"E081",5,4,2,3,1,2,5,2,1,2,4,4,1,1,3,3,144.2,1.367,"High"
"E082",2,1,3,4,5,2,3,2,2,2,3,3,1,4,4,3,144.2,0.921,"Low"
"E083",5,4,3,2,1,3,5,5,2,5,3,3,4,4,2,3,197.9,-0.895,"High"
"E084",4,5,2,1,2,2,1,4,5,5,3,1,3,4,4,3,206.2,0.397,"Low"
"E085",5,4,5,4,3,5,4,5,3,2,4,NA,4,1,5,3,490.5,-0.422,"High"
"E086",3,3,4,3,5,5,5,4,3,2,3,5,3,5,2,3,126.3,0.333,"High"
"E087",3,5,4,5,5,3,2,4,4,5,5,4,5,2,5,3,405.3,-1.706,"High"
"E088",4,2,4,5,2,1,5,1,4,2,3,4,NA,2,3,3,162.6,-0.392,"Low"
"E089",2,1,5,5,3,5,5,1,5,3,5,5,1,4,3,3,25.8,0.016,"High"
"E090",4,4,5,4,3,4,NA,4,1,4,4,1,1,4,4,3,193.6,0.96,"Low"
"E091",1,3,2,3,3,4,1,3,3,3,3,1,1,1,1,3,67.7,1.929,"Low"
"E092",4,3,5,1,2,3,5,5,3,3,1,1,2,2,4,3,293.8,0.426,"High"
"E093",2,NA,1,3,3,1,2,2,4,1,2,2,2,3,2,3,213.8,-0.047,"High"
"E094",3,4,3,1,5,1,2,2,3,1,1,1,2,5,1,3,184.4,-0.203,"Low"
"E095",1,2,3,4,4,4,4,2,3,4,4,4,1,4,NA,3,242.2,0.824,"High"
"E096",2,5,5,1,3,4,2,3,5,3,1,5,4,2,4,3,232,-0.244,"High"
"E097",5,4,4,5,4,3,5,1,2,5,3,2,4,NA,3,3,236.9,0.268,"High"
"E098",5,2,2,2,1,2,3,1,1,5,2,2,2,1,2,3,98.9,-0.82,"Low"
"E099",1,3,3,4,2,4,4,2,2,1,1,3,5,5,3,3,99.6,0.55,"Low"
"E100",3,5,2,3,2,3,3,1,5,3,1,4,4,4,1,3,180.8,-0.589,"Low"
"E101",3,2,5,3,1,4,5,1,1,3,NA,3,4,5,2,3,258.5,0.161,"Low"
"E102",4,5,3,3,4,3,4,1,2,5,3,1,2,5,4,3,158.4,-0.188,"Low"
"E103",1,3,1,5,5,1,2,1,3,4,4,3,3,5,1,3,241.2,-0.582,"Low"
"E104",3,1,2,1,3,4,1,4,1,1,5,1,1,4,3,3,21.8,-1.074,"Low"
"E105",2,5,4,3,3,4,3,4,4,5,2,5,3,3,1,3,293.5,-0.981,"High"
"E106",3,5,3,3,5,NA,4,5,2,2,NA,4,5,2,4,3,165.2,0.793,"Low"
"E107",4,2,2,5,3,3,1,5,3,2,4,1,5,5,1,3,250.2,0.385,"High"
"E108",4,5,5,5,5,5,5,5,5,2,5,5,2,5,4,3,146.7,-0.924,"High"
"E109",3,2,5,5,5,3,3,4,4,3,5,2,2,5,1,3,246.6,-0.388,"High"
"E110",5,NA,NA,2,2,4,1,4,3,2,5,1,3,5,5,3,201.6,0.087,"High"
"E111",1,3,1,2,1,1,5,1,1,1,1,1,4,3,2,3,140.4,1.454,"Low"
"E112",3,4,3,5,5,4,5,5,4,5,5,5,3,3,2,3,249.6,-0.042,"High"
"E113",3,2,1,3,3,2,3,4,2,4,3,3,5,2,5,3,82.6,0.354,"High"
"E114",4,3,3,4,2,5,4,5,4,5,2,2,4,2,2,3,393.2,0.087,"Low"
"E115",4,3,2,3,2,5,3,5,3,4,3,5,2,5,5,3,337,-0.217,"High"
"E116",1,1,3,1,4,2,2,2,2,4,5,1,1,4,2,3,255.4,-0.07,"Low"
"E117",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,148.1,0.515,"Low"
"E118",3,1,1,3,4,5,3,2,2,5,3,3,5,5,5,3,178.5,-2.242,"Low"
"E119",1,2,4,1,4,5,4,4,4,4,3,4,2,2,2,3,196.8,0.207,"Low"
"E120",2,5,5,5,4,4,3,5,2,1,4,3,5,5,1,3,292.3,-1.11,"High"
"E121",2,1,2,1,2,1,5,2,4,1,3,1,4,5,1,3,27.3,0.771,"Low"
"E122",1,1,NA,1,2,1,4,1,1,2,4,4,5,1,1,1,263.5,2.333,"Low"
"E123",3,1,5,3,2,1,5,3,5,5,4,5,1,3,3,3,199.6,-0.233,"High"
"E124",5,5,3,3,2,4,3,4,4,4,4,3,3,2,3,3,312.9,-0.583,"High"
"E125",5,1,5,1,2,5,2,5,3,3,2,5,2,5,2,3,27.9,-0.122,"High"
"E126",5,5,3,5,4,5,3,1,4,1,4,4,5,3,4,4,253.1,0.068,"High"
"E127",3,1,2,1,2,2,3,4,3,2,1,1,2,NA,4,3,203.4,-0.096,"Low"
"E128",2,2,1,4,NA,3,5,1,3,3,1,2,4,4,5,3,119.6,0.89,"Low"
"E129",2,3,4,5,1,4,5,3,3,2,1,4,NA,1,5,3,175.7,0.291,"High"
"E130",3,1,1,4,1,4,4,5,2,4,5,5,5,2,5,3,152,0.269,"High"
"E131",1,3,5,4,5,3,3,2,NA,NA,3,2,2,4,2,3,332.9,1.232,"High"
"E132",3,NA,2,3,5,5,5,4,5,1,2,4,1,2,1,3,218.6,-0.398,"High"
"E133",4,5,5,5,5,4,3,5,5,3,5,4,3,5,5,3,129,-1.243,"High"
"E134",5,4,1,4,3,1,4,4,5,2,3,4,3,3,4,3,198.2,0.259,"High"
"E135",5,3,4,1,3,3,5,5,5,3,2,5,5,5,3,3,80.4,-1.478,"High"
"E136",5,4,4,3,4,2,4,5,1,4,5,2,4,1,3,3,371.4,-0.335,"High"
"E137",4,1,5,1,4,1,3,3,4,2,NA,5,4,3,4,3,168.8,-1.389,"High"
"E138",5,3,5,3,1,4,1,5,4,5,5,4,4,4,4,3,217.7,0.954,"High"
"E139",4,5,4,4,3,4,4,2,5,5,1,3,4,2,5,3,194.7,-1.432,"High"
"E140",4,2,2,1,5,4,5,4,4,2,3,2,5,4,4,3,99.3,-0.383,"Low"
"E141",5,2,4,4,5,1,2,2,3,4,3,3,4,5,2,3,317.4,-1.788,"Low"
"E142",1,1,1,3,NA,1,2,5,3,4,3,1,5,1,5,3,217.4,0.876,"Low"
"E143",4,4,3,3,4,2,2,4,4,5,4,5,5,2,NA,3,225.2,-1.375,"High"
"E144",5,5,3,5,5,2,4,2,2,5,5,4,2,5,3,3,196,0.613,"High"
"E145",5,4,5,3,1,2,4,2,2,1,5,3,5,4,2,3,300.3,-1.067,"Low"
"E146",1,3,1,2,2,2,2,5,1,1,5,5,NA,5,3,3,199.6,1.593,"High"
"E147",5,5,2,1,5,3,1,5,2,3,5,4,5,4,4,3,139.4,1.291,"Low"
"E148",4,2,2,4,4,3,1,1,4,4,3,1,3,4,5,3,298.6,-1.627,"Low"
"E149",5,5,3,3,5,3,3,5,2,5,5,3,4,3,4,3,122.2,-0.426,"High"
"E150",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,276.2,0.623,"Low"
"E151",1,4,2,3,2,4,3,1,3,5,1,3,3,1,1,3,129.3,0.802,"High"
"E152",4,3,5,NA,4,2,1,4,3,2,3,5,3,3,5,3,307.2,-1.618,"High"
"E153",4,2,1,2,4,4,5,3,NA,1,5,1,3,5,3,3,223,-0.964,"Low"
"E154",2,5,5,2,2,3,1,5,5,4,2,4,5,3,3,3,173,1.064,"High"
"E155",5,3,2,5,1,4,3,3,1,3,5,2,4,4,NA,3,117.8,0.77,"Low"
"E156",3,2,5,2,5,1,1,2,4,5,5,1,4,2,3,3,276.6,1.098,"High"
"E157",5,5,4,4,5,5,4,1,2,NA,3,2,2,1,3,3,219.1,-0.551,"High"
"E158",3,1,3,3,1,2,5,1,2,4,5,3,5,1,4,3,137.1,-0.246,"High"
"E159",2,5,5,3,3,4,4,2,5,5,NA,5,1,3,5,3,183.5,-0.698,"High"
"E160",2,4,2,2,4,3,1,3,1,5,2,2,3,4,1,3,252.1,0.26,"Low"
"E161",4,1,3,5,5,4,1,2,5,4,5,4,4,3,4,3,175.3,0.68,"High"
"E162",3,2,1,2,5,1,2,2,2,3,2,4,2,3,3,3,133,0.373,"Low"
"E163",2,2,4,2,2,5,4,3,4,1,1,3,2,3,1,3,217,-0.937,"Low"
"E164",5,5,2,1,4,1,3,4,3,4,1,4,3,5,2,3,203.9,0.789,"Low"
"E165",5,2,3,4,2,2,4,4,5,3,4,2,3,2,4,3,134.6,-0.219,"Low"
"E166",2,5,3,5,2,2,1,2,4,2,2,3,5,3,3,3,188.6,0.885,"High"
"E167",2,2,2,3,5,2,2,3,4,2,NA,NA,2,2,4,3,202.5,0.379,"Low"
"E168",2,2,3,5,4,2,2,2,2,3,4,2,3,3,5,3,206.8,-0.761,"Low"
"E169",2,4,2,4,5,3,1,3,2,1,4,3,4,1,4,2,299.8,1.162,"Low"
"E170",2,3,1,1,2,2,1,3,5,2,1,4,2,1,4,3,133.5,1.435,"Low"
"E171",3,5,4,5,2,4,4,4,1,3,3,5,5,3,4,3,168.6,0.344,"High"
"E172",3,4,1,1,4,1,3,2,1,3,1,5,2,5,1,3,348.7,1.104,"Low"
"E173",2,4,4,2,1,3,3,3,4,4,3,4,4,5,1,3,134.3,-1.35,"High"
"E174",2,4,4,5,3,5,5,5,4,3,4,3,4,3,1,3,21.1,1.847,"High"
"E175",2,2,1,3,4,NA,5,4,4,1,2,5,4,1,3,3,276.8,1.804,"Low"
"E176",2,3,1,2,3,2,4,3,4,2,1,3,2,3,2,3,229.9,2.211,"Low"
"E177",4,3,5,4,2,2,5,4,2,2,1,1,1,2,2,3,175.1,0.403,"Low"
"E178",2,2,1,1,4,1,3,1,2,NA,1,4,3,3,1,3,120.7,0.727,"Low"
"E179",3,3,2,1,1,2,1,3,4,5,2,5,2,2,4,3,34.2,-0.649,"Low"
"E180",1,2,3,2,2,NA,1,5,5,5,3,1,4,2,1,3,130.6,0.864,"High"
"E181",5,5,1,2,5,1,2,5,1,3,5,3,3,2,5,3,163.5,-1.531,"High"
"E182",3,2,4,2,5,2,4,1,4,4,2,5,4,3,2,3,169.4,0.562,"High"
"E183",1,3,4,2,1,1,2,3,1,3,1,1,5,4,3,3,296.4,0.365,"Low"
"E184",3,2,1,5,2,5,4,4,3,4,4,2,4,3,5,4,282,-1.017,"High"
"E185",5,2,4,5,5,5,5,5,2,2,5,3,3,3,4,3,100.3,-2.059,"High"
"E186",3,2,5,2,1,4,2,4,2,1,3,2,5,5,4,3,270.8,1.68,"Low"
"E187",4,5,1,4,4,3,4,1,2,2,4,1,5,3,2,3,189.4,-0.531,"Low"
"E188",2,2,4,3,2,1,1,2,2,1,2,4,2,4,1,3,87.3,1.057,"High"
"E189",2,3,2,3,1,1,2,1,1,1,2,4,3,5,4,3,246.6,1.169,"Low"
"E190",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,194.1,-0.892,"Low"
"E191",1,2,1,1,2,5,2,2,4,1,4,4,NA,5,3,3,203.5,0.22,"Low"
"E192",5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,3,174.9,-1.834,"Low"
"E193",3,1,2,2,4,NA,3,2,5,2,2,3,2,3,3,3,126.6,0.169,"High"
"E194",4,4,3,2,3,2,2,1,3,3,3,5,3,1,4,3,166.5,1.105,"Low"
"E195",2,1,2,1,2,5,5,5,5,2,2,3,1,3,1,3,200.5,-0.265,"High"
"E196",4,5,3,5,4,5,4,NA,5,2,4,3,1,4,3,3,219.2,-0.203,"High"
"E197",1,2,1,NA,4,1,3,4,3,3,NA,2,5,4,4,3,398.3,0.492,"High"
"E198",2,2,4,4,1,4,2,3,5,4,5,3,3,1,2,2,125.6,0.1,"High"
"E199",1,3,NA,1,4,3,1,5,3,1,1,2,4,2,3,3,360.5,0.116,"Low"
"E200",2,3,NA,3,5,2,5,4,5,1,2,5,3,4,4,3,372.6,-0.012,"High"
"E201",2,4,5,4,5,5,5,2,5,2,5,2,5,3,5,3,173.2,-1.199,"High"
"E202",1,2,1,4,1,2,5,5,3,1,4,1,3,1,2,3,222.5,1.591,"Low"
"E203",3,4,5,5,4,5,3,1,5,1,4,5,4,4,2,3,160.2,-0.424,"Low"
"E204",4,2,2,2,5,4,1,1,3,2,1,4,2,2,1,3,227.8,0.689,"Low"
"E205",5,3,2,3,2,2,3,1,4,5,5,2,1,4,4,3,133.3,0.451,"Low"
"E206",1,2,2,3,2,2,4,2,5,3,2,1,2,4,5,3,244.1,-0.507,"High"
"E207",5,NA,5,1,1,4,4,3,1,4,2,3,5,1,3,3,127.9,-0.274,"Low"
"E208",4,4,4,5,3,4,5,4,5,4,4,1,3,1,1,3,218.3,-0.1,"Low"
"E209",3,4,3,NA,5,4,3,1,1,1,2,NA,4,2,2,3,174.6,-1.239,"Low"
"E210",1,2,2,4,4,3,1,5,5,2,4,4,2,1,3,3,184.7,-0.276,"Low"
"E211",2,3,5,1,3,1,2,4,5,3,3,4,1,2,3,3,370.1,-0.021,"High"
"E212",2,5,4,5,4,4,4,2,4,1,4,4,4,2,4,3,219.8,-0.587,"Low"
"E213",4,1,1,NA,4,3,1,3,3,1,1,1,4,1,1,3,97.8,-0.286,"Low"
"E214",3,4,5,4,4,1,5,3,5,3,1,3,3,1,3,3,143.9,-1.4,"High"
"E215",5,5,5,2,5,2,3,3,4,4,2,4,4,3,3,3,290.4,-1.184,"High"
"E216",1,2,1,2,1,2,1,2,2,1,5,1,1,1,2,3,177.7,1.747,"Low"
"E217",5,3,4,3,1,4,4,5,3,1,3,2,5,2,5,3,16.1,-1.675,"High"
"E218",3,5,4,2,2,4,4,5,4,2,3,2,2,1,1,3,124.9,1.416,"Low"
"E219",1,2,4,4,2,4,4,5,1,4,5,2,4,2,4,3,268,-1.214,"Low"
"E220",5,3,5,4,2,3,3,5,3,1,3,3,3,5,4,3,216.9,-1.063,"High"
"E221",4,5,5,4,4,5,2,5,2,3,5,3,5,4,4,3,255.6,0.481,"High"
"E222",5,3,4,5,3,1,4,4,2,3,5,1,4,1,4,3,208.8,-2.511,"High"
"E223",3,5,5,4,4,5,5,2,2,5,5,3,1,2,5,3,198,-1.356,"High"
"E224",2,5,5,3,1,NA,2,3,3,5,4,5,2,1,5,3,149.4,-0.267,"High"
"E225",1,1,4,4,4,5,3,1,3,5,1,3,5,4,2,3,133,1.58,"Low"
"E226",2,1,2,1,4,4,2,4,2,3,NA,1,4,4,1,3,115.6,0.816,"Low"
"E227",4,2,3,3,3,5,2,3,1,3,1,5,2,5,2,3,248.8,0.573,"Low"
"E228",5,4,1,5,3,5,5,4,3,4,3,5,1,1,3,3,123.3,-0.065,"High"
"E229",5,4,1,4,3,5,3,5,2,4,1,1,3,4,4,3,260.3,-1.723,"High"
"E230",1,3,NA,2,5,2,1,1,5,1,2,1,5,2,1,3,258.8,0.945,"Low"
"E231",1,2,1,4,1,3,1,1,4,3,2,4,5,5,3,3,153.6,-0.066,"Low"
"E232",4,2,NA,3,3,2,2,4,4,4,4,1,1,4,3,3,229.2,0.895,"Low"
"E233",1,2,3,5,3,5,1,4,1,2,2,3,3,1,1,3,185.6,1.287,"Low"
"E234",5,1,4,5,5,4,5,4,5,5,4,5,3,2,4,3,133,-0.47,"High"
"E235",2,2,3,1,1,4,1,3,2,5,2,4,5,2,5,3,99,2.603,"Low"
"E236",2,3,3,3,5,2,5,1,4,5,5,1,5,1,4,3,136.6,-1.412,"High"
"E237",4,5,4,4,5,5,2,3,5,4,3,5,4,2,4,3,198.3,-0.486,"High"
"E238",2,2,1,1,2,1,1,3,3,1,4,1,5,1,4,3,161.5,0.354,"Low"
"E239",2,2,5,2,2,2,5,1,4,5,4,1,3,2,3,3,193,-0.397,"High"
"E240",3,2,3,NA,5,3,2,3,1,5,5,1,5,5,4,3,101.5,-1.115,"Low"
"E241",3,2,2,1,3,4,NA,1,NA,2,3,5,4,1,2,3,185.8,0.73,"Low"
"E242",3,4,2,5,4,4,5,4,2,5,2,1,2,3,2,3,143.5,-0.342,"High"
"E243",5,4,3,1,5,4,4,2,5,1,4,2,5,4,2,3,274.5,-0.639,"Low"
"E244",4,5,5,4,4,2,5,3,1,5,3,4,1,2,2,3,111,-0.396,"Low"
"E245",2,1,2,3,3,2,4,3,2,5,4,1,1,1,1,3,122.3,0.615,"Low"
"E246",3,1,4,1,5,2,2,1,2,2,4,1,2,2,1,3,275.4,-0.754,"Low"
"E247",2,3,5,1,3,3,1,2,4,1,4,1,2,5,1,3,226.3,2.122,"Low"
"E248",5,2,2,4,4,5,4,4,5,5,3,2,4,2,1,3,248.7,-0.48,"Low"
"E249",2,2,5,5,5,5,3,2,1,3,2,5,4,3,5,3,171.4,-0.278,"High"
"E250",4,2,4,3,3,2,4,2,2,3,2,5,3,4,3,3,158.8,-1.073,"Low"
"E251",5,4,1,1,5,2,4,1,3,2,4,2,1,1,3,3,225.4,0.399,"Low"
"E252",4,2,2,2,1,3,5,1,3,2,2,5,4,4,2,3,152.5,-0.176,"Low"
"E253",1,2,1,5,2,3,3,2,5,4,1,4,1,5,3,3,157.7,-0.203,"Low"
"E254",1,2,2,1,3,5,2,5,3,5,NA,2,5,1,4,3,173.5,1.323,"Low"
"E255",3,5,1,1,5,1,1,2,1,4,5,5,2,3,1,3,190.5,-0.643,"Low"
"E256",4,3,3,4,4,3,3,3,1,3,2,5,2,5,5,3,187.6,-0.948,"Low"
"E257",5,3,3,5,4,4,5,2,4,5,5,1,4,2,2,3,207.5,-1.11,"High"
"E258",3,5,3,2,5,2,2,3,5,5,3,3,3,4,4,3,158.3,1.451,"High"
"E259",1,4,1,1,4,3,4,1,2,1,2,2,1,2,2,3,170.3,1.729,"Low"
"E260",5,5,2,3,2,4,1,2,1,2,4,1,2,1,1,3,149.6,0.221,"High"
"E261",5,5,NA,1,5,4,1,3,4,4,5,5,2,5,1,3,335.9,-0.524,"High"
"E262",2,4,5,1,1,2,1,4,3,4,3,1,4,1,3,3,294.5,0.821,"Low"
"E263",3,3,1,2,4,2,3,3,4,4,2,2,3,2,1,3,118.4,0.697,"High"
"E264",3,2,3,1,1,2,4,5,2,3,5,2,1,3,1,3,16.8,-0.256,"Low"
"E265",3,5,3,1,2,2,1,4,2,1,3,3,2,2,3,3,154.7,2.014,"High"
"E266",5,5,2,1,4,5,5,4,2,5,5,5,5,3,4,3,261.4,0.774,"High"
"E267",4,3,4,3,2,4,1,5,1,5,3,1,1,4,4,3,165.2,1.381,"Low"
"E268",2,4,5,4,2,1,5,1,1,1,2,2,4,2,1,3,98.7,0.126,"Low"
"E269",4,NA,3,3,NA,2,2,4,5,4,4,3,1,5,5,3,180,-0.616,"High"
"E270",5,1,NA,3,5,2,3,5,2,3,5,3,5,2,1,3,240.9,-0.452,"High"
"E271",3,3,NA,3,3,3,3,3,3,3,3,3,3,3,3,3,204.6,-0.266,"Low"
"E272",4,1,5,1,3,1,2,1,1,2,3,1,2,1,2,3,173.4,0.515,"Low"
"E273",1,3,4,3,5,2,4,2,5,2,3,4,3,5,5,3,190.7,-1.436,"Low"
"E274",5,4,5,3,1,5,1,4,4,3,5,2,NA,NA,1,3,67.5,-1.244,"High"
"E275",5,NA,2,5,2,3,5,5,1,1,1,5,2,2,4,3,101.6,-1.409,"Low"
"E276",4,5,5,2,4,5,1,5,1,3,2,2,1,3,5,3,160.5,0.211,"High"
"E277",3,4,2,2,4,2,2,3,2,2,4,5,2,1,2,3,198.6,-0.681,"High"
"E278",4,2,2,4,2,1,3,5,4,4,2,4,5,5,2,1,202.5,-1.577,"Low"
"E279",5,4,3,4,5,2,5,2,4,3,5,5,4,5,5,3,239.6,-1.079,"High"
"E280",2,3,1,3,2,3,4,3,1,4,1,1,5,2,3,3,225.5,0.833,"High"
"E281",1,1,3,3,4,2,3,1,4,2,2,NA,5,4,5,3,142.2,-0.221,"Low"
