"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","attention_check","response_time_sec"
"S065",5,1,4,3,5,4,2,1,1,1,1,1,2,2,3,1,3,268.3
"S066",1,1,1,1,1,1,2,1,2,2,3,2,2,1,2,1,3,195.5
"S067",3,3,1,1,1,1,4,3,3,4,3,5,4,4,2,5,3,119
"S068",1,3,2,2,1,3,1,1,1,2,1,1,1,1,1,1,3,194.4
"S069",4,2,3,3,2,3,4,4,3,3,2,2,1,4,2,2,3,112
"S070",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,246.6
"S071",4,3,2,1,2,3,5,2,1,1,4,2,1,1,4,1,3,316.9
"S072",3,4,1,2,2,2,3,3,2,3,3,1,2,4,3,5,5,24.5
"S073",4,5,5,4,4,4,1,3,4,4,5,4,5,4,3,4,3,192.7
"S074",4,4,5,2,1,4,2,3,1,2,3,2,2,1,3,3,3,196.9
"S075",5,5,4,5,5,5,2,5,1,3,3,5,3,3,2,5,3,105.8
"S076",1,2,1,1,1,4,2,3,4,4,3,4,3,5,4,3,3,297.1
"S077",2,3,3,5,5,5,4,2,2,4,1,1,4,2,3,2,3,151.5
"S078",2,2,2,4,1,1,2,2,2,4,1,3,3,1,1,5,3,176.8
"S079",2,2,2,1,5,4,3,3,2,2,2,1,2,2,2,5,3,250.2
"S080",1,3,2,1,2,1,2,2,3,3,3,2,1,3,5,3,3,184.3
"S081",3,1,1,1,3,1,4,2,1,2,2,1,1,1,2,2,3,117.4
"S082",1,3,4,2,3,3,3,1,1,2,1,2,1,1,2,3,3,162
"S083",5,5,5,3,2,2,1,5,4,4,4,4,2,3,2,4,3,277.3
"S084",3,1,5,1,3,5,3,2,2,4,4,3,2,4,2,5,3,191.9
"S085",2,3,3,4,2,5,4,3,2,3,3,1,NA,2,NA,3,3,128.1
"S086",5,1,4,1,4,5,4,5,4,2,5,4,3,1,4,2,3,193.1
"S087",2,1,1,1,2,1,1,2,4,4,1,3,4,2,1,1,3,274.8
"S088",1,1,2,3,1,1,1,1,5,2,2,1,1,3,2,2,3,176.8
"S089",5,3,1,1,5,1,2,4,4,4,3,4,4,4,3,2,3,100.6
"S090",4,3,4,2,3,4,3,3,1,4,1,2,3,2,1,3,4,163.6
"S091",4,3,4,5,5,4,3,3,5,5,4,5,5,2,5,4,3,215.9
"S092",3,3,3,3,2,2,3,2,3,2,2,4,3,2,5,4,3,89.4
"S093",2,2,4,2,4,3,4,2,5,5,4,4,5,4,5,2,3,82.7
"S094",2,3,2,1,4,3,2,1,5,3,3,2,3,1,1,3,3,202.8
"S095",4,4,5,5,4,5,5,3,4,5,5,4,2,3,5,2,3,23.9
"S096",4,4,4,1,2,1,3,3,1,4,1,2,3,4,2,4,3,248.1
"S097",5,2,3,5,2,4,3,4,5,5,5,3,5,5,5,5,3,133.9
"S098",5,2,3,5,4,5,1,1,2,4,3,4,3,2,3,4,3,219.4
"S099",5,5,5,5,5,5,5,4,4,5,3,3,5,5,4,4,3,202.2
"S100",1,1,4,1,3,1,4,4,3,2,2,5,3,1,3,4,3,155.8
"S101",2,2,5,4,4,2,3,4,1,1,4,2,2,1,1,5,3,114.8
"S102",4,5,4,4,5,3,2,3,2,1,2,3,3,3,1,5,3,462.1
"S103",2,5,4,3,5,4,1,4,3,3,4,2,1,4,4,3,3,173.8
"S104",4,2,4,2,3,2,3,2,2,2,3,2,2,1,1,1,3,115.2
"S105",4,5,4,5,1,5,2,1,1,1,1,1,2,1,2,2,3,185
"S106",5,4,3,4,2,5,4,5,3,5,5,4,5,3,4,4,3,123.1
"S107",3,5,4,5,3,4,4,5,4,5,5,4,5,5,5,4,3,111.9
"S108",3,4,3,2,4,5,1,4,5,5,5,5,4,5,2,4,3,33.4
"S109",4,4,1,1,3,4,4,1,1,1,1,1,4,1,1,4,3,159.8
"S110",5,3,5,5,4,3,3,3,5,5,5,4,3,3,5,3,3,247.1
"S111",2,5,5,4,3,5,4,4,3,1,3,5,1,1,2,3,3,35.2
"S112",1,2,2,3,1,3,4,2,1,3,4,4,4,3,2,1,3,410.8
"S113",3,4,4,5,3,4,1,5,5,2,4,3,5,5,3,4,3,225.7
"S114",5,2,3,1,2,3,5,1,2,2,2,3,4,3,2,2,3,116.7
"S115",5,4,5,5,5,5,5,5,4,4,3,2,4,5,3,2,3,135.7
"S116",4,5,3,5,5,5,3,1,4,5,4,5,1,4,5,5,3,292
"S117",2,2,3,1,1,4,3,2,3,2,5,2,5,2,4,3,3,208.5
"S118",4,3,4,4,5,4,3,4,5,5,4,5,4,2,2,5,3,165.3
"S119",3,3,2,5,4,1,5,1,1,2,3,3,2,4,2,1,3,165.3
"S120",3,3,2,4,2,3,2,1,2,2,4,4,1,5,2,4,3,194
"S121",2,4,3,2,2,2,3,3,2,4,4,2,4,4,4,2,3,148.5
"S122",5,5,5,5,5,4,4,5,5,3,5,3,5,4,5,4,3,276.7
"S123",4,3,1,1,1,5,3,3,1,1,2,2,3,1,2,1,3,232.4
"S124",4,5,5,3,5,5,1,5,5,5,4,5,2,5,4,4,3,102.3
"S125",4,5,5,5,3,1,5,3,1,5,4,1,4,3,1,4,3,216.9
"S126",1,2,3,1,3,4,4,3,1,1,3,1,3,1,2,1,3,100.1
"S127",1,1,1,2,1,1,1,1,2,2,2,1,3,2,1,4,3,253.2
"S128",4,3,5,2,5,4,1,3,2,3,2,5,4,2,3,2,3,146.1
"S129",2,3,4,4,4,3,1,4,2,2,4,2,3,2,1,3,3,143.3
"S130",3,4,5,5,5,4,1,3,2,1,1,2,1,4,3,1,3,160.4
"S131",4,4,3,2,3,3,1,4,5,3,5,4,5,4,5,3,3,216.8
"S132",1,2,2,1,3,2,3,1,1,1,2,1,1,2,1,1,3,126.5
"S133",3,3,2,2,4,5,5,5,4,3,3,3,1,2,4,2,3,130.4
"S134",4,5,2,4,4,4,2,4,4,2,4,1,3,4,3,2,3,187.6
"S135",4,3,3,4,2,4,2,4,2,3,5,1,4,2,3,5,3,224.3
"S136",1,1,2,1,2,1,5,2,1,2,4,3,5,4,2,5,3,240.6
"S137",2,4,1,5,2,2,1,2,1,1,1,1,1,2,2,1,3,311.4
"S138",1,1,3,1,1,1,3,1,1,1,1,3,1,1,3,1,4,190.2
"S139",4,1,5,4,1,2,3,3,5,4,1,3,4,1,2,5,3,318.3
"S140",2,1,2,1,1,1,2,2,3,2,2,1,4,4,1,4,3,259.9
"S141",5,5,5,5,4,3,5,5,5,5,5,5,4,5,5,5,3,134.6
"S142",4,2,3,1,2,1,2,3,3,2,3,1,2,2,3,1,3,87.8
"S143",3,3,3,4,3,NA,NA,1,NA,2,1,3,NA,2,2,NA,3,113.5
"S144",2,4,2,2,4,2,1,1,2,4,3,4,5,4,1,1,3,186.6
"S145",4,4,3,1,5,1,1,3,5,1,2,4,2,5,5,5,3,225.9
"S146",3,4,4,4,5,2,3,3,3,3,2,4,5,5,4,1,3,155.7
"S147",5,5,2,4,4,4,3,2,3,2,3,3,3,2,1,5,4,147.6
"S148",4,5,5,4,3,5,5,2,1,4,1,2,3,1,2,4,3,97.1
"S149",4,3,1,3,3,1,5,3,1,1,1,4,2,4,3,1,3,234.6
"S150",4,5,5,4,4,5,4,4,4,2,4,5,3,2,4,4,3,79.1
"S151",5,4,5,2,5,5,1,5,5,1,3,1,4,3,1,5,3,266.9
"S152",NA,3,4,4,2,4,2,NA,2,NA,4,3,5,4,NA,1,3,131.2
"S153",3,1,3,1,1,1,5,1,1,1,2,3,1,2,5,4,3,113.6
"S154",4,3,5,4,4,3,4,1,4,5,2,2,2,5,5,2,3,119.9
"S155",4,2,3,1,5,4,5,5,5,5,3,5,3,5,5,1,3,174
"S156",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,114.2
"S157",5,5,2,5,4,5,2,5,4,4,5,5,5,5,3,4,3,96.2
"S158",4,4,4,1,2,2,3,1,2,4,2,1,1,3,1,2,3,124.1
"S159",5,5,4,3,4,3,5,2,5,5,4,5,4,4,5,1,3,262.8
"S160",5,5,5,5,5,5,4,2,5,4,4,2,5,4,3,3,3,124.3
"S161",4,4,3,4,2,1,3,2,4,3,2,2,3,5,4,4,3,267.9
"S162",4,5,3,5,5,5,1,5,2,1,5,1,2,3,2,3,3,161.2
"S163",3,4,4,5,4,4,2,2,1,2,1,3,2,2,3,5,3,122.9
"S164",3,2,3,4,1,1,4,2,1,4,2,4,3,1,1,4,3,163.2
"S165",4,2,3,1,1,4,5,3,2,4,3,5,3,2,1,4,3,157.8
"S166",1,2,4,4,2,3,5,1,1,3,2,5,3,3,1,4,3,173.1
"S167",1,1,2,1,2,1,2,1,2,1,1,3,2,1,1,3,3,177.3
"S168",1,3,3,5,2,3,1,4,3,4,2,4,4,1,1,4,3,134.5
"S169",3,2,5,2,3,2,1,3,4,2,3,1,3,4,5,5,3,234
"S170",2,3,2,3,1,1,3,2,3,5,3,4,3,2,1,3,3,393
"S171",1,1,2,4,1,2,3,3,5,4,3,2,5,5,3,3,3,180.5
"S172",2,3,1,2,5,1,2,4,5,3,2,3,2,2,4,4,3,239.9
"S173",4,5,5,5,5,5,3,5,2,3,4,2,1,2,5,3,3,322.9
"S174",5,2,4,1,4,2,2,2,4,1,2,1,2,1,3,2,3,112.4
"S175",5,4,5,5,3,3,3,4,5,2,1,3,3,3,4,3,3,85.9
"S176",4,2,3,4,4,2,2,2,5,5,3,5,2,3,5,2,3,302.1
"S177",4,3,3,3,3,3,5,2,3,3,5,4,4,5,4,4,3,275.5
"S178",4,4,5,4,3,5,5,4,3,5,2,3,5,4,3,4,3,296.2
"S179",3,3,5,3,4,3,2,2,3,2,1,3,1,1,1,5,3,265.4
"S180",2,1,5,2,3,3,5,2,1,2,3,1,4,1,1,1,3,225.5
"S181",2,2,4,1,1,3,3,5,2,1,1,3,4,2,2,5,3,222.1
"S182",2,5,1,5,1,2,1,4,5,5,4,5,5,3,4,5,3,287.9
"S183",3,1,1,2,5,2,1,3,4,2,4,2,3,3,5,5,3,184.2
"S184",3,2,1,5,3,4,3,2,3,3,1,3,4,3,4,1,3,226.7
"S185",2,3,4,4,3,4,5,4,2,1,3,1,2,2,2,5,3,387.9
"S186",4,4,5,5,3,5,4,4,2,1,4,3,4,3,2,2,3,145
"S187",3,5,4,1,5,4,4,3,1,3,4,1,1,5,3,4,3,204.6
"S188",5,5,2,3,NA,4,NA,5,3,NA,3,2,4,3,4,5,3,135
"S189",4,4,2,5,5,3,5,4,3,2,4,5,2,5,2,3,3,234.4
"S190",4,5,4,4,4,5,3,4,3,5,3,4,3,4,3,4,3,169.3
"S191",4,4,2,2,4,4,4,1,3,2,1,2,1,1,1,3,3,141.2
"S192",1,4,2,1,1,2,3,1,5,5,4,4,5,5,3,5,3,172.2
"S193",4,2,NA,4,4,4,2,5,5,NA,5,5,5,5,NA,4,5,410.3
"S194",2,4,3,1,4,5,1,2,5,3,4,5,5,5,5,5,3,143.6
"S195",5,4,1,3,3,4,1,2,1,2,2,4,2,1,3,3,3,216.2
"S196",3,1,3,3,4,4,3,4,4,4,4,3,4,5,5,2,3,349.4
"S197",5,5,4,3,4,2,2,5,5,4,4,4,2,5,5,1,3,289.7
"S198",1,5,3,1,1,3,1,2,2,3,1,3,2,4,3,2,3,136.9
"S199",3,2,4,1,2,5,5,3,2,2,3,4,1,4,4,3,3,209.2
"S200",4,5,4,3,5,3,2,3,4,4,3,4,3,2,3,3,3,335.5
"S201",4,3,4,3,4,5,2,5,5,5,5,4,5,2,5,5,3,228.9
"S202",2,1,4,1,1,2,3,3,3,4,3,2,5,5,5,3,3,20.4
"S203",5,2,2,4,4,4,1,2,1,3,1,1,2,1,2,5,4,174.3
"S204",4,NA,3,5,4,5,3,4,2,NA,NA,4,3,4,5,3,3,226
"S205",3,2,5,4,3,3,1,3,4,5,3,4,2,1,3,3,3,166
"S206",2,2,2,5,2,4,2,5,5,5,4,5,5,5,5,3,3,31.8
"S207",1,1,2,3,2,1,5,1,2,1,1,1,1,1,3,1,3,201.8
"S208",4,2,5,5,2,3,4,5,3,5,4,5,5,5,4,2,3,205.1
"S209",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,147
"S210",3,1,3,1,4,2,2,4,1,1,4,1,4,2,4,2,3,16.6
"S211",1,1,2,2,1,3,1,2,1,2,4,3,4,2,5,1,3,280.3
"S212",3,1,1,4,1,4,2,4,4,2,4,5,5,4,4,5,3,148.8
"S213",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,181.1
"S214",2,4,4,3,2,3,5,4,2,4,2,2,2,2,1,3,3,291.3
"S215",5,5,5,5,3,5,2,5,5,4,5,4,3,4,2,3,3,213.1
"S216",5,3,4,5,5,5,4,2,1,2,2,1,2,2,1,2,3,155.6
"S217",3,4,3,1,1,2,3,1,2,1,1,1,2,4,1,2,3,119.4
"S218",1,3,3,1,4,1,5,1,2,1,2,1,1,1,1,4,3,131
"S219",3,3,4,2,5,4,5,1,1,1,1,3,1,1,2,1,3,131.1
"S220",2,5,1,4,3,3,4,4,4,5,4,2,3,3,2,4,3,221.1
"S221",3,1,2,1,3,2,1,1,1,2,2,1,1,2,3,4,3,129.4
"S222",2,2,1,2,5,4,5,2,1,1,1,1,1,1,1,4,3,119.8
"S223",1,1,1,1,1,1,2,4,3,2,1,2,1,1,2,2,3,193.1
"S224",2,2,3,4,1,3,5,3,4,5,1,3,4,1,3,1,2,126.2
"S225",1,1,1,2,4,2,3,2,4,1,3,2,1,2,1,1,3,99.6
"S226",4,2,3,5,2,2,2,3,5,2,5,3,5,5,5,5,3,136.1
"S227",1,2,4,2,1,2,3,1,1,1,2,2,1,2,1,1,3,315
"S228",5,4,4,3,4,5,5,4,4,5,5,5,5,3,5,3,3,177.3
"S229",1,3,2,4,NA,3,5,1,4,NA,1,1,1,2,NA,4,3,302.7
"S230",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,220.7
"S231",5,3,5,5,5,5,3,5,5,2,5,2,5,5,5,5,3,105.3
"S232",1,3,3,5,2,4,5,1,4,2,1,4,4,2,4,2,3,134.9
"S233",5,4,4,5,5,5,1,5,5,4,5,5,5,2,5,5,3,182.3
"S234",1,1,1,1,2,1,4,2,5,1,3,1,3,1,4,2,3,166.8
"S235",2,2,5,3,4,5,4,4,1,2,3,3,4,2,4,4,3,180
"S236",1,1,4,2,1,2,3,2,1,3,1,3,5,2,2,3,3,194.4
"S237",5,5,5,3,4,5,2,5,5,4,5,5,5,5,5,2,3,191.7
"S238",4,5,5,5,3,5,4,5,3,3,3,4,1,4,5,5,3,360.6
"S239",2,3,3,2,2,1,5,3,3,4,5,5,5,4,5,3,3,325.6
"S240",3,4,3,3,5,4,4,4,2,4,3,5,5,1,3,1,5,107.3
"S241",4,4,3,5,2,2,3,3,5,5,2,4,5,5,3,4,3,157.2
"S242",1,2,3,2,1,4,2,1,3,1,3,3,5,2,3,3,3,36.9
"S243",3,5,5,5,4,5,2,5,5,5,5,3,4,1,4,2,3,20.8
"S244",4,3,4,1,4,3,1,1,2,1,1,1,1,1,1,3,3,402.3
"S245",NA,5,5,NA,4,NA,NA,5,2,3,4,5,1,3,NA,NA,3,386.4
"S246",1,4,1,1,2,2,5,1,1,1,3,2,2,1,3,4,3,149.9
"S247",5,3,4,5,5,4,3,5,5,5,5,4,4,5,5,5,5,314.6
"S248",3,4,3,2,2,4,5,3,4,3,1,1,1,2,4,2,3,99.3
"S249",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,116.7
"S250",3,3,3,3,2,5,3,5,4,3,4,4,4,1,4,1,3,308.4
"S251",3,5,3,2,1,3,4,4,5,1,1,4,4,5,4,4,3,192.5
"S252",4,3,1,2,2,5,5,5,1,5,2,4,5,4,5,4,3,210.5
"S253",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,261.3
"S254",4,2,3,3,4,5,3,4,5,3,4,3,2,5,2,2,3,183.3
"S255",2,2,1,2,5,4,2,4,2,3,1,3,3,4,5,1,3,97.9
"S256",5,2,5,5,5,5,3,5,5,4,5,5,4,5,5,5,3,154
"S257",5,5,4,2,4,4,3,1,2,1,4,3,3,2,5,4,3,277.4
"S258",3,1,4,3,5,3,1,3,5,3,5,2,3,2,4,3,3,516
"S259",3,2,1,1,2,2,1,1,4,3,1,1,2,5,3,4,3,207.4
"S260",3,5,4,1,2,2,3,4,2,5,4,2,1,4,1,2,3,165.8
"S261",2,4,5,5,3,4,4,4,4,5,5,3,4,2,3,2,3,154.3
"S262",4,3,4,2,4,2,3,5,4,5,4,5,5,2,5,2,4,139.3
"S263",3,4,3,5,2,5,5,4,4,2,3,2,2,4,3,1,3,156.5
"S264",5,4,4,4,4,2,4,2,5,2,4,2,5,1,5,4,3,327.2
"S265",3,4,3,3,4,5,5,2,5,5,4,5,3,5,5,2,3,187.3
"S266",1,4,2,4,2,2,1,2,3,2,2,1,4,2,2,2,3,374.8
"S267",1,2,1,1,4,1,2,2,1,3,1,2,3,1,2,2,3,140.5
"S268",3,2,5,3,1,5,5,3,4,5,3,3,4,2,4,1,3,109.7
"S269",2,1,4,4,1,2,5,5,5,5,5,4,5,5,5,1,3,195.7
"S270",3,3,5,4,5,3,3,4,2,5,5,4,4,5,4,4,3,133.8
"S271",2,3,2,1,2,4,1,1,2,1,3,3,5,3,2,4,3,107.9
"S272",4,3,2,4,4,3,1,2,2,3,1,1,4,2,5,5,3,97
"S273",4,4,5,2,5,5,2,3,2,1,1,1,2,2,4,1,3,269.7
"S274",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,182.7
"S275",1,3,2,1,1,2,1,1,1,2,3,2,3,1,3,1,3,336.6
"S276",2,3,4,3,5,4,2,3,4,4,2,3,1,2,1,3,3,163.7
"S277",3,3,3,3,2,5,4,NA,1,1,2,1,1,NA,1,4,3,135.4
"S278",2,5,5,4,2,5,4,2,3,5,3,5,2,4,2,3,3,271.6
"S279",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,262.6
"S280",1,2,1,2,2,3,3,2,3,1,4,2,5,5,5,2,4,169.2
"S281",3,4,5,3,4,4,5,3,2,1,3,3,1,4,2,5,3,138.5
"S282",5,5,5,5,5,5,3,4,3,1,4,4,4,4,5,2,3,129
"S283",4,5,5,5,3,3,3,4,3,2,2,3,2,2,4,3,3,214.9
"S284",1,4,3,2,3,3,5,2,1,2,1,1,1,1,1,3,3,150.4
"S285",2,1,1,3,1,4,3,1,1,1,2,2,4,3,1,4,3,199.4
"S286",3,4,4,2,3,2,1,1,1,1,1,2,4,1,3,1,1,94.8
"S287",2,3,3,3,3,3,5,4,1,4,1,1,3,1,2,3,3,98.3
"S288",2,3,4,3,4,5,4,4,1,1,2,3,3,1,1,2,3,344.9
"S289",3,4,3,4,3,3,2,3,1,5,3,4,2,1,1,4,3,31.5
"S290",2,1,4,4,3,4,3,2,2,1,3,2,4,2,4,2,3,378.6
"S291",2,2,3,2,2,3,3,4,5,3,5,5,5,4,5,2,3,202.9
"S292",2,3,1,1,2,4,4,4,5,2,5,3,4,5,3,3,3,105.4
"S293",2,2,1,1,2,2,1,1,4,1,1,1,2,1,4,1,3,144.8
"S294",3,3,5,2,4,3,5,3,2,4,3,4,3,1,5,3,3,166.2
"S295",5,1,2,1,4,4,3,3,2,2,2,5,2,1,3,4,3,233.2
"S296",5,3,5,3,1,5,4,1,4,3,3,1,5,5,3,4,3,202.3
"S297",5,4,5,4,5,4,4,3,4,5,5,4,5,5,4,4,3,140
"S298",2,4,2,3,4,2,5,2,4,4,3,5,5,5,5,1,3,267.6
"S299",2,5,3,1,2,3,1,3,3,2,3,3,3,2,2,2,3,175.2
"S300",2,2,1,1,4,3,3,5,3,2,1,3,2,3,4,2,3,194.6
"S301",2,2,4,4,4,2,1,2,1,2,2,4,2,2,2,2,3,188
"S302",4,4,5,4,1,1,1,5,4,4,4,5,4,5,5,2,3,166.4
"S303",5,3,4,5,2,5,1,5,5,3,5,2,2,3,5,2,3,143
"S304",2,3,3,2,3,1,3,4,3,5,5,4,3,3,5,5,4,161.4
"S305",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,281.8
"S306",4,1,4,4,1,3,1,3,4,2,1,1,4,2,5,3,3,161.2
"S307",4,5,4,4,5,4,4,4,2,5,2,2,5,2,2,3,3,186.5
"S308",5,2,4,4,4,3,3,4,5,5,5,5,4,5,5,4,3,193.6
"S309",1,3,2,2,1,3,2,1,4,2,4,2,2,2,2,4,3,277.9
"S310",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,138.2
"S311",4,3,4,3,5,3,5,3,5,3,4,5,4,4,5,5,3,174.8
"S312",5,3,NA,1,5,2,1,3,2,2,NA,3,5,5,3,NA,3,119.7
"S313",3,4,2,5,5,2,4,1,1,5,2,3,4,5,1,2,3,229.9
"S314",1,1,2,3,2,2,1,2,NA,2,1,3,2,3,1,2,3,178.4
"S315",2,2,3,2,5,4,2,4,3,5,5,5,4,4,4,4,3,110.7
"S316",4,2,3,5,2,2,2,1,3,2,4,5,4,4,4,1,3,220.5
"S317",2,3,1,1,5,3,2,4,3,5,3,5,3,4,4,1,3,159.2
"S318",2,4,4,2,4,1,1,5,4,5,5,5,3,5,2,3,3,172.6
"S319",NA,NA,1,NA,1,NA,NA,4,2,2,2,1,5,2,NA,NA,3,81.1
"S320",5,3,5,5,5,5,4,5,4,4,5,5,5,2,5,2,3,78.8
"S321",5,5,5,2,4,4,2,5,5,5,3,4,4,5,5,5,3,273.5
"S322",5,1,2,4,2,4,1,4,5,2,2,4,3,5,3,1,3,249.6
"S323",2,2,2,5,1,5,1,2,2,4,3,2,1,1,5,3,3,159.5
"S324",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,181.7
"S325",3,3,5,3,3,4,1,3,2,3,3,3,3,3,4,2,3,130.7
"S326",3,1,2,3,4,3,1,3,1,2,2,1,1,3,1,3,3,192
"S327",5,5,5,4,5,5,2,2,4,4,4,5,2,2,3,4,1,26.2
"S328",1,1,1,2,3,1,5,2,5,2,3,2,4,4,2,4,3,191.9
"S329",4,5,4,5,3,3,4,4,4,5,4,4,5,3,3,2,3,223.1
