"participant_id","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10","Item11","Item12","Item13","Item14","Item15","Item16","Item17","Item18","Item19","Item20","attention_check","response_time_sec","criterion","known_group"
"P124",3,4,1,3,2,2,NA,3,3,1,5,3,4,2,1,3,2,3,3,4,3,133.2,-0.839,"Low"
"P125",4,3,3,5,2,4,3,5,3,2,2,2,3,2,5,2,1,1,1,2,3,310.9,-0.376,"Low"
"P126",2,1,1,3,1,3,2,4,5,5,4,3,5,4,1,4,5,4,3,5,3,120.9,0.16,"Low"
"P127",3,3,2,2,4,4,2,4,4,5,1,1,4,3,3,3,3,2,2,5,3,207.3,-0.291,"Low"
"P128",5,5,2,4,5,3,2,3,2,1,1,1,1,1,1,5,3,4,4,4,2,159.1,0.205,"High"
"P129",2,2,2,4,3,3,4,4,3,3,3,3,4,2,5,3,3,2,2,2,3,66.2,-0.82,"Low"
"P130",5,4,4,2,5,2,3,2,3,3,4,2,4,2,2,4,4,5,1,5,3,226.2,1.77,"High"
"P131",1,2,4,3,1,3,3,5,4,4,4,2,3,2,2,5,5,4,2,4,3,151.3,-0.168,"Low"
"P132",3,3,2,3,3,2,5,3,3,5,3,NA,1,1,3,1,3,2,2,2,3,168.3,-0.188,"Low"
"P133",4,4,2,5,3,4,3,2,5,3,1,3,4,3,5,3,4,4,4,1,3,237.4,-0.274,"High"
"P134",1,1,1,2,1,1,5,1,1,1,1,1,1,1,5,5,1,2,2,3,3,70.4,-1.619,"Low"
"P135",1,1,1,1,2,1,5,1,3,5,2,2,5,3,4,1,4,4,2,1,3,455.4,-2.698,"Low"
"P136",5,4,3,5,3,5,2,2,2,2,1,4,2,2,1,2,3,2,3,5,3,149,1.504,"High"
"P137",1,3,2,1,4,1,2,4,2,4,3,1,2,1,4,5,2,5,1,1,3,111.6,-1.37,"Low"
"P138",3,4,4,2,5,2,5,3,1,4,4,3,3,4,2,3,4,4,4,3,3,189.7,0.07,"Low"
"P139",4,5,5,3,2,3,1,2,5,4,4,3,3,3,5,1,5,3,5,3,3,188.6,0.25,"High"
"P140",3,1,1,2,2,1,4,2,2,2,2,1,1,2,4,2,1,1,4,2,3,167.4,-0.649,"Low"
"P141",4,3,4,4,1,4,2,1,1,2,1,5,4,1,2,2,3,4,2,4,3,268,-0.907,"Low"
"P142",1,1,1,1,1,1,5,1,1,3,2,1,1,3,5,1,1,1,4,1,3,215,-1.673,"Low"
"P143",1,2,3,4,5,2,5,3,5,2,1,4,1,3,2,5,5,3,5,2,3,197.7,-0.989,"High"
"P144",3,4,3,5,5,5,2,2,5,2,3,4,3,3,5,4,2,4,2,3,3,106.6,2.278,"High"
"P145",4,5,5,5,5,5,1,4,3,2,3,3,3,4,1,4,5,5,5,5,3,16.9,1.781,"High"
"P146",1,2,3,3,4,1,5,3,2,1,4,1,1,3,1,1,2,4,5,4,3,135.3,-0.073,"Low"
"P147",5,4,4,4,5,4,1,4,3,3,5,3,4,4,3,3,4,2,2,1,5,287.7,-0.347,"High"
"P148",1,1,2,1,1,5,2,4,5,4,2,5,5,5,2,4,3,2,3,1,3,228.2,1.188,"Low"
"P149",4,5,5,4,3,3,5,3,2,3,3,1,NA,2,3,2,2,2,2,4,3,166,1.32,"High"
"P150",2,1,1,1,1,2,3,1,2,3,3,2,3,2,3,5,4,5,2,2,3,307.2,-1.078,"Low"
"P151",2,3,4,5,NA,2,5,2,3,5,3,2,2,5,4,2,1,1,2,4,3,176.8,1.464,"High"
"P152",4,2,4,2,4,1,2,3,2,5,3,5,4,3,3,3,1,2,3,3,3,190.6,-0.681,"High"
"P153",4,4,1,4,4,4,3,5,4,5,3,5,5,5,NA,5,3,5,2,3,3,242,-0.407,"High"
"P154",1,2,3,4,3,5,3,4,4,1,3,4,4,4,2,5,3,3,3,5,3,184.2,0.674,"Low"
"P155",2,1,1,1,1,1,4,2,3,2,2,2,3,1,4,1,1,1,3,2,3,121.7,-0.561,"Low"
"P156",4,4,2,4,1,4,2,5,NA,3,5,4,4,1,2,3,4,5,3,4,3,198.2,0.443,"Low"
"P157",2,1,2,2,1,2,2,2,4,1,1,4,3,5,5,2,1,2,5,4,3,141.5,-1.362,"Low"
"P158",3,1,2,3,2,1,4,1,1,1,5,2,1,4,4,3,1,1,3,1,3,210.3,-0.482,"Low"
"P159",1,2,2,1,1,1,5,1,2,1,NA,1,1,3,2,1,1,2,3,2,3,229.8,-1.712,"Low"
"P160",3,4,3,5,4,4,1,5,4,4,5,5,5,5,4,3,5,2,2,2,3,196.2,0.008,"Low"
"P161",1,1,NA,1,3,1,5,5,4,2,3,1,2,4,5,5,4,1,2,4,3,246.1,0.244,"High"
"P162",2,2,2,4,2,3,5,3,3,5,3,3,3,5,3,3,5,3,3,3,3,198.3,0.55,"Low"
"P163",2,2,3,4,4,1,1,4,3,4,2,4,3,4,2,4,5,5,3,3,3,262.7,0.062,"Low"
"P164",5,3,5,5,4,4,2,4,4,5,4,5,4,5,1,5,5,2,3,4,3,86.8,3.016,"High"
"P165",2,4,3,1,4,4,5,3,2,3,4,5,5,5,2,5,4,4,4,5,3,152.1,-1.118,"Low"
"P166",3,3,2,5,1,1,1,2,1,2,1,1,2,4,3,3,1,1,NA,5,3,247.2,0.026,"High"
"P167",1,1,2,4,1,3,2,2,2,1,1,1,1,1,4,2,3,3,4,2,3,323.9,-1.911,"Low"
"P168",3,1,4,1,1,4,5,5,1,3,4,3,1,4,5,1,1,2,1,1,3,231.5,-2.025,"Low"
"P169",3,3,2,2,1,2,1,4,3,3,1,1,5,3,3,4,2,1,2,4,3,162.7,-0.22,"Low"
"P170",4,4,3,3,5,5,3,4,1,4,3,5,3,5,4,2,2,3,3,1,3,252.5,0.321,"High"
"P171",1,1,1,2,3,1,4,3,2,1,NA,2,2,1,5,1,1,2,1,1,3,121.5,-0.67,"Low"
"P172",2,2,2,3,4,2,3,5,2,1,1,5,2,4,2,5,4,5,5,5,3,180.1,0.403,"Low"
"P173",3,4,2,NA,4,3,3,3,1,2,1,2,5,4,5,1,1,1,1,3,3,230.9,-1.43,"Low"
"P174",1,5,3,5,4,2,2,4,5,5,3,5,5,3,4,5,2,5,4,2,3,139.9,0.443,"Low"
"P175",4,3,4,5,3,3,1,5,5,5,5,3,4,5,3,2,4,5,2,3,3,217.7,-0.373,"High"
"P176",4,4,2,3,3,5,1,5,NA,2,2,5,5,2,1,NA,5,4,5,4,3,89.9,0.966,"High"
"P177",3,2,5,4,1,1,3,4,4,1,1,1,2,1,5,1,2,3,2,4,3,223,0.314,"Low"
"P178",2,3,3,1,1,3,3,3,4,2,2,2,3,2,5,2,2,1,3,1,3,130,0.197,"Low"
"P179",1,2,1,2,1,2,5,1,2,4,2,2,4,2,2,2,2,3,3,1,3,188.1,-0.912,"Low"
"P180",4,3,5,2,2,1,2,2,3,2,4,5,3,3,5,1,1,1,1,1,3,428.9,-0.665,"Low"
"P181",3,NA,4,1,3,4,2,4,5,5,3,5,5,4,1,4,3,5,5,3,3,212.1,1.359,"Low"
"P182",3,5,3,3,3,2,1,5,5,5,4,5,4,5,1,3,4,2,2,4,3,201,0.858,"High"
"P183",5,5,3,5,2,4,3,2,2,4,4,5,5,5,5,2,4,5,3,1,3,214.1,-0.442,"High"
"P184",5,4,5,5,4,5,5,4,3,2,4,5,NA,3,4,2,5,4,4,4,3,185.5,1.395,"High"
"P185",2,1,1,2,3,4,1,5,5,4,5,5,5,5,1,5,5,3,4,4,3,232.3,0.345,"High"
"P186",3,2,3,2,1,3,5,2,4,3,3,2,4,2,2,3,5,5,2,5,3,232.7,0.163,"Low"
"P187",4,4,2,3,4,1,4,5,3,5,4,4,5,4,3,5,2,1,5,3,3,261.8,0.056,"Low"
"P188",3,2,1,4,4,2,2,4,2,5,4,4,1,1,1,4,3,5,5,4,3,39.6,-0.63,"Low"
"P189",2,5,NA,5,3,5,3,1,4,1,3,2,4,2,5,1,1,NA,2,1,3,152.9,0.26,"Low"
"P190",5,5,5,4,5,4,1,5,5,5,5,5,5,5,1,5,5,5,3,5,3,246.8,1.539,"High"
"P191",5,5,4,5,5,5,3,1,2,1,5,3,4,1,1,1,5,5,4,5,3,227.4,1.079,"High"
"P192",5,2,4,4,3,4,2,5,4,5,5,5,5,1,4,5,3,2,1,2,3,117.7,0.297,"High"
"P193",3,2,3,4,3,2,4,2,1,2,3,3,5,1,4,1,4,4,5,3,3,147.1,-0.478,"Low"
"P194",4,3,5,4,2,4,3,3,2,3,4,4,5,4,3,1,1,1,NA,1,3,254.1,-0.412,"High"
"P195",2,1,1,1,1,1,5,3,2,3,2,2,5,1,4,3,4,3,3,1,3,284.6,-0.472,"Low"
"P196",1,1,1,1,2,1,4,1,1,1,1,NA,1,3,5,4,4,2,1,4,3,237.5,-0.792,"Low"
"P197",4,4,3,2,3,NA,2,3,3,1,4,3,5,4,4,4,5,3,2,4,3,307.7,0.591,"High"
"P198",2,5,3,5,3,4,1,3,2,3,4,4,2,4,5,4,4,4,5,3,3,225.7,0.423,"High"
"P199",4,3,2,1,4,1,3,3,4,2,5,3,2,5,3,4,4,5,4,3,3,352.7,-0.376,"Low"
"P200",3,5,2,3,5,5,1,5,5,4,5,5,5,3,1,2,3,1,4,2,3,202.5,0.059,"High"
"P201",1,4,1,1,1,1,4,4,3,3,3,3,2,3,1,2,NA,2,4,4,3,182.9,-1.329,"Low"
"P202",1,4,4,5,3,1,2,1,3,1,2,2,2,3,2,5,4,5,5,4,3,183.3,-0.165,"High"
"P203",1,3,2,2,NA,1,5,2,1,2,1,2,4,2,3,4,1,3,1,1,3,299.1,-0.446,"Low"
"P204",1,2,1,2,1,4,5,5,5,5,5,5,4,5,5,2,2,1,2,1,5,133.1,-0.725,"Low"
"P205",5,4,3,2,1,5,4,2,1,2,4,3,1,2,5,4,2,1,2,3,3,138.1,0.625,"Low"
"P206",4,1,4,3,5,2,2,4,2,1,3,4,3,1,1,1,3,2,1,2,3,173.1,0.515,"High"
"P207",3,1,3,4,2,3,3,3,2,2,2,3,NA,3,5,2,NA,2,1,1,3,200.2,-0.486,"Low"
"P208",5,4,4,4,5,5,2,5,5,1,1,3,4,5,4,3,4,2,2,5,3,198.8,0.583,"High"
"P209",3,3,5,5,5,3,1,5,2,3,4,4,2,3,1,2,2,3,5,4,3,140.6,0.814,"High"
"P210",3,1,1,1,3,1,5,1,2,2,1,1,1,1,5,2,1,4,2,1,3,302.6,-0.466,"Low"
"P211",5,5,5,3,5,5,1,5,3,5,4,5,5,4,1,5,5,NA,5,4,3,208.7,0.983,"High"
"P212",3,3,4,4,5,4,2,1,1,1,4,1,2,3,3,5,4,5,4,5,3,174.9,0.229,"High"
"P213",2,1,2,2,4,1,4,4,5,2,3,4,1,3,4,1,3,3,4,2,3,223,-0.47,"Low"
"P214",2,1,1,1,2,2,5,3,4,5,3,4,4,5,5,1,1,1,5,4,3,167.9,-1.186,"Low"
"P215",2,2,1,2,1,1,5,3,5,4,5,3,5,3,2,3,2,5,3,5,3,436.7,-0.152,"Low"
"P216",4,3,4,4,NA,4,3,2,2,1,2,4,1,2,3,3,5,1,4,3,3,300.4,-0.299,"High"
"P217",1,4,3,2,5,2,2,1,1,5,3,3,1,5,4,1,2,1,3,1,3,79.9,-0.851,"Low"
"P218",4,1,1,1,2,1,2,3,3,2,4,4,5,5,NA,4,3,3,4,5,3,171.8,-0.331,"Low"
"P219",5,4,2,4,3,3,5,4,4,3,5,5,5,4,3,NA,2,2,5,4,3,187.8,1.102,"High"
"P220",3,4,2,2,4,5,4,4,5,5,5,5,1,2,4,5,5,4,2,4,3,108.1,0.233,"High"
"P221",2,3,5,2,4,3,2,1,4,5,5,4,1,4,3,4,3,5,5,4,3,212.3,-1.11,"Low"
"P222",2,1,5,4,3,4,1,3,5,2,1,5,3,1,1,4,1,2,5,2,3,184.4,-0.913,"High"
"P223",4,3,3,2,3,2,3,2,1,2,2,3,1,2,2,5,2,5,5,4,3,155.8,-1.217,"Low"
"P224",NA,2,1,1,3,1,4,1,4,2,1,4,1,3,1,3,5,5,5,3,3,207.9,-0.358,"Low"
"P225",4,5,2,5,5,4,3,1,3,3,5,4,5,5,3,3,1,3,2,1,3,168.8,0.666,"High"
"P226",3,1,2,3,1,1,5,4,4,4,4,3,5,2,4,1,3,4,4,1,3,131.9,-1.296,"Low"
"P227",2,1,4,3,1,NA,4,4,2,2,1,4,1,2,4,1,2,4,3,2,3,191.6,-1.049,"Low"
"P228",5,3,2,4,5,4,4,2,4,3,2,4,3,3,1,5,5,5,5,5,3,302.9,0.815,"High"
"P229",4,1,2,2,1,2,2,5,5,3,4,5,5,5,3,2,2,2,4,3,3,165.8,-1.03,"Low"
"P230",1,1,1,2,1,2,5,2,1,1,1,2,2,NA,4,2,1,1,1,3,3,234,-0.877,"Low"
"P231",5,5,5,5,4,3,2,5,4,5,4,4,5,5,1,1,5,5,4,5,3,306.7,1.278,"High"
"P232",1,1,1,1,1,2,5,2,2,2,1,NA,1,3,5,1,2,3,4,2,3,170.5,-1.889,"Low"
